"","main","clark","stage","age","gender","","","",""
"CDR1",0.0145,0,0,0,0,0.7399,0.2224,0.1469,-0.0409
"NHLH1",0,0.3157,0,0,0,0.4854,0.4361,0.0399,-0.0172
"ANKRD13B",0.0019,-0.0344,0,0,0,0.6658,0.5067,0.0052,-0.1228
"DAR",1e-04,0,0,0,0,1.1413,0.048,0.0571,0.0922
"BGLAP",0,1.0517,0,0,0,0.317,0.3916,0.17,0.2414
"CHTOP",5e-04,0.7232,0,0,0,0.0267,0.5084,-0.2866,0.0089
"PTRHD1",0,0.7089,0,0,0,0.1152,0.6118,0.019,0.2596
"CHP1",3e-04,0,0,0,0,1.1969,-0.0075,0.0628,-0.0798
"DKK2",0.0044,0,0,0,0,0.7612,0.276,0.232,-0.0862
"HIST1H1E",0.1141,0,0,0,0,0.53,0.6252,0.0185,0.0587
"HSPA12B",0.0018,0,0,0,0,0.5133,0.3609,0.264,-0.0474
"JUN",2e-04,0,0,0,0,0.3815,0.2533,0.1299,-0.005
"LDLRAD2",0,0.6131,0,0,0,0.4555,0.5682,0.0496,0.1371
"MYOD1",0.0182,0,0,0,0,0.7786,0.1904,0.1609,-0.0091
"OXT",0.4126,0,0,0,0,0.7941,0.2578,0.1434,0.0113
"PEMT",0,0.5942,0,0,0,0.3106,0.6072,0.2101,0.2418
"PER1",4e-04,0.6188,0,0,0,0.2756,0.2704,0.2205,0.0886
"PIGH",0.0022,0,0,0,0,0.8518,0.0136,0.2156,0.0041
"PITPNA",4e-04,0,0,0,0,1.3911,-0.0787,0.2039,0.1576
"PNMT",0.0362,0,0,0,0,0.6761,0.2853,0.2018,-0.0521
"PPP1R14A",0.0086,0.1428,0,0,0,0.6143,0.4573,0.1094,-0.0608
"PTP4A3",3e-04,0,0,0,0,0.7821,0.3524,0.1432,-0.2016
"RPL32",0,0.6914,0,0,0,0.1058,0.6203,0.014,0.0933
"RPS14",0,0.669,0,0,0,0.198,0.5002,0.1618,0.3115
"SEMA6C",0.0019,0,0,0,0,0.4679,0.2946,0.134,-5e-04
"SHOC2",0.0011,0,0,0,0,0.2437,0.8072,0.3261,-0.1778
"SMC3",5e-04,0,0,0,0,0.2424,0.7128,0.2854,-0.1886
"SSTR2",0.0171,0,0,0,0,0.9005,0.204,0.145,-0.0634
"STX3",5e-04,0,0,0,0,0.991,0.1676,0.2538,0.0327
"SUPT7L",9e-04,0,0,0,0,0.2378,0.2129,0.3213,0.176
"TATDN1",0.0027,0,0,0,0,0.8844,0.1949,0.1648,0.0059
"THADA",0.001,0,0,0,0,0.4752,0.3467,0.1846,0.0547
"C6orf46",0.0029,0,0,0,0,0.5315,0.373,0.1321,-0.0808
"ZNF579",0,0.596,0,0,0,0.2451,0.6488,0.0299,0.2119
"ZP4",0.095,2.2244,0,0,0,0.5028,0.2931,0.1184,-0.0033
"ACTA2",2e-04,0,0,0,0,0.6783,0.2963,0.1866,-0.1611
"CAR10",3e-04,0,0,0,0,0.7125,0.1841,0.0224,-0.0754
"AES",1e-04,0,0,0,0,0.2668,0.4246,0.1595,0.1707
"AGER",0.0043,0,0,0,0,0.8091,0.2226,0.1939,-0.1029
"ALX1",0.002,0,0,0,0,0.9407,0.1514,0.202,0.1133
"ANKRD28",3e-04,0,0,0,0,1.2111,0.07,0.0134,-0.1252
"ANP32E",5e-04,0,0,0,0,0.3095,0.6059,-0.0342,-0.043
"ANXA4",6e-04,0,0,0,0,1.2041,0.0019,0.1831,-0.0519
"AOC3",0.0012,0,0,0,0,0.8086,0.0915,0.0944,-0.0759
"OPH",3e-04,0,0,0,0,1.3149,0.0686,0.0357,-0.0377
"ARID4B",9e-04,0,0,0,0,0.7379,0.2837,0.2578,-0.0395
"ARMC9",0.0011,0,0,0,0,1.1549,-0.0715,0.2103,-0.0709
"ARMCX3",6e-04,0,0,0,0,0.7177,0.3881,0.1551,-0.0666
"ASH2L",7e-04,0,0,0,0,1.416,0.025,0.1886,-0.0301
"BGN",1e-04,0,0,0,0,0.6438,0.2942,0.1324,-0.2488
"BICD2",7e-04,0,0,0,0,1.0047,0.05,0.2559,-0.0188
"C14ORF93",0,0.944,0,0,0,-0.1333,0.9472,0.3508,0.1032
"CENPH",0,0.4918,0,0,0,0.3496,0.5783,0.2302,-0.3359
"CLVS1",0,0.582,0,0,0,0.4737,0.374,0.1445,-0.0641
"CORT",0,0.631,0,0,0,0.3605,0.3849,0.3075,-0.0738
"CPSF1",0,0.7405,0,0,0,0.0863,0.6235,0.2251,0.1002
"CREB3L4",0,0.8493,0,0,0,0.0551,0.5578,-0.0607,0.112
"DECR1",0,0.766,0,0,0,0.0969,0.665,0.133,0.0857
"DKFZP434L187",0,0.1474,0,0,0,0.6438,0.3779,0.1549,0.0645
"FDX1L",0,0.5405,0,0,0,0.2718,0.635,0.2349,0.1234
"GSC",0,0.4269,0,0,0,0.5513,0.443,0.1239,0.0317
"H2AFY2",0,0.3541,0,0,0,0.5248,0.1917,0.2009,-0.1249
"HAUS5",0,0.7325,0,0,0,0.0657,0.3649,0.0337,-0.1768
"HNRNPA0",0,0.8954,0,0,0,-0.0635,0.3808,0.0721,-0.0294
"HNRNPC",0,0.8267,0,0,0,-0.0709,0.4491,-0.0936,0.0599
"HUS1B",0,0.3287,0,0,0,0.5381,0.4619,0.1479,0.0323
"IFI27L1",0,0.7822,0,0,0,0.2349,0.4934,0.2751,0.0704
"IP6K2",0,1.0443,0,0,0,-0.2511,0.2185,0.2061,-7e-04
"JPH4",0,0.2598,0,0,0,0.6063,0.2724,0.1248,-0.0555
"KPTN",0,0.5712,0,0,0,0.2299,0.4396,0.146,-0.0303
"KRTCAP2",0,0.5719,0,0,0,0.3362,0.6877,0.1539,0.1126
"LMX1A",0.1416,0,0,0,0,0.684,0.2959,0.0907,0.0349
"HNRNPCL3",0,0.1566,0,0,0,0.6406,0.5021,-0.1057,-0.265
"LSM7",0,0.809,0,0,0,0.1187,0.3989,0.0508,0.1536
"MESP1",0,0.62,0,0,0,0.3246,0.2676,0.1682,0.0136
"MRPL22",0,0.8703,0,0,0,-0.0475,0.6698,0.4257,-0.0606
"MYL6B",0,0.6674,0,0,0,0.1422,0.5495,0.1007,0.0604
"NDUFS2",0,0.8706,0,0,0,-0.061,0.7757,-0.0807,0.263
"NR2E3",0,0.5632,0,0,0,0.343,0.2974,0.1224,-0.0557
"NTSR2",0,3.2593,0,0,0,0.6837,0.4068,0.0537,-0.017
"OST4",0,0.6097,0,0,0,0.1662,0.7907,0.2396,0.1979
"RBMX",0,0.7444,0,0,0,0.0511,0.2706,0.1491,0.0427
"RPL12",0,0.3344,0,0,0,0.4195,0.6167,0.081,-0.0129
"RPL37",0,0.6867,0,0,0,0.2152,0.5911,0.1319,-0.0298
"RPP40",0,0.7364,0,0,0,0.101,0.5058,0.0957,0.0241
"SYNGR4",0,0.4536,0,0,0,0.5049,0.3246,0.2043,-0.1889
"TFAMP1",0,0.3449,0,0,0,0.5788,0.3159,0.0734,-0.1248
"TIPARP",0,-0.738,0,0,0,1.4476,-0.0098,0.1945,-0.4826
"TMEM18",0,0.5846,0,0,0,0.3544,0.8029,0.128,0.4043
"TMPRSS5",0,0.8215,0,0,0,0.3514,0.397,0.0813,-0.0057
"TMSB15A",0,0.3069,0,0,0,0.553,0.3022,0.1578,-0.113
"TMSB15B",0,0.292,0,0,0,0.5978,0.3263,0.1816,-0.1364
"TNFRSF4",0,0.4576,0,0,0,0.4916,0.3748,0.0639,-0.0317
"TOP1MT",0,0.5106,0,0,0,0.2992,0.7282,-0.0282,0.0435
