"","main","clark","stage","age","gender","","","",""
"INAFM1",0,0.4096,0,0,0,0.4318,0.5773,0.0906,-0.0215
"BGLAP",0,1.077,0,0,0,0.3021,0.4525,0.129,0.2066
"CHTOP",0,0.7494,0,0,0,9e-04,0.2996,-0.0287,-0.0164
"PTRHD1",0,0.7169,0,0,0,0.1107,0.6184,0.0746,0.2618
"LDLRAD2",0,0.6092,0,0,0,0.4576,0.5854,0.0842,0.1281
"PER1",0,0.5693,0,0,0,0.3092,0.3011,0.1217,0.0112
"RPL32",0,0.673,0,0,0,0.1105,0.5932,0.1064,-0.0158
"RPS14",0,0.6551,0,0,0,0.2083,0.4322,0.126,0.3079
"SEMA6C",0,0.2941,0,0,0,0.5149,0.2583,0.1167,-0.0182
"ZNF579",0,0.5819,0,0,0,0.2559,0.652,0.0836,0.1877
"AARSD1",0,0.7479,0,0,0,0.048,0.6002,0.1024,-0.0098
"ANKRD19P",0,0.499,0,0,0,0.452,0.4816,0.1043,-0.0412
"ATP5G2",0,0.7659,0,0,0,0.1084,0.8137,0.0799,0.3246
"ATP5L",0,0.8375,0,0,0,-0.0112,0.5222,0.1348,-0.0468
"BRD9",0,0.7578,0,0,0,0.1104,0.3331,0.5804,-0.5435
"C14ORF80",0,0.6372,0,0,0,0.2523,0.2822,0.0761,-0.0401
"C14ORF93",0,0.9115,0,0,0,-0.1073,0.931,0.3476,0.0172
"C16ORF74",0,0.7702,0,0,0,0.4107,0.3574,0.1158,-0.0281
"C19ORF43",0,0.6929,0,0,0,0.154,0.7063,0.0835,-0.0369
"C1QTNF4",0,0.4893,0,0,0,0.5348,0.3246,0.1176,-0.0124
"NTPCR",0,0.7251,0,0,0,0.0466,0.7056,0.1251,0.1971
"CCDC101",0,0.6418,0,0,0,0.2004,0.4666,0.1017,-0.0448
"CDC25C",0,0.7634,0,0,0,0.1927,0.3452,0.1235,-0.0417
"CEP72",0,0.6617,0,0,0,0.3101,0.3591,0.0642,7e-04
"CHTF18",0,0.6663,0,0,0,0.2157,0.2918,0.072,-0.04
"CLVS1",0,0.4624,0,0,0,0.5207,0.3101,0.1268,-0.0181
"CORT",0,0.6374,0,0,0,0.3605,0.3304,0.2854,-0.0171
"CPSF1",0,0.6921,0,0,0,0.1288,0.612,0.1495,0.0058
"CREB3L4",0,0.8572,0,0,0,0.0491,0.5739,-0.0276,0.0356
"CYTH2",0,0.9316,0,0,0,-0.1111,0.254,0.082,-0.0345
"DCPS",0,0.6687,0,0,0,0.1372,0.3177,0.1,-0.0663
"DECR1",0,0.7571,0,0,0,0.1039,0.6561,0.1589,0.0029
"DTD1",0,0.9268,0,0,0,-0.0959,0.2983,0.0924,-0.0381
"DTNB",0,0.7821,0,0,0,0.2472,0.467,0.1025,0.0412
"ECSIT",0,0.5841,0,0,0,0.2459,0.4939,0.1184,0.0324
"ERCC1",0,0.7214,0,0,0,0.1019,0.2802,0.1186,-0.0738
"ERH",0,0.8688,0,0,0,-0.0697,0.6805,0.0633,-0.0248
"FRA3B",0,0.6901,0,0,0,0.2445,0.3705,0.2564,-0.0173
"FOXE3",0,0.5661,0,0,0,0.4937,0.3011,0.1035,0.0568
"FUS",0,0.786,0,0,0,0.021,0.3199,0.0842,0.0035
"GNB2L1",0,0.606,0,0,0,0.2031,0.4431,0.0967,0.0491
"GSC",0.0196,0.381,0,0,0,0.5719,0.4444,0.1199,-0.0034
"H2AFY2",0,0.4067,0,0,0,0.5096,0.2287,0.1342,-0.0322
"H3F3A",0,0.6383,0,0,0,0.2639,0.5891,0.1077,-0.0024
"HAUS5",0,0.7624,0,0,0,0.0424,0.3096,0.084,-0.0169
"HIST1H1B",0,0.4205,0,0,0,0.4852,0.4904,0.0553,-0.0435
"HNRNPA0",0,0.9099,0,0,0,-0.0801,0.3305,0.0794,-0.0316
"HNRNPA3P1",0,0.8946,0,0,0,-0.1061,0.2839,0.1198,0.0039
"HNRNPAB",0,0.8894,0,0,0,0.0153,0.4455,0.0952,0.2956
"AUF1",0,0.7511,0,0,0,0.0518,0.3776,0.1027,-0.0065
"IFI27L1",0,0.7569,0,0,0,0.2494,0.4912,0.2703,0.0143
"IMMP1L",0,0.7587,0,0,0,0.051,0.3207,0.1344,-0.0113
"IP6K2",0,1.0303,0,0,0,-0.2384,0.294,0.1128,-0.0251
"JPH4",0,0.3355,0,0,0,0.586,0.271,0.1153,-0.0156
"KRTCAP2",0,0.5193,0,0,0,0.3717,0.6876,0.0888,0.0291
"LSM7",0,0.7773,0,0,0,0.1231,0.2792,0.1014,-0.0232
"MESP1",0,0.5881,0,0,0,0.3464,0.2537,0.1171,-0.0173
"MRPL22",0,0.8492,0,0,0,-0.0302,0.5809,0.3436,-0.0359
"L23MRP",0,0.5033,0,0,0,0.3777,0.5116,0.3254,-0.0027
"MRPL2",0,0.7257,0,0,0,0.2022,0.6389,0.0901,0.2714
"MRPL9",0,0.8468,0,0,0,-0.0666,0.6466,-0.0871,0.1501
"MXD3",0,0.7902,0,0,0,0.2465,0.3041,0.1156,0.0029
"MYL6B",0,0.6405,0,0,0,0.1599,0.5269,0.1056,-0.036
"NAPRT",0,0.4199,0,0,0,0.4085,0.5903,0.1032,-0.1266
"NR2E3",0,0.587,0,0,0,0.3296,0.3173,0.1227,-0.0294
"NTSR2",0,4.4156,0,0,0,0.6681,0.4425,0.0825,-0.0327
"OR10G3",0,0.4362,0,0,0,0.5906,0.2795,0.109,-0.0221
"OXER1",0,0.3159,0,0,0,0.5557,0.4344,0.1562,-0.0272
"PACSIN3",0,0.5896,0,0,0,0.2043,0.3193,0.0839,-0.0265
"PAFAH1B3",0,0.6031,0,0,0,0.3173,0.2987,0.0595,-0.0409
"PFDN2",0,0.8053,0,0,0,0.0941,0.5312,0.078,0.0269
"PMF1",0,0.7288,0,0,0,0.1723,0.7431,0.0497,0.3056
"POLR2I",0,0.5635,0,0,0,0.284,0.5281,0.0726,0.007
"DKFZP586I111",0,0.5727,0,0,0,0.2696,0.6455,0.1033,0.0974
"RBMX",0,0.7581,0,0,0,0.0395,0.2786,0.1399,-0.0061
"KBF2",0.0011,0,0,0,0,0.0105,0.4481,0.1815,0.0028
"RBPMS",0,0.7019,0,0,0,0.2197,0.3352,0.1188,-0.0238
"RNASEH2A",0,0.5678,0,0,0,0.2694,0.3127,0.1222,-0.0419
"RNF19B",0,-0.6565,0,0,0,1.3389,0.1603,0.0984,-0.0238
"RPL28",0,0.5768,0,0,0,0.3194,0.7536,0.102,0.1317
"RPL37",0,0.6776,0,0,0,0.2196,0.5921,0.1114,-0.0382
"RPP40",0,0.7287,0,0,0,0.1092,0.3602,0.1379,-0.0176
"SAFB",0,0.8467,0,0,0,-0.0701,0.3259,0.1001,0.009
"CLASRP",0,0.7669,0,0,0,0.0472,0.301,0.0916,-0.0337
