"","main","clark","stage","age","gender","","","",""
"AMY1A",2e-04,0,0,0,0,0.5848,0.2831,0.1071,0.0519
"MGC14458",2e-04,0,0,0,0,0.9761,0.3193,0.1169,0.024
"CDR1",0.033,0,0,0,0,0.8518,0.0895,0.2325,0.0173
"DRD2",0.0268,0,0,0,0,0.6893,0.1402,0.1656,0.0609
"METTL21B",0.0022,0,0,0,0,1.0114,0.5028,0.1634,-0.02
"HOMG2",0.0419,0,0,0,0,0.7724,0.32,0.2398,0.0441
"ISLR",4e-04,0,0,0,0,0.7104,0.3908,0.2076,-0.0156
"AGAP2-AS1",0.001,0,0,0,0,0.9321,0.2318,0.1114,0.0075
"MARCH9",0.0018,0,0,0,0,1.0171,0.3691,0.1448,0.0387
"METTL1",0.0016,0,0,0,0,0.9504,0.2347,0.1037,0.056
"NBPF9",0.002,0,0,0,0,0.9869,0.162,0.1568,-0.3477
"NHLH1",0.1082,0,0,0,0,0.6717,0.2767,0.2038,0.0127
"OXTR",0.0107,0,0,0,0,0.9013,0.1105,0.1594,-0.1143
"INAFM1",0.0044,0,0,0,0,0.6152,0.4429,0.0741,-0.1179
"TNNC2",0.1529,0,0,0,0,0.9633,0.2546,0.0138,-0.164
"TSFM",0.0011,0,0,0,0,1.0169,0.4403,0.2306,0.0033
"TSPAN31",8e-04,0,0,0,0,1.0809,0.3463,0.1791,-0.0264
"USP35",0.0024,0,0,0,0,0.8855,0.2711,0.0482,0.0544
"WDR31",0.0164,0,0,0,0,0.6469,-0.055,0.2898,0.0207
"HSPB1P1",0.0013,0,0,0,0,0.6132,0.4858,0.0972,0.037
"ACBD6",0.0013,0,0,0,0,0.4353,0.2371,-0.144,0.0527
"ACER3",0.0012,0,0,0,0,0.9826,0.0433,0.1238,0.1044
"NAAR1",0.0291,0,0,0,0,0.8951,0.2085,0.032,-0.0284
"ADCY6",5e-04,0,0,0,0,0.399,0.1062,0.0642,0.1595
"AEN",6e-04,0,0,0,0,0.5785,0.0292,0.1704,0.0467
"AK9",0.0079,0,0,0,0,0.7965,0.1983,0.3724,0.0404
"AKR7A3",0.0289,0,0,0,0,0.9745,0.0509,0.2859,0.0053
"ALG8",5e-04,0,0,0,0,0.9096,0.3125,0.0544,0.0879
"ALKBH7",9e-04,0,0,0,0,0.7203,0.2761,0.1143,0.0571
"ALK",0.0025,0,0,0,0,0.8245,0.1355,0.2858,-0.0265
"ANKRD13B",0.0024,0,0,0,0,0.8911,0.2189,0.0443,0.0179
"APIP",0.0027,0,0,0,0,0.7042,0.4053,0.1764,-0.0682
"ARSK",0.003,0,0,0,0,0.6051,0.2327,0.2548,-0.1012
"DAR",1e-04,0,0,0,0,0.8009,0.2007,0.1237,0.0464
"B4GALT3",6e-04,0,0,0,0,0.37,0.474,-0.0178,0.3342
"BCAR4",0.653,0,0,0,0,0.6941,0.2596,0.103,0.0273
"BGLAP",0.0147,0,0,0,0,0.401,0.2741,0.1763,0.2978
"MPC1",0.0019,0,0,0,0,0.6222,0.4617,-0.1442,-0.1325
"C10orf114",0.0167,0,0,0,0,0.8516,0.0585,0.1491,-0.1316
"C11ORF30",0.0024,0,0,0,0,1.0029,0.0732,0.1953,-0.0689
"ANAPC15",0.0019,0,0,0,0,0.7068,0.2008,0.0937,-0.0985
"FLJ21035",0.0026,0,0,0,0,0.9166,0.2214,0.0386,0.0723
"RHNO1",0.0012,0,0,0,0,0.7491,0.1237,0.0855,0.0567
"MEDAG",0.0036,0,0,0,0,0.8849,0.1568,0.2732,0.0829
"ARHGAP5-AS1",0.0033,0,0,0,0,0.8706,0.2672,-0.1125,0.0382
