"","main","clark","stage","age","gender","","","",""
"AMY1A",2e-04,9.3308,-2.1212,0,6.3334,0.5814,0.2875,0.1138,0.0526
"HOMG2",0,0,-3.3518,-0.4685,0,0.7473,0.3245,0.1953,0.0293
"ISLR",4e-04,0,0,0,0,0.6843,0.4389,0.1743,-0.0245
"AGAP2-AS1",0.001,0,0,0,0,0.9481,0.1496,0.0867,0.062
"MARCH9",0.0018,0,0,0,0,1.0388,0.2716,0.0979,0.0716
"METTL1",0.0015,0,0,0,0,0.972,0.1915,0.1133,0.0461
"NHLH1",0.1055,0,0,0,0,0.6134,0.2063,0.1253,0.002
"WDR31",0.0165,0,0,0,0,0.6174,-0.0553,0.2234,0.0601
"HSPB1P1",0.0013,0,-0.8054,0,0,0.6175,0.5078,0.0996,0.0145
"NAAR1",0,-1.5786,0,0,0,0.9716,0.1934,0.1266,0.0489
"ALG8",5e-04,0,0,0,0,0.9372,0.2946,0.0448,0.046
"ANKRD13B",0.0023,0,0,0,0,0.9314,0.2202,0.0823,0.094
"DNAJC8",4e-04,0,0,0,0,1.0491,0.1636,0.3123,0.0487
"FBXO4",0,0,0,0,-0.059,0.8148,0.0284,0.15,0.0743
"FBXW11",0,0,0,0,0.1237,0.709,0.2498,0.0608,-0.1147
"FLJ10739",0,0.5194,0,0,0.2659,0.3263,0.1637,-0.064,-0.2033
"HMGCL",0,-0.3159,0,0,0,0.8651,0.132,0.1249,0.0104
"HMOX2",0,-0.3576,0,0,0,0.7899,0.2117,0.097,0.0457
"HN1L",0,-0.4332,0,0,0,0.9425,-0.1681,0.08,0.022
"NUP85",0.0011,0,0,0,0,0.6079,0.2981,0.0494,0.0163
"OR9G9",0,0,0,0,-1.3781,0.631,0.1768,0.1345,0.013
"PDE6A",0.0938,0,0,0,0,0.7933,0.1506,0.0209,-0.0625
"PFDN2",5e-04,0,0,0,0,0.1344,0.2043,0.0731,0.0625
"PLRG1",9e-04,0,0,0,0,1.1408,0.2169,0.0804,0.4931
"PRR3",0,0.5531,0,0,0,0.2959,0.5961,0.0836,-0.0352
"PRR5L",0,-0.4565,0,0,0,1.0935,0.0448,0.1928,0.0033
"DKFZP434D245",6e-04,0,0,0,0,0.7035,0.2511,0.1841,0.0732
"RALB",0,0,0,0,-0.4932,0.7108,0.232,0.1308,0.4331
"RANBP2",3e-04,0,0,0,0,0.7052,0.3031,0.1121,-0.0563
"REEP3",0,0,0,0,0.3134,0.5891,0.2249,0.0849,-0.217
"SLC22A11",0,0,0,-1.5938,-1.2543,0.8582,0.0274,0.2721,0.0899
"SLC8B1",0.0016,0,0,0,0,0.9593,-0.0172,0.1138,-0.162
"SLC2A1",0,0,0,0,-0.0574,0.858,0.1515,0.2262,0.0513
"SLC2A8",0.0022,0,0,0,0,0.8458,0.2229,0.1272,0.007
"SLC30A9",6e-04,0,0,0,0,0.6884,0.2286,0.0704,-0.0164
"FLJ10928",0.0015,0,0,0,0,0.8263,0.1914,0.0818,0.025
