"","main","clark","stage","age","gender","clark","stage","age","gender"
"NHLH1",0,0.0527,0,0,0,0.6903,0.2595,0.127,-0.014
"INAFM1",0,0.0013,0,0,0,0.6628,0.2702,0.1335,-0.0247
"BGLAP",-0.0024,0.0084,0,0,0,0.8245,0.2492,0.1302,-0.0214
"PTRHD1",0,0.0012,0,0,0,0.6539,0.2826,0.1299,-0.0362
"LDLRAD2",0,6e-04,0,0,0,0.6537,0.2689,0.1304,-0.0203
"PER1",0,2e-04,0,0,0,0.6488,0.2731,0.1138,-0.003
"PNMT",-0.0504,0.0504,0,0.11,0,0.7464,0.2587,0.309,-0.0261
"PPP1R14A",0,0.0052,0,0,0,0.6592,0.2965,0.1355,0.0023
"SEMA6C",0,0.0018,0,0,0,0.7014,0.2607,0.1308,-0.0117
"EFCAB8",0,0.1834,-0.2198,0,0,0.7601,0.2148,0.1174,-0.0136
"ANKRD19P",0,0.0034,0,0,0,0.6461,0.2768,0.1205,-0.0302
"ATP5L2",0,0.2303,0,0,0,0.6938,0.2872,0.1111,-0.0116
"BRD9",0,4e-04,0,0,0,0.6531,0.3004,0.1041,-0.0223
"C14ORF80",0,0.0012,0,0,0,0.676,0.2629,0.1096,-0.0319
"C14ORF93",0,0.003,0,0,0,0.6949,0.2673,0.1121,-0.0163
"C16ORF74",0,0.0011,0,0,0,0.6297,0.2959,0.1161,-0.0053
"CCDC101",0,0.0012,0,0,0,0.6505,0.2695,0.1127,-0.0277
"CDC25C",0,0.0032,0,0,0,0.6366,0.2884,0.1263,-0.0148
"CENPH",0,0.0018,0,0,0,0.6712,0.2639,0.1237,-0.0186
"CEP72",0,0.0019,0,0,0,0.6595,0.2852,0.1075,-0.0139
"CHTF18",0,7e-04,0,0,0,0.6817,0.2494,0.1085,-0.0303
"CLVS1",0,0.0559,0,0,0,0.6943,0.2077,0.1348,-0.0043
"CORT",0,0.0332,0,0,0,0.6479,0.2801,0.1198,-0.0147
"CPSF1",0,2e-04,0,0,0,0.6465,0.2649,0.1223,-0.013
"CREB3L4",0,0.0013,0,0,0,0.6511,0.2639,0.1281,0.0105
"CRX",-0.5345,0,0,0,0,0.7265,0.2286,0.096,0.0051
"CYP2C9",0,0.271,0,0,0,0.932,0.1935,0.1394,-0.0415
"CYTH2",0,5e-04,0,0,0,0.6623,0.2416,0.1369,-0.0421
"DCPS",0,6e-04,0,0,0,0.7041,0.2786,0.0974,-0.0401
"DECR1",0,3e-04,0,0,0,0.6727,0.2807,0.1242,-0.0108
"DEFB126",0,0.1851,0,0,0,0.694,0.2735,0.1047,-0.0253
"DTD1",0,9e-04,0,0,0,0.6869,0.2743,0.1045,-0.0419
"DTNB",0,7e-04,0,0,0,0.636,0.2848,0.123,-0.0075
"ECSIT",0,5e-04,0,0,0,0.67,0.2685,0.1177,-0.036
"ERCC1",0,3e-04,0,0,0,0.6624,0.2766,0.1267,-0.0402
"FGF21",-0.5345,1.1317,0,0,0,0.9635,0.2654,0.1258,-0.079
"FRA3B",0,0.0036,0,0,0,0.6383,0.2947,0.0969,-0.011
"FOXE3",0,0.1073,0,0,0,0.6905,0.2751,0.126,-0.0348
"FUS",0,1e-04,0,0,0,0.6494,0.2667,0.1187,-0.015
"GPR22",0,0.3419,0,0,0,0.8078,0.208,0.1035,-8e-04
"GRM6",0,0.1012,0,0,0,0.7036,0.2609,0.1373,-0.0036
"GSC",-0.0162,0.011,0,0,0,0.6609,0.3021,0.1004,-0.0101
"H2AFY2",0,0.0012,0,0,0,0.6993,0.2198,0.1248,-0.0028
"HAUS5",0,0.0012,0,0,0,0.6602,0.2745,0.1093,-9e-04
"HIST1H1B",0,0.0837,0,0,0,0.6787,0.2804,0.1141,-6e-04
"H2A",0,0.0093,0,0,0,0.6271,0.2755,0.1218,-0.006
"HNRNPA0",0,2e-04,0,0,0,0.6275,0.2886,0.1222,-0.0231
"HNRNPA3P1",0,0.0074,0,0,0,0.6658,0.2572,0.1131,-8e-04
"IFI27L1",0,0.0016,0,0,0,0.6488,0.2738,0.1142,-0.011
"IGLL1",0,0.2003,0,0,0,0.7657,0.221,0.0927,-0.0067
"IMMP1L",0,0.0108,0,0,0,0.6767,0.284,0.1235,-0.0315
"IP6K2",0,8e-04,0,0,0,0.6441,0.2738,0.1239,-0.0125
"JPH4",0,0.001,0,0,0,0.6562,0.278,0.1233,-0.023
"LMX1A",-0.2636,0.2275,0,0,0,0.7142,0.2379,0.0943,-0.01
"LY86-AS1",0,0.269,0,0,0,0.7541,0.2267,0.0953,0.0211
"LRRC48",0,0.0123,0,0,0,0.6821,0.2896,0.1315,0.0021
"LSM7",0,5e-04,0,0,0,0.6554,0.2511,0.121,-0.0323
"MAGED4",-0.0011,0.001,0,0,0,0.6797,0.2975,0.1094,0.0276
"MESP1",0,0.0073,0,0,0,0.6615,0.2546,0.1239,-0.0195
"MRPL2",0,3e-04,0,0,0,0.6583,0.2856,0.1154,-0.03
"MXD3",0,9e-04,0,0,0,0.647,0.2814,0.1235,-0.0364
"MYL6B",0,5e-04,0,0,0,0.6806,0.2871,0.1206,-0.0359
"MYLK2",0,0.0609,0,0,0,0.7207,0.274,0.1434,-0.017
"NR2E3",0,0.2028,0,0,0,0.6773,0.2722,0.1335,-0.031
"OR10G3",0,0.8985,0,0,0,0.6288,0.2974,0.1128,-0.0096
"OXER1",0,0.0038,0,0,0,0.6527,0.2954,0.1272,-0.0071
"PACSIN3",0,6e-04,0,0,0,0.6542,0.2912,0.1244,-0.0355
"PFDN2",0,3e-04,0,0,0,0.6678,0.255,0.1362,-0.0067
"POLR2I",0,6e-04,0,0,0,0.6529,0.2667,0.1282,-0.0428
"PTTG2",0,0.0657,0,0,0,0.661,0.2962,0.1125,-0.0095
"KBF2",-9e-04,0,0,0,0,0.6647,0.225,0.1185,-0.0334
"RNF19B",0,-5e-04,0,0,0,0.731,0.2133,0.1105,-0.0261
"RPL31P11",0,0.0368,0,0,0,0.6683,0.2348,0.1248,0.0031
"RPP40",0,0.0029,0,0,0,0.6549,0.2713,0.1324,0.0083
"CLASRP",0,0.001,0,0,0,0.6782,0.2414,0.1206,-0.026
"HND",0,0.1022,0,0,0,0.6283,0.3112,0.1244,-0.0049
"SNCB",0,9e-04,0,0,0,0.6394,0.3111,0.1108,-0.0127
"SNRPA",0,3e-04,0,0,0,0.6366,0.2726,0.1276,-0.0267
"SNRPF",0,6e-04,0,0,0,0.6561,0.2704,0.1222,-0.0238
"SNX12",0,-0.0025,0,0,0,0.6895,0.2371,0.1351,-0.0062
"SYCE1L",0,0.0123,0,0,0,0.6644,0.2862,0.1212,-0.0158
"SYCE2",0,0.0142,0,0,0,0.6635,0.2825,0.1088,-0.0224
"SYNGR4",-0.0892,0.2899,0,0,0,0.8404,0.1754,0.126,-0.0432
"TFAMP1",0,0.1339,0,0,0,0.6523,0.2847,0.1219,0.0026
"TMEM160",0,0.0016,0,0,0,0.6569,0.2783,0.1221,-0.0195
"TMPRSS5",0,0.0026,0,0,0,0.6477,0.2794,0.1079,0.0027
"TMSB15B",0,0.0061,0,0,0,0.7337,0.2503,0.1038,0.0133
"VHLL",-0.7428,0,0,0,0,0.7479,0.2077,0.1323,-0.0167
"WASH3P",0,8e-04,0,0,0,0.6528,0.2687,0.1244,-0.0158
