"","main","clark","stage","age","gender","clark","stage","age","gender"
"DRD2",-0.0074,0,0,0,0,0.816,0.3881,0.0861,-0.123
"AEN",2e-04,0,0,0,0,0.5885,0.3046,0.0862,0.0546
"BGLAP",0,0.0062,0,0,0,0.7319,0.2763,0.1246,0.0322
"MPC1",0,0.001,0,0,0,0.5982,0.2761,0.1114,-0.0049
"PTRHD1",0,0.0012,0,0,0,0.5968,0.2636,0.1287,-0.0024
"HSPA12B",0,9e-04,0,0,0,0.6013,0.2802,0.1214,0.0221
"LDLRAD2",0,9e-04,0,0,0,0.5889,0.2705,0.1191,0.0171
"LRFN1",0,0.0014,0,0,0,0.6349,0.2563,0.1152,0.0277
"MATN4",0,0,0,0.0261,0,0.5881,0.2166,0.2389,0.0294
"MDM1",-0.0018,0,0,0,0,0.5385,0.2898,0.1082,0.06
"MYOD1",-0.0234,0.0495,0,0,0,0.7874,0.1757,0.1903,0.0386
"OLFML2B",-2e-04,0,0,0,0,0.5888,0.3049,0.1083,0.0401
"SLC51A",0.0209,0,0,0,0,0.5417,0.3232,0.07,0.0787
"PIGH",0.0011,0,0,0,0,0.612,0.2732,0.101,0.0274
"PITPNA",3e-04,0,0,0,0,0.6111,0.2454,0.1255,0.0478
"PTPRB",-5e-04,0,0,0,0,0.5781,0.3009,0.1094,0.0582
"PXDNL",-0.0106,0,0,0,0,0.5968,0.2734,0.0779,0.0187
"SCX",-0.0201,0,0,0,0,0.7088,0.269,0.1467,0.0444
"SEMA6C",-0.0011,0,0,0,0,0.6473,0.2677,0.1296,0.035
"SHOC2",-6e-04,0,0,0,0,0.5592,0.2723,0.1338,0.0467
"SSTR2",-0.0085,0,0,0,0,0.5824,0.2781,0.1214,0.072
"THADA",-7e-04,0,0,0,0,0.5413,0.2985,0.1017,0.0427
"ANKRD28",1e-04,0,0,0,0,0.5955,0.2908,0.1061,0.0505
"BICD2",3e-04,0,0,0,0,0.5893,0.3068,0.0894,0.0523
"BST1",9e-04,0,0,0,0,0.577,0.2853,0.1391,0.0276
"STPG1",7e-04,0,0,0,0,0.5937,0.251,0.1087,0.0512
"C1ORF216",4e-04,0,0,0,0,0.5634,0.2718,0.0944,0.0596
"CAPN1",1e-04,0,0,0,0,0.5463,0.2891,0.0652,0.0562
"CBR3",5e-04,0,0,0,0,0.5686,0.2792,0.1015,0.0683
"CC2D1B",3e-04,0,0,0,0,0.564,0.271,0.1133,0.0298
