"","main","clark","stage","age","gender","clark","stage","age","gender"
"NHLH1",0,0.0242,0,0,0,0.607,0.2822,0.0925,0.0407
"AGAP8",0,0.0054,0,0,0,0.5881,0.2894,0.093,0.0509
"C16ORF74",0,9e-04,0,0,0,0.5765,0.2852,0.1048,0.0665
"CORT",0,0.0227,0,0,0,0.592,0.2838,0.0985,0.0464
"CRX",-0.3422,0,0,0,0,0.5862,0.2798,0.1209,0.0589
"CRYAA",0,0.0173,0,0,0,0.5794,0.2982,0.1093,0.058
"DKKL1",0,0.0054,0,0,0,0.5821,0.2935,0.1004,0.0495
"FABP2",0,0,0.1395,0,0,0.5805,0.2935,0.1088,0.043
"FILIP1",-0.0047,0,0,0,0,0.5709,0.2748,0.1078,0.0781
"GH1",0,0.0295,0,0,0,0.5827,0.2892,0.098,0.0502
"GPR20",-0.0495,0,0,0,0,0.5937,0.2856,0.1058,0.0514
"H2A",0,0.0097,0,0,0,0.5769,0.2725,0.1101,0.0625
"IFI27L1",0,0.0016,0,0,0,0.5804,0.2704,0.1038,0.0353
"LIPJ",0,0,0,-0.1456,0,0.5927,0.2728,0.0945,0.0561
"ZFHX4-AS1",-0.0279,0,0,0,0,0.5554,0.3026,0.1128,0.0528
"MUC6",0,0.0572,0,0,0,0.5891,0.2919,0.1004,0.0385
"NHSL2",-0.0098,0,0,0,0,0.6108,0.2836,0.0958,0.0404
"OR10G3",-0.466,0.9012,0.1012,0,0.5103,0.604,0.2962,0.1076,0.0513
"OXER1",0,0.0038,0,0,0,0.591,0.2747,0.1039,0.0501
"PRDM6",-0.0137,0,0,0,0,0.5944,0.2904,0.1085,0.0522
"PTPN4",-0.0025,0,0,0,0,0.5728,0.2791,0.0849,0.0317
"KBF2",-5e-04,0,0,0,0,0.5669,0.2694,0.1021,0.0404
"HND",0,0.1047,0,0,0,0.5831,0.3,0.1013,0.049
"SNCB",0,8e-04,0,0,0,0.5884,0.2878,0.094,0.0482
"SYCE1L",0,0.0119,0,0,0,0.6042,0.2849,0.0972,0.0539
"TFAMP1",0,0.1288,0,0,0,0.6252,0.2838,0.0883,0.0653
"VHLL",-0.3528,0,0,0,0,0.6358,0.2639,0.1101,0.0368
"VPS37B",3e-04,0,0,0,0,0.5852,0.2622,0.0841,0.0444
"WASH3P",0,3e-04,0,0,0,0.6012,0.2754,0.1031,0.0462
