"","main","clark","stage","age","gender","clark","stage","age","gender"
"CDR1",-0.0163,0,0,0,0,0.7176,0.3105,0.1477,0.0437
"DRD2",-0.0089,0,0,0,0,0.9452,0.3106,0.1057,-0.1556
"DAR",1e-04,0,0,0,0,0.7349,0.2275,0.123,-0.0292
"BGLAP",-0.0041,0,0,0,0,0.821,0.2495,0.1796,0.0074
"CHTOP",-4e-04,0,0,0,0,0.6713,0.2648,0.1268,0.0115
"CHP1",1e-04,0,0,0,0,0.6877,0.2884,0.1106,-0.0027
"JUN",-1e-04,0,0,0,0,0.6936,0.2397,0.1383,-0.0232
"KCTD21",0.001,0,0,0,0,0.6506,0.2019,0.0745,0.0048
"MYOD1",-0.0338,0,0,0,0,0.921,0.1282,0.2755,0.0063
"OXT",-0.2651,0,0,0,0,0.7904,0.2164,0.16,-0.0181
"PER1",-2e-04,0,0,0,0,0.6471,0.2609,0.1266,-0.0035
"PIGH",0.0012,0,0,0,0,0.735,0.238,0.1107,-0.0259
"PITPNA",3e-04,0,0,0,0,0.7232,0.2129,0.1366,-0.0196
"PNMT",-0.0574,0,0,0,0,0.7462,0.2553,0.3283,-0.0261
"PPP1R14A",-0.0059,0,0,0,0,0.6566,0.2965,0.149,-0.0059
"PTP4A3",-2e-04,0,0,0,0,0.7284,0.2418,0.1312,-0.0491
"SCX",-0.0289,0,0,0,0,0.8766,0.1858,0.1979,-0.0064
"SEMA6C",-0.0014,0,0,0,0,0.6993,0.2657,0.1343,-0.0094
"SSTR2",-0.0119,0,0,0,0,0.7376,0.2502,0.0965,0.0156
"STX3",2e-04,0,0,0,0,0.7321,0.2445,0.1093,-0.0149
"SUPT7L",-7e-04,0,0,0,0,0.753,0.227,0.0942,0.0129
"TATDN1",-0.0015,0,0,0,0,0.7108,0.242,0.1277,-0.0108
"THADA",-9e-04,0,0,0,0,0.7043,0.2743,0.102,0.001
"ZP4",0.0409,0,0,0,0,0.8334,0.2903,0.115,-0.1192
"CAR10",-2e-04,0,0,0,0,0.7315,0.2211,0.1056,-0.0142
"AGR3",-0.4394,0,0,0,0,2.09,-0.8576,0.0289,-0.0471
"ANKRD28",1e-04,0,0,0,0,0.6893,0.2657,0.1187,0.0071
"AOC3",-7e-04,0,0,0,0,0.7521,0.223,0.0819,-0.0112
"ARMC9",4e-04,0,0,0,0,0.6922,0.2712,0.101,-0.0054
"ASH2L",4e-04,0,0,0,0,0.6984,0.2705,0.118,0.0055
"BMP4",-0.0017,0,0,0,0,0.763,0.2301,0.1136,-0.0238
"C1ORF54",-0.0019,0,0,0,0,0.7184,0.2494,0.1141,0.0012
"CYP1B1-AS1",-0.0795,0,0,0,0,0.7618,0.2049,0.11,-0.0076
"CACNA2D2",-0.0016,0,0,0,0,0.7253,0.2676,0.1112,0.0028
"CDH11",-2e-04,0,0,0,0,0.7538,0.2329,0.1106,-0.0216
"COX4I2",-0.0102,0,0,0,0,0.7013,0.2466,0.1078,0.002
"COX8C",-0.2148,0,0,0,0,0.7206,0.2518,0.1708,0.001
"CRX",-0.5389,0,0,0,0,0.7249,0.2358,0.0984,0.01
"CTNND1",1e-04,0,0,0,0,0.725,0.2565,0.1037,-0.0136
"CYP2C9",-0.1268,0,0,0,0,0.9489,0.1742,0.1526,-0.0637
"DCLK3",-0.0136,0,0,0,0,0.7005,0.2414,0.1224,0.0012
"DNASE1L1",6e-04,0,0,0,0,0.6688,0.2271,0.1344,-0.049
"ELOVL1",2e-04,0,0,0,0,0.6946,0.2274,0.0947,0.0154
"ENPEP",-0.0022,0,0,0,0,0.7588,0.2284,0.0885,-0.004
"FAIM2",-0.0047,0,0,0,0,0.7555,0.2203,0.0861,-0.0251
"FBLN1",-1e-04,0,0,0,0,0.7366,0.2409,0.1235,-0.0189
"FGF8",-0.3343,0,0,0,0,0.7978,0.2148,0.1265,-0.0441
