"","main","clark","stage","age","gender","clark","stage","age","gender"
"CDR1",-0.6056,0.6851,0,0,0,0.7117,0.2593,0.1288,0.0103
"DRD2",-0.7397,0.7447,0,0,0,0.7657,0.233,0.1151,-0.0113
"NHLH1",0,0.3061,0,0,0,0.6894,0.2501,0.1198,-0.0106
"INAFM1",0,0.298,0,0,0,0.6603,0.2653,0.125,-0.0231
"HSPB1P1",0,0.1732,0,0,0,0.7037,0.2351,0.1184,-0.0166
"ACBD6",0,0.2628,0,0,0,0.6734,0.2819,0.1284,-0.0073
"AHNAKRS",0,-0.184,0,0,0,0.7326,0.232,0.0985,-0.0066
"ALKBH7",0,0.2,0,0,0,0.691,0.2484,0.1053,-0.0236
"ANKRD13B",0,0.1236,0,0,0,0.7145,0.2311,0.1177,-0.0127
"DAR",0.1863,0,0,0,0,0.7373,0.217,0.1132,-0.0126
"B4GALT3",0,0.1845,0,0,0,0.7055,0.2458,0.1293,0.0031
"BGLAP",-0.6479,0.6993,0,0,0,0.8121,0.2457,0.1235,-0.0172
"CHTOP",0,0.291,0,0,0,0.6758,0.2553,0.1137,-0.0061
"PTRHD1",0,0.3107,0,0,0,0.6525,0.2759,0.1253,-0.03
"FAM212A",0,0.269,0,0,0,0.6814,0.2739,0.1246,-0.0206
"UQCC2",0,0.2521,0,0,0,0.6902,0.2649,0.1234,-0.0318
"C9ORF142",0,0.2266,0,0,0,0.6946,0.2414,0.1126,-0.0202
"CCL15",0,0.2299,-0.2181,0,0,0.7125,0.2398,0.1065,-0.0243
"CCS",0,0.1944,0,0,0,0.7115,0.2407,0.1088,-0.0214
"CHP1",0.2295,-0.1707,0,0,0,0.7013,0.2516,0.1119,7e-04
"CNPY3",0,0.2195,0,0,0,0.6938,0.2409,0.1107,-0.0132
"DACT2",0,-0.0376,0,0,0,0.7333,0.2249,0.1137,-0.0093
"DDAH2",0,0.1972,0,0,0,0.7048,0.2602,0.1229,-0.0276
"ETFA",0,0,0.0623,0,0,0.7319,0.2247,0.1079,-0.0115
"EVA1B",0,0.2865,0,0,0,0.6593,0.2584,0.1363,-0.0101
"FAM71E1",0,0.2225,0,0,0,0.6824,0.2349,0.1145,-0.0153
"FBN3",0,0.1824,0,0,-0.1305,0.7484,0.2248,0.1138,-0.0178
"FKBP8",0,0.1811,0,0,0,0.7101,0.2426,0.1082,-0.0228
"PRG6",0,0.2728,0,0,0,0.6815,0.2464,0.1096,-0.0311
"GPR156",0,0.1685,0,0,0,0.7045,0.2392,0.1204,-0.0012
"GRAMD1A",0,0.2007,0,0,0,0.7013,0.2487,0.1055,-0.0197
"MGC4485",-0.0991,0,0,0,0,0.735,0.2279,0.1122,-0.0055
"HIST1H1E",0,0.1451,0,0,0,0.7229,0.2255,0.12,-0.0058
"HMGB3",0,0.1274,0,0,0,0.7151,0.238,0.1086,-0.0184
"CTM",0,0.1746,0,0,0,0.7062,0.2204,0.111,0.0083
"HSPA12B",0,0.2947,0,0,0,0.6571,0.28,0.1199,-0.0043
"HSPBP1",0,0.2175,0,0,0,0.6973,0.2486,0.114,-0.0296
"JUN",-0.179,0.2573,0,0,0,0.6882,0.2309,0.1326,-0.0192
"KCNA5",0,0.2047,0,0,0,0.6978,0.267,0.1149,-0.005
"KCTD21",0.5875,-0.5559,0,0,0,0.6702,0.2207,0.1003,-0.0018
"LDLRAD2",0,0.3131,0,0,0,0.6536,0.2611,0.1254,-0.0187
"LIN7A",0,0,0,-0.0337,0,0.7314,0.2323,0.1116,-0.0102
"LINC00552",0,0.2152,0,0,0,0.7061,0.2216,0.1078,0.0018
"LRFN1",0,0.1676,0,0,0,0.7105,0.2397,0.1087,-0.0185
"MATN4",0,0,0,-0.0066,0,0.7312,0.2298,0.1104,-0.0064
"MYOD1",-0.8046,0.5339,-0.2599,0.1444,0,0.8546,0.1603,0.1779,0.0028
"DNMBP-AS1",0,0.1892,0,0,0,0.7072,0.2392,0.1385,-0.0099
"NDUFS8",0,0.2116,0,0,0,0.6824,0.2525,0.1141,-0.0291
"TONSL",0,0.201,0,0,0,0.6822,0.2508,0.1076,-0.0203
"NYX",0,0.6642,-0.6519,0,0,0.6986,0.2314,0.1124,-0.0226
"OXT",-0.6568,0.65,0,0,0,0.7658,0.2241,0.1284,-0.013
"PEMT",0,0.2537,0,0,0,0.6727,0.268,0.1076,-0.031
"PER1",-0.1882,0.3541,0,0,0,0.6457,0.254,0.1213,-0.0019
"PIGH",0.1954,0,0,0,0,0.734,0.2254,0.1008,-0.0265
"PITPNA",0.231,0,0,0,0,0.7225,0.2234,0.127,-0.0398
"PNMT",-0.6141,0.2691,0,0.4466,0,0.7439,0.2561,0.2703,-0.0216
"POGZ",0,0.2252,0,0,0,0.6946,0.2425,0.1354,0.01
"PPP1R14A",-0.2664,0.3385,0,0,0,0.659,0.2901,0.1317,0.0012
"PRCC",0,0.1837,0,0,0,0.705,0.2505,0.1163,-0.0096
"PTP4A3",-0.1179,0.223,0,0,0,0.7189,0.2532,0.1088,-0.0185
"PUSL1",0,0.2413,0,0,0,0.6759,0.2453,0.1201,-0.0347
"RAB11B",0,0.2002,0,0,0,0.7089,0.2361,0.1049,-0.0296
"SCX",-0.1259,0,0,0,0,0.7362,0.2245,0.117,-0.0169
"SEMA6C",-0.2033,0,0,0,0,0.7457,0.2221,0.1139,-0.0066
"SSTR2",-0.1405,0,0,0,0,0.738,0.2232,0.1066,-0.0076
"STX3",0.2055,0,0,0,0,0.7272,0.2433,0.0894,-0.01
"TATDN1",-0.0671,0,0,0,0,0.7334,0.2258,0.1122,-0.0075
"THADA",-0.207,0,0,0,0,0.7102,0.2471,0.0848,-0.0138
"C6orf46",-0.1209,0,0,0,0,0.7442,0.2185,0.1192,-0.0134
"ZP4",-0.0314,0,0,0,0,0.7308,0.2235,0.1109,-0.0116
"ACTA2",-0.1594,0,0,0,0,0.7499,0.2272,0.0974,-0.0163
"CAR10",-0.231,0,0,0,0,0.7321,0.2297,0.0943,-0.0075
"AGER",-0.1266,0,0,0,0,0.7354,0.2218,0.1113,-0.0094
"AGR3",-0.1069,0,0,0,0,0.7367,0.2257,0.114,-0.015
"ANKRD28",0.1054,0,0,0,0,0.715,0.2373,0.1134,-0.0017
"AOC3",-0.1965,0,0,0,0,0.7539,0.2188,0.0773,-0.0222
"ASH2L",0.1903,0,0,0,0,0.7349,0.2415,0.1183,-0.003
"BGN",-0.1871,0,0,0,0,0.7441,0.2335,0.0988,-0.0192
"BTNL9",-0.2047,0,0,0,0,0.7178,0.2239,0.1112,-0.0016
"CYP1B1-AS1",-0.0974,0,0,0,0,0.731,0.2343,0.1096,-0.005
"CACNA2D2",-0.1703,0,0,0,0,0.7344,0.234,0.1181,5e-04
"CBR3",0.1613,0,0,0,0,0.7248,0.2409,0.0942,-0.0046
