"","main","clark","stage","age","gender"
"CDR1",1,1,0,0,0
"NHLH1",0,1,0,0,0
"INAFM1",0,0.994401119776045,0,0,0
"ACBD6",0,0.786842631473705,0,0,0
"BGLAP",1,1,0,0,0
"CHTOP",0,0.97620475904819,0,0,0
"PTRHD1",0,0.99880023995201,0,0,0
"FAM212A",0,0.92001599680064,0,0,0
"UQCC2",0,0.417916416716657,0,0,0
"CCDC153",0,0.393121375724855,0,0,0
"EVA1B",0,0.969606078784243,0,0,0
"FAM71D",0,0.990201959608078,0,0,0
"FAM71E1",0.712257548490302,0.900819836032793,0,0,0
"PRG6",0,0.681863627274545,0,0,0
"HIST1H1E",0.945610877824435,0.962207558488302,0,0,0
"HSPA12B",0,0.988002399520096,0,0,0
"JUN",0,0.414917016596681,0,0,0
"KCNA5",0,0.479904019196161,0,0,0
"LDLRAD2",0,0.995800839832034,0,0,0
"LINC00552",0,0.823235352929414,0,0,0.517096580683863
"DNMBP-AS1",0,0.982003599280144,0,0.820835832833433,0
"PEMT",0,0.475704859028194,0,0,0
"PER1",0,1,0,0,0
"PNMT",0.975404919016197,0.976004799040192,0,0.966606678664267,0
"PPP1R14A",0.985202959408118,0.993201359728054,0,0,0
"PUSL1",0,0.436512697460508,0,0,0
"RPL32",0,0.827634473105379,0,0,0
"RPS14",0,0.998200359928014,0,0,0
"SEMA6C",0.935212957408518,0.998200359928014,0,0,0
"SHOC2",0.738252349530094,0,0,0,0
"SMC3",0,0.77004599080184,0,0,0
"SMNDC1",0,0.667866426714657,0,0,0
"PHP",0.381323735252949,0.972205558888222,0.970805838832234,0.875824835032993,0.349930013997201
"USP21_2",0,0.826634673065387,0,0,0
"VPS72",0,0.881023795240952,0,0,0
"WIPF2",0,0.849830033993201,0,0,0
"ZNF579",0,0.98500299940012,0,0,0
"ZP4",1,1,0,0,1
"EFCAB8",0,1,1,0,0
"AARSD1",0,0.955808838232354,0,0,0
"ACOT8",0,0.92001599680064,0,0,0
"ADAT3",0,0.711657668466307,0,0,0
"ADA",0,0.893221355728854,0,0,0
"ADCY10",0,0.716856628674265,0,0,0
"AKR7A2P1",0,0.371525694861028,0,0,0
"AIRE",0,0.738052389522096,0.455908818236353,0,0
"ALG1L",0,0.977604479104179,0,0,0
"ALG9",0,0.83623275344931,0,0,0
"ANKRD19P",0,1,0,0,0
"ANXA7",0,0.555088982203559,0,0,0
"DKFZp434A1010",0,0.902419516096781,0,0,0
"ARHGAP39",0,0.650069986002799,0,0,0
"ATP5D",0,0.704059188162368,0,0,0
"ATP5G1",0,0.396320735852829,0,0,0
"ATP5G2",0,0.773645270945811,0,0,0
"ATP5L2",0,1,0,0,0
"ATP5L",0,0.990801839632074,0,0,0
"ATP6V1A",0,0.932413517296541,0,0,0
"ATP8B5P",0,0.570885822835433,0,0,0
"ATPAF2",0,0.45250949810038,0,0,0
"AURKB",0,0.67006598680264,0,0,0
"CEP131",0,0.533293341331734,0,0,0
"BCL7C",0,0.922215556888622,0,0,0
"BRD9",0,1,0,0,0
"C14ORF80",0,0.999400119976005,0,0,0
"C14ORF93",0,0.999800039992002,0,0,0
"TICRR",0,0.774245150969806,0,0,0
"C16ORF74",0,1,0,0,0
"C17ORF49",0,0.427714457108578,0,0,0
"C19ORF43",0,0.98620275944811,0,0,0
"C1QTNF4",0,0.999200159968006,0,0,0
"C1ORF35",0,0.900419916016797,0,0,0
"NTPCR",0,0.928214357128574,0,0,0
"FLJ40075",0,0.852429514097181,0,0,0
"CYP1B1-AS1",0.681663667266547,0.783443311337732,0,0,0
"ELP6",0,0.46750649870026,0,0,0
"EXOC3-AS1",0,0.977004599080184,0,0,0
"CCDC167",0,0,0.356328734253149,0,0
"C6ORF226",0,0.893221355728854,0,0,0
"CARS",0,0.909218156368726,0,0,0
"CCDC101",0,0.999800039992002,0,0,0
