"","main","clark","stage","age","gender"
"NHLH1",0,0.568086382723455,0,0,0
"TSACC",0,0,0,0.0651869626074785,0
"CHTOP",0,0.0451909618076385,0,0,0
"LSMEM2",0,0,0,0.0487902419516097,0
"CCDC153",0,0,0,0,0.0621875624875025
"CEACAM8",0.0745850829834033,0.0359928014397121,0.0419916016796641,0.0533893221355729,0.0669866026794641
"FUNDC2P2",0.0293941211757648,0,0,0,0
"GABARAPL3",0,0,0.0481903619276145,0,0.0331933613277345
"H2AFB1",0,0,0.0371925614877025,0,0
"HIST1H1E",0.188162367526495,0,0,0.0263947210557888,0.0203959208158368
"LINC00552",0,0.149370125974805,0.0231953609278144,0,0
"CHIAP2",0.0409918016396721,0,0,0.0385922815436913,0
"MDM1",0.0211957608478304,0,0,0,0
"DNMBP-AS1",0.0291941611677664,0.0529894021195761,0,0,0
"PTPN20A",0.0353929214157169,0,0.0267946410717856,0.0737852429514097,0.0319936012797441
"PTPRB",0.0347930413917217,0,0,0,0
"SFTA1P",0.0375924815036993,0,0,0,0
"SHOC2",0.100779844031194,0,0,0,0
"PHP",0,0,0,0.0273945210957808,0
"THADA",0.0253949210157968,0,0,0,0
"ADCY10",0,0.099380123975205,0,0,0
"AKR7A2P1",0,0.0205958808238352,0,0.0941811637672466,0
"AGAP8",0,0.526094781043791,0,0,0
"AGR3",0,0,0.0335932813437313,0,0
"AGXT2",0.022995400919816,0,0,0.030993801239752,0.0233953209358128
"AKAP11",0.0243951209758048,0,0,0,0
"ALG1L",0.218556288742252,0.0211957608478304,0.0517896420715857,0.022995400919816,0
"ANKRD19P",0,0.235752849430114,0,0,0
"ANP32C",0,0,0,0.0363927214557089,0
"APOBEC2",0.026994601079784,0,0,0,0
"ARMCX3",0.0629874025194961,0,0,0,0
"ASCL3",0.099380123975205,0.152769446110778,0.208558288342332,0.113177364527095,0.10997800439912
"ASH2L",0,0.117576484703059,0,0,0
"ATP5L2",0.0379924015196961,0.348530293941212,0.0323935212957408,0.0641871625674865,0.0319936012797441
"JMS",0.023995200959808,0,0,0,0
"BRSK1",0,0,0,0.0223955208958208,0
"PRR26",0,0,0,0.0253949210157968,0
"C11ORF16",0.0673865226954609,0.253149370125975,0.0551889622075585,0.150369926014797,0.0333933213357329
"C12orf63",0.0401919616076785,0.025994801039792,0.025994801039792,0,0
"C14orf33",0.0303939212157568,0,0,0,0
"C14ORF93",0,0.0799840031993601,0,0,0
"LINC00593",0.0249950009998,0,0,0,0.0317936412717457
"C16ORF74",0,0.474305138972206,0,0,0
"C17ORF50",0.0325934813037392,0.120175964807039,0.0627874425114977,0.0295940811837632,0.0785842831433713
"ADM5",0,0,0,0.0487902419516097,0
"C1QTNF4",0,0.42251549690062,0.112177564487103,0,0
"C1ORF229",0,0,0,0,0.0353929214157169
"C1ORF35",0,0.0439912017596481,0,0,0
"LINC00319",0,0,0,0.0223955208958208,0
"STPG2",0.0527894421115777,0.0381923615276945,0.0251949610077984,0.0393921215756849,0.0355928814237153
"KIAA0825",0.193961207758448,0,0,0,0
"C7ORF34",0,0,0,0,0.0515896820635873
"CACNA1S",0.0331933613277345,0,0,0,0
"CALCRL",0.0201959608078384,0,0,0,0
"CAPS2",0,0,0.0369926014797041,0,0
"CATSPER3",0,0.0315936812637473,0,0,0
"CCDC101",0,0.0335932813437313,0,0,0
