"","main","clark","stage","age","gender","clark","stage","age","gender"
"CDR1",-0.1325,0,0,0,0,0.8292,0.1028,0.1899,0.0316
"DRD2",-0.2088,0.0991,0,0,-0.1325,0.8124,0.1143,0.1559,0.0175
"NAAR1",-0.1292,0,0,0,0,0.8207,0.1004,0.173,0.0263
"AEN",0.0191,0,0,0,0,0.8439,0.0973,0.1718,0.0189
"AHNAKRS",0.1582,0,0,0,0,0.7999,0.1296,0.1639,0.0536
"DAR",0.1533,0,0,0,0,0.8346,0.0891,0.1891,0.0303
"MPC1",0,-0.0751,0,0,0,0.8433,0.0976,0.1625,0.0173
"MEDAG",-0.0966,0,0,0,0,0.8361,0.1039,0.1726,0.0253
"C5ORF15",-0.1124,0,0,0,0,0.817,0.1086,0.196,0.0142
"C8ORF4",-0.1677,0,0,0,0,0.828,0.1119,0.1724,0.0375
"C9ORF24",-0.1886,0,0,0,0,0.8129,0.1033,0.1752,0.026
"CCDC90B",-0.1184,0,0,0,0,0.7977,0.1313,0.144,0.0287
"CHP1",0.1482,-0.094,0,0,0,0.8248,0.142,0.2139,0.0435
"CLTB",-0.1158,0,0,0,0,0.8135,0.1039,0.1752,0.0195
"CWC22",-0.067,0,0,0,0,0.8038,0.1115,0.178,0.0252
"DKK2",-0.1711,0,0,0,0,0.8253,0.1228,0.1908,0.0338
"DUSP1",-0.232,0,0,0,0,0.8248,0.0918,0.1869,0.0278
"EHD4",0.1493,0,0,0,0,0.8054,0.1184,0.1382,0.0507
"ERGIC2",-0.038,0,0,0,0,0.8116,0.1124,0.1717,0.004
"FAM13A",-0.126,0,0,0,0,0.8847,0.0843,0.1499,0.0149
"GAS8",-0.0062,0,0,0,0,0.8218,0.1008,0.174,0.0258
"GORAB",0.0011,0,0,0,0,0.8273,0.1023,0.1688,0.0206
"HRAS",-0.1204,0,0,0,0,0.8133,0.0839,0.184,0.013
"HSDL1",-0.0234,0,0,0,0,0.8192,0.1058,0.1783,0.0283
"HSPA12B",-0.2186,0,0,0,0,0.8082,0.09,0.1953,0.0438
"IGHMBP2",-0.0275,0,0,0,0,0.8227,0.1031,0.1814,0.0206
"VWA8",-0.0402,0,0,0,0,0.82,0.1074,0.1667,0.0186
"CEP126",-0.1816,0,0,0,0,0.8104,0.105,0.1677,0.0099
"KL",-0.0615,0,0,0,0,0.8223,0.1148,0.17,0.0193
"LDLRAD2",0,0.3116,0,0,0,0.7594,0.1048,0.1891,0.0044
"MATN4",0,0,0,-0.0561,0,0.8219,0.0968,0.1677,0.0241
