"","main","clark","stage","age","gender","clark","stage","age","gender"
"NHLH1",0,0.2613,0,0,0,0.8654,0.0975,0.1423,0.0014
"TSACC",0,0.0148,0,0.0198,0,0.8069,0.1,0.1676,0.017
"CHTOP",0,0.3322,0,0,0,0.7745,0.0816,0.1745,-0.0075
"LSMEM2",0,0,0,0.077,0,0.8302,0.1058,0.1821,0.0237
"C8ORF4",-0.1685,0,0,0,0,0.8116,0.1176,0.1594,0.0418
"C9ORF24",0,0,0,-0.1088,0,0.8329,0.0964,0.1454,0.019
"CCDC153",0,0,0,0,0.0908,0.8178,0.1076,0.1535,0.0217
"CEACAM8",-0.2443,0.0788,0.0698,0.062,0.0032,0.7779,0.1107,0.1831,0.0095
"CHP1",0.1196,0,0,0,0,0.8023,0.1305,0.2175,0.0372
"CWC22",-0.0732,0,0,0,0,0.8095,0.1086,0.1619,0.0161
"DACT2",0,0,0,0,-0.0371,0.8416,0.1004,0.1793,0.0222
"DBX2",0,0,0.2408,0,0,0.7769,0.1538,0.1686,0.0313
"FAM71E1",0,0.133,0,0,0,0.7886,0.0875,0.1759,-0.0102
"FUNDC2P2",-0.138,0,0,0,0.0526,0.8321,0.1154,0.1811,0.0139
"GABARAPL3",-0.1141,0.0629,0.0426,0.036,0.0223,0.7982,0.1113,0.1525,0.0237
"GAL3ST2",0,0,0,0.0122,0,0.8224,0.1042,0.1703,0.0203
"GPR156",0,0.1241,0,0,0,0.8095,0.1093,0.1742,0.0244
"H2AFB1",0,0,0.0435,0,0,0.8273,0.0992,0.1618,0.0305
"HEATR4",0,0,0,0.0998,0,0.8494,0.0964,0.1677,0.0138
"HIST1H1E",-0.3659,0.3431,0,0.0596,-0.0493,0.8692,0.1288,0.183,0.0079
"KCNA5",0,0.1117,0,0,0,0.8116,0.1052,0.1569,0.0048
"LDLRAD2",0,0.3132,0,0,0,0.7612,0.1019,0.178,-0.0036
"LINC00552",0,0.0701,0.0782,0,0,0.8342,0.105,0.1695,0.0165
"CHIAP2",-0.3832,0.1329,0.155,0.0286,-0.042,0.7636,0.1287,0.1618,-0.0034
"DNMBP-AS1",-0.2266,0.4443,0.0567,0.0521,0.0343,0.7977,0.1059,0.1745,0.0249
"PIGH",0.1173,0,0,0,0,0.8365,0.1117,0.1644,0.0218
"PPP1R14A",0,0.1433,0,0,0,0.7891,0.1107,0.1707,0.0155
"PTPN20A",-0.1585,-0.0377,0.4837,0.5471,-0.4134,0.7692,0.1775,0.2912,-0.0327
"PTPRB",-0.0893,0,0,0,0,0.8287,0.1109,0.1658,0.0196
"SCAI",-0.1157,0,0,0,0,0.8147,0.0944,0.1698,0.009
"SCX",-0.5663,0.3032,0,0.0503,0,0.8808,0.0854,0.2013,0.0173
"C13orf21",-0.0249,0,0,0,0,0.8316,0.0974,0.164,0.0264
"SETDB1",0,0.2929,0,0,0,0.7895,0.1103,0.2416,0.0075
"SFTA1P",-0.1534,0,0,0,0,0.8578,0.1149,0.1402,0.0043
"SHOC2",-0.1688,0,0,0,0,0.8125,0.1064,0.1746,-0.001
"PHP",-0.5193,0.6537,-0.3016,-0.0382,0.0851,0.8105,0.0807,0.1481,0.0214
"THADA",-0.1095,0,0,0,0,0.7935,0.1129,0.1487,0.044
"CATSPERD",0,0.064,0,0,0,0.825,0.1039,0.1677,0.02
"EFCAB8",-0.1662,0.3926,-0.3652,0.0592,-0.038,0.8303,0.1073,0.192,0.0256
"MDC2",-0.0861,0,0,0,0,0.8426,0.1014,0.1623,0.0097
"ADCY10",-0.3342,0.2633,-0.0711,0.1092,0,0.7941,0.104,0.1663,0.0223
"AKR7A2P1",0,0.1233,0.0977,0.0902,0,0.7609,0.1121,0.1631,0.0325
"AGAP8",0,0.2069,0,0,0,0.7755,0.1013,0.1677,0.0254
"AGR3",0,-0.0804,0.0481,-0.1092,0,0.7921,0.1307,0.1715,0.0145
"AGXT2",-0.4722,0.1128,0,-0.0385,-0.2353,0.8042,0.1075,0.1371,-0.01
"AIRE",-0.1245,0,0,0,0,0.8223,0.1122,0.1822,0.0265
"ALG1L",-0.1075,0.2359,-0.0507,0.0765,0,0.7317,0.1244,0.1809,0.0087
"ANKRD19P",0,0.3361,0,0,0,0.7468,0.1162,0.145,-0.0101
"ANP32C",0,0,0,-1e-04,0,0.8352,0.1043,0.1736,0.0189
"APOBEC2",-0.1495,0.0764,0,0,0,0.8327,0.0877,0.1929,0.0313
