"","main","clark","stage","age","gender","clark","stage","age","gender"
"NHLH1",0,0.3109,0,0,0,0.6857,0.254,0.1194,-0.0109
"INAFM1",0,0.2978,0,0,0,0.659,0.269,0.1282,-0.0217
"BGLAP",-0.6504,0.7005,0,0,0,0.8133,0.2421,0.1245,-0.0187
"PTRHD1",0,0.313,0,0,0,0.6536,0.2756,0.1242,-0.0303
"LDLRAD2",0,0.3093,0,0,0,0.6547,0.2628,0.1238,-0.0178
"PER1",0,0.3596,0,0,0,0.6458,0.2704,0.1092,-0.0037
"PNMT",-0.6126,0.27,0,0.4476,0,0.7456,0.2531,0.2742,-0.0211
"PPP1R14A",0,0.2277,0,0,0,0.6733,0.2596,0.1258,-0.0019
"RPS14",0,0.3425,0,0,0,0.6386,0.2681,0.1157,-0.0296
"SEMA6C",0,0.2798,0,0,0,0.6923,0.2559,0.1184,-0.013
"EFCAB8",0,0.4543,-0.4811,0,0,0.7538,0.2105,0.1117,-0.0111
"ANKRD19P",0,0.3418,0,0,0,0.6474,0.2722,0.1159,-0.027
"ATP5L2",0,0.2937,0,0,0,0.6894,0.2801,0.1064,-0.0056
"BRD9",0,0.3432,0,0,0,0.6498,0.2977,0.0984,-0.0181
"C14ORF80",0,0.3186,0,0,0,0.672,0.2566,0.1032,-0.0279
"C14ORF93",0,0.321,0,0,0,0.692,0.2654,0.107,-0.0113
"C16ORF74",0,0.3451,0,0,0,0.6249,0.2901,0.113,-0.005
"CCDC101",0,0.3275,0,0,0,0.6478,0.2662,0.1099,-0.0256
"CDC25C",0,0.3494,0,0,0,0.639,0.2787,0.1204,-0.0108
"CENPH",0,0.2904,0,0,0,0.6703,0.2615,0.1181,-0.0194
"CEP72",0,0.3134,0,0,0,0.6567,0.2812,0.1037,-0.0105
"CHTF18",0,0.3061,0,0,0,0.6762,0.2446,0.1006,-0.0248
"CLVS1",0,0.2696,0,0,0,0.6965,0.2125,0.1245,0.005
"CORT",0,0.3396,0,0,0,0.6422,0.2778,0.1155,-0.0112
"CPSF1",0,0.3273,0,0,0,0.6418,0.2615,0.1198,-0.0094
"CREB3L4",0,0.3416,0,0,0,0.6477,0.2573,0.1237,0.0119
"CRX",-0.182,0,0,0,0,0.7408,0.2298,0.1019,-5e-04
"CYP2C9",0,0.0935,0,0,0,0.7449,0.2321,0.1165,-0.0055
"CYTH2",0,0.34,0,0,0,0.6581,0.2343,0.13,-0.0345
"DCPS",0,0.3154,0,0,0,0.7014,0.2723,0.0955,-0.036
"DECR1",0,0.308,0,0,0,0.6725,0.2705,0.1176,-0.0098
"DEFB126",0,0.1446,0,0,0,0.7014,0.2527,0.0988,-0.0203
"DTD1",0,0.2988,0,0,0,0.6857,0.2674,0.1032,-0.0381
"DTNB",0,0.3096,0,0,0,0.6343,0.2768,0.1169,-0.0073
"ECSIT",0,0.3034,0,0,0,0.6661,0.2619,0.1137,-0.033
"ERCC1",0,0.3439,0,0,0,0.6582,0.2732,0.1223,-0.0357
"FGF21",-0.8592,0.9297,0,0,0,0.9033,0.268,0.1134,-0.0156
"FRA3B",0,0.3564,0,0,0,0.6345,0.2903,0.096,-0.0089
"FOXE3",0,0.31,0,0,0,0.6878,0.267,0.1201,-0.0323
"FUS",0,0.3408,0,0,0,0.6466,0.2591,0.1131,-0.0106
"GPR22",0,0.1917,0,0,0,0.7748,0.2086,0.1007,-0.0059
"GRM6",0,0.2568,0,0,0,0.7036,0.2545,0.1231,-0.0049
"GSC",-0.3274,0.3621,0,0,0,0.6542,0.2949,0.0973,-0.0073
"H2AFY2",0,0.3441,0,0,0,0.6943,0.2182,0.1167,4e-04
"HAUS5",0,0.3237,0,0,0,0.657,0.2705,0.1016,-0.0019
"HIST1H1B",0,0.2973,0,0,0,0.6891,0.2575,0.1112,-0.0084
"H2A",0,0.3496,0,0,0,0.6246,0.2691,0.1147,-0.0056
"HNRNPA0",0,0.3748,0,0,0,0.625,0.281,0.1174,-0.0216
