"","main","breslow","clark","stage","age"
"EBF2",0,0.0105,0,0,0
"CLDN16",0,0.2244,0,0,0
"KCNA6",0,0,0,0,0.0015
"VMCM",0,0.003,0,0,0
"KBF2",0,0,0.0011,0,0
"PRO2543",0,0,0,0.0035,0
"C9orf101",0,0,0.0022,0,0
"H2A",0,0,0.01,0,0
"LOC116000",0,0,0.0197,0,0
"CNKSR2",0,0,0,0.0038,0
"SMC3",0,0,3e-04,0,0
"SLC24A3",0,0,5e-04,0,0
"LMNB1",0,0,4e-04,0,0
"GREM2",0,0,0,0.0027,0
"LOC144129",0,0,2e-04,0,0
"SHOC2",0,0,6e-04,0,0
"ZFP62",0,0,0.0019,0,0
"LOC100133184",0,0,0.0124,0,0
"HNRNPA3",0,0,2e-04,0,0
"POU2F1",0,0,0.0033,0,0
"DNLC2B",0,0.1375,0,0,0
"RBMX",0,-2e-04,3e-04,0,0
"LOC100128288",0,0,0.0099,0,0
"ODF1",0,0,0.6098,0,0
"TMEM102",0,0.0033,-0.0031,0,0
"LOC100240734",0,0,0.3132,0,0
"ADSD",0,0,0,0.0055,0
"BBIP1",0,0,0.0019,0,0
"LOC118890",0,0,1.6563,0,0
"HNRNPA1",0,0,1e-04,0,0
"CRYBB3",0,0,0.5158,0,0
"CDC25C",0,0,0.0034,0,0
"KIF20A",0,0,6e-04,0,0
"HNRNPA1L2",0,0,2e-04,0,0
"LOC100293055",0,0,1e-04,0,0
"PDCD4-AS1",0,0,0.0048,0,0
"UCN",0,0,0.0151,0,0
"OC90",0,0.0076,0,0,0
"ITGA8",0,0,0,0.0011,0
"BOLA1",0,0,0.0012,0,0
"TBC1D26",0,0,0.2456,0,0
"C16ORF74",0,0,0.0011,0,0
"MSI1",0,0,0.0013,0,0
"TAC4",0,0,0.081,0,0
"C21orf15",0,0,0.0082,0,0
"KLRC2",0,0,0.0042,0,0
"PSRC1",0,0,6e-04,0,0
"SLC36A2",0,0,0.299,0,0
"PRO1873",0,0,2e-04,0,0
"H3F3A",0,0,1e-04,0,0
"SYT16",0,0,0.3155,0,0
"DNM1",0,0,6e-04,0,0
"MXD3",0,0,9e-04,0,0
"LOC88787",0,0,0.7762,0,0
"FNDC5",0,0,0,0,0.0023
"MEX3A",0,0,3e-04,0,0
"KCNIP1",0,0,0.0026,0,0
"TPM2",0,0,2e-04,0,0
"LOC26636",0,0,0.2137,0,0
"CREB3L4",0,0,0.0015,0,0
"PTTG2",0,0,0.0657,0,0
"JIP",0,0,0,7e-04,0
"ZNF346",0,0,0.0027,0,0
"PER1",0,0,3e-04,0,0
"FGD5",0,0.0024,0,0,0
"DTNB",0,0,7e-04,0,0
"MGC12916",0,0,0.0152,0,0
"MDK",0,0,1e-04,0,0
"DEFB132",0,0,0.8639,0,0
"ENTPD8",0,0,0.0618,-0.0561,0
"HTR3E",0,0,0.267,0,0
"P4HA3",0,0,6e-04,0,0
"FRAXF",0,0.0017,-0.0011,0,0
"HIST1H3F",0,0,0.113,0,0
"CACNA1C",0,0,0.0013,0,0
"MVB12B",0,0,5e-04,0,0
"DAD1P1",0,0,0.4981,0,0
"SNORA46",0,0,1.8246,0,0
"GINS2",0,0,9e-04,0,0
"MDFI",0,0,2e-04,0,0
"DBN1",0,0,1e-04,0,0
"SCARNA2",0,0,0.0552,0,0
"CLDND2",0,0,0.0447,0,0
"CLVS1",0,0,0.0589,0,0
"PSMB8",0,2e-04,0,0,0
"ATP2B2",0.0082,0,0,0,0
