"","main","breslow","clark","stage","age"
"EBF2",0,0.0117,0,0,0
"MTE",0,0,0.7782,0,0
"PTH",0,0,0.3391,0,0
"DNLC2B",0,0.0493,0,0,0
"ODF1",-0.4866,-1.0626,0.7938,0,0
"NXNL1",0,0.1007,0,0,0
"LOC118890",0,0,1.7199,0,0
"LOC115963",0,0,0.2643,0,0
"CRYBB3",0,0,0.2466,0,0
"TTC21B",-0.001,-0.0016,0,0,0
"TBC1D26",0,0,0.2327,0,0
"SLC16A5",0,-0.0025,0,0,0
"FAM222A-AS1",0,-0.0072,0,0,0
"LOC88787",0,0,0.8586,0,0
"LOC26636",0,0,0.2354,0,0
"KIAA0825",0,0.0143,0,0,0
"DEFB132",0,0,1.0466,0,0
"FLJ10197",0,-9e-04,0,0,0
"LOC148922",0,-0.002,0,0,0
"SNORA46",0,0,2.0116,0,0
"IL12A",-0.0139,-0.0195,0.0166,0,0
"C10orf73",0,-0.6997,0,0,0
"CCDC155",0,-0.0173,0.0115,0,0
"PIGH",0,-0.0018,0,0,0
"LCT",-0.1566,-0.2858,0.1547,0,0
"F12",0,-8e-04,0,0,0
"HIGD1B",0,0.0489,0,0,0
"C14orf33",0,-0.0077,0,0,0
"C12ORF6",0,0.0027,0,0,0
"SPRYD7",0,-0.0011,0,0,0
"HYMAI",-0.2019,-0.2407,0.2168,0,0
"LOC647710",0,-0.0029,0,0,0
"OR10G3",-1.0665,-1.1928,1.1651,0,0
"SNORA44",-2.7382,0,0,0,0
"FTMT",0,0,0.2966,0,0
"INPP1",0,-0.0017,0,0,0
"NIPA2",0,-5e-04,0,0,0
"HNRNPA3P1",0,-0.0087,0,0,0
"CCDC83",0,-1.1562,0,0,0
"TSLP",0,-0.0056,0,0,0
"ZNF166",0,0.001,0,0,0
"HIST1H3I",-0.268,-0.4471,0.4917,0,0
"LOC392946",0,0,0,0,-0.0186
"FTX",0,0,0,0,0
"SLC25A17",0,-8e-04,0,0,0
"CPNE6",0,0,0,-0.0139,0
"HRMT1L5",0,-5e-04,0,0,0
"FRYL",0,7e-04,0,0,0
"RPLP0",0,0,0,0,0
"DENND6B",0,-8e-04,0,0,0
"ZNF137P",0,0.0125,0,0,0
"TBXA2R",0,-6e-04,0,0,0
"CELA3A",0,-2.0672,0,0,0
"DARS",-3e-04,-4e-04,0,0,0
"NUDT19",0,-0.0011,0,0,0
"MRFAP1L1",0,8e-04,0,0,0
"CGREF1",0,-8e-04,0,0,0
"C10ORF53",0,-0.9038,0,0,0
"RNF34",0,-0.0013,0,0,0
"MAN2B2",0,5e-04,0,0,0
"ZNF763",0,0.0148,0,0,0
"ORC2",-0.0017,-0.0038,0,0,0
"MRPL10",0,-6e-04,0,0,0
"LDLRAD3",0,-3e-04,0,0,0
"ULK4P3",0,-0.0231,0,0,0
"LOC645822",0,-0.3111,0,0,0
"G6PC",0,-0.0228,0,0,0
"FAM153C",-0.966,0,0,0,0
"KCNQ4",0,-0.0037,0,0,0
"OR4F21",0,-0.6762,0,0,0
"PYCR1",0,-2e-04,0,0,0
"DNMBP-AS1",0,-0.4172,0.1709,0,0
"LOC105377878",0,-0.0078,0,0,0
"SNORA36A",0,-1.0252,0,0,0
"LOC654020",0,-1.0782,0,0,0
"LIPJ",0,-0.059,0,0,0
"AKR1E2",0,-0.0038,0,0,0
"FFAR1",-0.0414,0,0,0,0
"TXNDC12",0,-3e-04,0,0,0
"VDAC2",0,-3e-04,0,0,0
"PLA2G1B",0,0.261,0,0,0
