"","main","clark","stage","age","gender"
"MGC14458",-0.0045,0,0,0,0
"DRD2",-0.0166,0,0,0,0
"HOMG2",-0.0113,0,0,0,0
"ACER3",-0.0588,0,0,0,0
"ANAPC15",1e-04,0,0,0,0
"ARHGAP5-AS1",-0.1446,0,0,0,0
"DACT2",1e-04,0,0,0,0
"LIN7A",-0.001,0,0,0,0
"MBD6",0.001,0,0,0,0
"NDUFC2",-0.0172,0,0,0,0
"NDUFS8",-0.0063,0,0,0,0
"PIK3R2",-0.0336,0,0,0,0
"PRCC",0.0212,0,0,0,0
"PRIM1",-0.2642,0,0,0,0
"PTPN20A",-2e-04,0,0,0,0
"RAB11B",0.0012,0,0,0,0
"RFX2",3e-04,0,0,0,0
"RSF1",-0.0581,0,0,0,0
"SCAI",-0.0059,0,0,0,0
"SFT2D1",-2e-04,0,0,0,0
"TESK1",-0.0284,0,0,0,0
"TMCC1",-0.0014,0,0,0,0
"C13orf20",-6e-04,0,0,0,0
"C6orf46",-0.0118,0,0,0,0
"ZDHHC5",2e-04,0,0,0,0
"ZNF284",-0.0015,0,0,0,0
"ZNF833P",-9e-04,0,0,0,0
"ACAN",0.0412,0,0,0,0
"ADPRHL2",-1e-04,0,0,0,0
"AGER",-2e-04,0,0,0,0
"TMEM237",-0.0024,0,0,0,0
"AMIGO3",-0.452,0,0,0,0
"LVRN",1e-04,0,0,0,0
"ARHGEF9",-7e-04,0,0,0,0
"MRXE",4e-04,0,0,0,0
"FLJ10630",-0.0018,0,0,0,0
"ST20-AS1",7e-04,0,0,0,0
"C16ORF62",-0.0031,0,0,0,0
"MINOS1",-0.0016,0,0,0,0
"XXYLT1",-0.0042,0,0,0,0
"TMEM242",4e-04,0,0,0,0
"CERK",-0.311,0,0,0,0
"CLCC1",-2e-04,0,0,0,0
"COMMD6",1e-04,0,0,0,0
"FLJ22404",-0.0228,0,0,0,0
"DCAF13",-0.0102,0,0,0,0
"DDHD2",-1e-04,0,0,0,0
"PDCR",-0.5365,0,0,0,0
"DNAJC8",-0.1243,0,0,0,0
"CTDNEP1",-0.0135,0,0,0,0
"DYNC1LI1",4e-04,0,0,0,0
"ERLIN1",6e-04,0,0,0,0
"EXTL3",6e-04,0,0,0,0
"RMDN1",2e-04,0,0,0,0
"FBL",-0.0022,0,0,0,0
"FOLR1",-0.0047,0,0,0,0
"GNGT2",-0.5772,0,0,0,0
"GOLGA5",-0.0183,0,0,0,0
"GOLGB1",-0.0069,0,0,0,0
"HK1",-0.0022,0,0,0,0
"IARS",-5e-04,0,0,0,0
"IFT122",-0.091,0,0,0,0
"IFT20",-0.0151,0,0,0,0
"KBTBD3",1e-04,0,0,0,0
"KCNMB4",-0.0357,0,0,0,0
"KREMEN1",-7e-04,0,0,0,0
"LINC00875_100286793",-0.0011,0,0,0,0
"LRCH1",1e-04,0,0,0,0
"ML4",2e-04,0,0,0,0
"MESP1",-0.2648,0,0,0,0
"METTL9",-0.0426,0,0,0,0
"MPHOSPH9",0.0078,0,0,0,0
"MRPL14",-0.2239,0,0,0,0
"MRPS35",1e-04,0,0,0,0
"MTMR10",-0.0311,0,0,0,0
"MTRF1",-0.0016,0,0,0,0
"MYPOP",-9e-04,0,0,0,0
"NPHP3",2e-04,0,0,0,0
"NRM",3e-04,0,0,0,0
"ORC4",-0.0023,0,0,0,0
"PCBD2",-0.0555,0,0,0,0
"PCNP",1e-04,0,0,0,0
"PKP4",-0.0148,0,0,0,0
"PRKAB1",-0.0016,0,0,0,0
"PRKAB2",-0.0013,0,0,0,0
"QSOX1",-0.0012,0,0,0,0
"RBBP9",-4e-04,0,0,0,0
"RFC5",3e-04,0,0,0,0
"RMND5B",-2e-04,0,0,0,0
"RNF121",-9e-04,0,0,0,0
"RNF167",-0.0011,0,0,0,0
"S100B",-0.0294,0,0,0,0
"SERAC1",-0.0128,0,0,0,0
"SGCB",1e-04,0,0,0,0
"SLC25A40",1e-04,0,0,0,0
"FLJ31101",-2e-04,0,0,0,0
"SLC30A9",-9e-04,0,0,0,0
