"","main","clark","stage","age","gender"
"NHLH1",0,0.0526,0,0,0
"INAFM1",0,0.0013,0,0,0
"BGLAP",-0.0024,0.0084,0,0,0
"PTRHD1",0,0.0012,0,0,0
"LDLRAD2",0,6e-04,0,0,0
"PER1",0,2e-04,0,0,0
"PNMT",-0.0504,0.0503,0,0.1104,0
"PPP1R14A",0,0.0052,0,0,0
"SEMA6C",0,0.0018,0,0,0
"ANKRD19P",0,0.0035,0,0,0
"ATP5L2",0,0.2301,0,0,0
"BRD9",0,4e-04,0,0,0
"C14ORF80",0,0.0012,0,0,0
"C14ORF93",0,0.003,0,0,0
"C16ORF74",0,0.0011,0,0,0
"C1QTNF4",0,0.0069,0,0,0
"CCDC101",0,0.0012,0,0,0
"CDC25C",0,0.0032,0,0,0
"CEP72",0,0.002,0,0,0
"CHTF18",0,7e-04,0,0,0
"CLVS1",0,0.0556,0,0,0
"CORT",0,0.0333,0,0,0
"CPSF1",0,2e-04,0,0,0
"CREB3L4",0,0.0013,0,0,0
"CRX",-0.5339,0,0,0,0
"CYP2C9",-0.0869,0.2701,0,0,0
"CYTH2",0,5e-04,0,0,0
"DCPS",0,6e-04,0,0,0
"DKKL1",0,0.0056,0,0,0
"DTD1",0,9e-04,0,0,0
"DTNB",0,7e-04,0,0,0
"ERCC1",0,3e-04,0,0,0
"FGF21",-0.5372,1.1694,0,0,0
"FGF8",-0.3436,0.353,0,0,0
"FRA3B",0,0.0036,0,0,0
"FOXE3",0,0.1066,0,0,0
"FUS",0,1e-04,0,0,0
"GPR22",0,0.3406,0,0,0
"GRM6",0,0.1006,0,0,0
"GSC",-0.0163,0.011,0,0,0
"H2AFY2",0,0.0012,0,0,0
"HAUS5",0,0.0012,0,0,0
"HIST1H1B",0,0.0826,0,0,0
"H2A",0,0.0094,0,0,0
"HNRNPA0",0,2e-04,0,0,0
"HNRNPA3P1",0,0.0074,0,0,0
"IFI27L1",0,0.0016,0,0,0
"IMMP1L",0,0.0108,0,0,0
"IP6K2",0,8e-04,0,0,0
"JPH4",0,0.001,0,0,0
"LMX1A",-0.2642,0.2104,0,0,0
"LY86-AS1",0,0.2686,0,0,0
"LRRC48",0,0.0123,0,0,0
"LSM7",0,5e-04,0,0,0
"MAGED4",-0.0011,0.001,0,0,0
"MESP1",0,0.0073,0,0,0
"MRPL2",0,3e-04,0,0,0
"MXD3",0,9e-04,0,0,0
"MYL6B",0,5e-04,0,0,0
"MYLK2",0,0.0607,0,0,0
"NR2E3",0,0.2036,0,0,0
"OR10G3",0,0.8849,0,0,0
"OXER1",0,0.0038,0,0,0
"PACSIN3",0,6e-04,0,0,0
"PFDN2",0,3e-04,0,0,0
"POLR2I",0,6e-04,0,0,0
"PTTG2",0,0.066,0,0,0
"KBF2",-9e-04,0,0,0,0
"RNF19B",0,-5e-04,0,0,0
"RPL31P11",0,0.0369,0,0,0
"RPP40",0,0.0029,0,0,0
"CLASRP",0,0.001,0,0,0
"HND",0,0.102,0,0,0
"SNCB",0,9e-04,0,0,0
"SNRPA",0,3e-04,0,0,0
"SNRPF",0,6e-04,0,0,0
"SNX12",0,-0.0025,0,0,0
"SYCE1L",0,0.0122,0,0,0
"SYCE2",0,0.0142,0,0,0
"SYNGR4",0,0.2904,0,0,0
"TFAMP1",0,0.1342,0,0,0
"TMEM160",0,0.0016,0,0,0
"TMPRSS5",0,0.0026,0,0,0
"TMSB15B",0,0.0061,0,0,0
"VHLL",-0.7357,0.5848,0,0,0
"WASH3P",0,8e-04,0,0,0
