"","main","clark","stage","age","gender"
"DRD2",-0.007,0.0105,0,0,0
"NHLH1",0,0.0425,0,0,0
"AEN",2e-04,0,0,0,0
"BGLAP",0,0.0061,0,0,0
"DKK2",-0.0019,0,0,0,0
"HSPBP1",0,3e-04,0,0,0
"MYOD1",-0.0245,0,0,0,0
"OLFML2B",-2e-04,0,0,0,0
"SLC51A",0.0213,0,0,0,0
"PIGH",0.0011,0,0,0,0
"PITPNA",3e-04,0,0,0,0
"PNMT",-0.0483,0,0,0,0
"PPP1R14A",-0.0058,0,0,0,0
"PXDNL",-0.0104,0,0,0,0
"SHOC2",-6e-04,0,0,0,0
"SSTR2",-0.0085,0,0,0,0
"THADA",-7e-04,0,0,0,0
"ZP4",0.0423,0,0,0,0
"AKAP11",-3e-04,0,0,0,0
"ARMCX3",-3e-04,0,0,0,0
"JMS",-3e-04,0,0,0,0
"B4GALT2",3e-04,0,0,0,0
"BAHD1",5e-04,0,0,0,0
"BICD2",3e-04,0,0,0,0
"BRMS1",3e-04,0,0,0,0
"C12ORF4",-0.001,0,0,0,0
"RBFA",0.001,0,0,0,0
"C1ORF216",4e-04,0,0,0,0
"CALCRL",-6e-04,0,0,0,0
"CBR3",5e-04,0,0,0,0
"CC2D1B",3e-04,0,0,0,0
"CDKN2D",0.001,0,0,0,0
"CIR1",-6e-04,0,0,0,0
"CLP1",0.0015,0,0,0,0
"COX8C",-0.2479,0,0,0,0
"CTDP1",7e-04,0,0,0,0
"CWC27",-0.0011,0,0,0,0
"DCLK3",-0.0108,0,0,0,0
"DENND2C",0.0041,0,0,0,0
"DPP3",3e-04,0,0,0,0
"ELOVL1",2e-04,0,0,0,0
"EPB41L2",-2e-04,0,0,0,0
"FHL5",-0.0163,0,0,0,0
"FILIP1",-0.006,0,0,0,0
"FKBP5",-1e-04,0,0,0,0
"DKFZp566K0524",-0.2706,0,0,0,0
"GLI2",-0.0015,0,0,0,0
"GLTP",2e-04,0,0,0,0
"ADGRF5",-5e-04,0,0,0,0
"GRM6",-0.0822,0,0,0,0
"HEXA",1e-04,0,0,0,0
"HIGD1B",-0.0326,0,0,0,0
"INO80C",0.0018,0,0,0,0
"JMJD8",2e-04,0,0,0,0
"KIAA0284",1e-04,0,0,0,0
"LMX1A",-0.2411,0,0,0,0
"LRP10",1e-04,0,0,0,0
"LTBR",1e-04,0,0,0,0
"MAST2",3e-04,0,0,0,0
"TGR",-3e-04,0,0,0,0
"MRPL1",-0.0014,0,0,0,0
"IRAG",-0.0016,0,0,0,0
"MYO1C",1e-04,0,0,0,0
"NEXN",-0.0013,0,0,0,0
"NHSL2",-0.0101,0,0,0,0
"NSUN3",-0.0043,0,0,0,0
"OGN",-0.0015,0,0,0,0
"OLFML1",-0.001,0,0,0,0
"PARD6G",8e-04,0,0,0,0
"PIGZ",0.0019,0,0,0,0
"PSMD9",6e-04,0,0,0,0
"PTPN4",-0.0025,0,0,0,0
"PVALB",-0.0119,0,0,0,0
"KBF2",-7e-04,0,0,0,0
"SDPR",-0.0013,0,0,0,0
"SESN2",7e-04,0,0,0,0
"SHISA5",1e-04,0,0,0,0
"SON",-1e-04,0,0,0,0
"SP2",7e-04,0,0,0,0
"SP3",-2e-04,0,0,0,0
"STIM1",3e-04,0,0,0,0
"STXBP4",-0.0024,0,0,0,0
"THAP2",-0.0028,0,0,0,0
"TIE1",-4e-04,0,0,0,0
"TMCC2",2e-04,0,0,0,0
"TMEM159",7e-04,0,0,0,0
"TMEM88",-0.004,0,0,0,0
"TP53I11",-3e-04,0,0,0,0
"TRIP12",-1e-04,0,0,0,0
"TUFT1",8e-04,0,0,0,0
"UBXN4",-2e-04,0,0,0,0
"ULK3",3e-04,0,0,0,0
"VOPP1",-3e-04,0,0,0,0
"VPS37B",3e-04,0,0,0,0
"ZFP62",-0.0011,0,0,0,0
