"","main","clark","stage","age","gender"
"NHLH1",0,0.0197,0,0,0
"AGAP8",0,0.0057,0,0,0
"C16ORF74",0,9e-04,0,0,0
"CORT",0,0.0225,0,0,0
"CRX",-0.3521,0,0,0,0
"CRYAA",0,0.017,0,0,0
"DKKL1",0,0.0053,0,0,0
"FABP2",0,0,0.1423,0,0
"FILIP1",-0.0047,0,0,0,0
"GH1",0,0.0287,0,0,0
"GPR20",-0.0475,0,0,0,0
"H2A",0,0.0099,0,0,0
"IFI27L1",0,0.0016,0,0,0
"LIPJ",0,0,0,-0.1427,0
"ZFHX4-AS1",-0.0278,0,0,0,0
"MUC6",0,0.0616,0,0,0
"NHSL2",-0.0097,0,0,0,0
"OR10G3",-0.5297,0.8953,0.2206,0,0.5719
"OXER1",0,0.0039,0,0,0
"PARD6G",4e-04,0,0,0,0
"PRDM6",-0.0166,0,0,0,0
"PTPN4",-0.0025,0,0,0,0
"KBF2",-3e-04,0,0,0,0
"HND",0,0.1035,0,0,0
"SNCB",0,8e-04,0,0,0
"SYCE1L",0,0.0115,0,0,0
"TFAMP1",0,0.1267,0,0,0
"VHLL",-0.3602,0,0,0,0
"WASH3P",0,6e-04,0,0,0
