"","main","clark","stage","age","gender"
"HSPA12B",0,9e-04,0,0,0
"LDLRAD2",0,9e-04,0,0,0
"PIGH",0.0011,0,0,0,0
"PITPNA",3e-04,0,0,0,0
"PPP1R14A",0,0.0066,0,0,0
"THADA",-7e-04,0,0,0,0
"ZP4",0.0423,0.0732,0,0,0
"EFCAB8",0,0.2033,-0.2055,0,0
"AKAP11",-3e-04,0,0,0,0
"ANKRD19P",0,0.0035,0,0,0
"ARMCX3",-3e-04,0,0,0,0
"ASH2L",0,-5e-04,0,0,0
"ATP5D",0,2e-04,0,0,0
"ATP5G2",0,1e-04,0,0,0
"JMS",-3e-04,0,0,0,0
"C14ORF93",0,0.0032,0,0,0
"C16ORF74",0,0.0012,0,0,0
"STPG1",0,0,0.001,0,0
"C1ORF216",4e-04,0,4e-04,0,0
"C1ORF35",0,0.0012,0,0,0
"CAPN1",0,-1e-04,0,0,0
"CC2D1B",3e-04,0,0,0,0
"CNTFR",0,7e-04,0,0,0
"CORT",0,0.0323,0,0,0
"COX19",0,0.0014,0,0,0
"COX6C",0,2e-04,0,0,0
"CPXM1",0,1e-04,0,0,0
"CREB3L4",0,0.0014,0,0,0
"DECR1",0,4e-04,0,0,0
"EDF1",0,1e-04,0,0,0
"NG36",0,2e-04,0,0,0
"FAM178B",0,2e-04,0,0,0
"FRA3B",0,0.0031,0,0,0
"FILIP1",-0.006,0,0,0,0
"FUS",0,1e-04,0,0,0
"GLTP",2e-04,0,0,0,0
"ADGRF5",-5e-04,0,0,0,0
"GRM6",-0.0822,0,0,0,0
"GSC",0,0.0124,0,0,0
"H3F3A",0,1e-04,0,0,0
"HARS",0,4e-04,0,0,0
"HEXA",1e-04,0,0,0,0
"HIGD1B",-0.0326,0,0,0,0
"H2A",0,0.0091,0,0,0
"HNRNPA0",0,2e-04,0,0,0
"IFI27L1",0,0.002,0,0,0
"KCTD11",7e-04,0,0,0,0
"KIAA0284",1e-04,0,0,0,0
"KRTCAP2",0,1e-04,0,0,0
"LMX1A",0,0.2076,0,0,0
"MANBAL",4e-04,0,0,0,0
"METTL9",0,-1e-04,0,0,0
"DLG6",0,0,0,0.0078,0
"MRPL2",0,3e-04,0,0,0
"MRPL9",0,8e-04,0,0,0
"NY-BR-87",0,5e-04,0,0,0
"MXD3",0,0.001,0,0,0
"MYL6B",0,5e-04,0,0,0
"MYLK2",0,0.0638,0,0,0
"NHSL2",-0.0101,0,0,0,0
"OLFML1",-0.001,0,0,0,0
"OST4",0,2e-04,0,0,0
"OXER1",0,0.0034,0,0,0
"PARD6G",8e-04,0,0,0,0
"PFDN2",0,3e-04,0,0,0
"PIGX",0,-0.0012,0,0,0
"PSMD9",6e-04,0,0,0,0
"C6orf86",0,0.0011,0,0,0
"DKFZP586I111",0,2e-04,0,0,0
"PTPN4",-0.0025,0,0,0,0
"RALBP1",0,-3e-04,0,0,0
"RBMX",0,2e-04,0,0,0
"KBF2",-7e-04,0,0,0,0
"RPP40",0,0.0033,0,0,0
"SEMA5B",-0.0055,0,0,0,0
"SESN2",7e-04,0,0,0,0
"HND",0,0.1671,0,0,0
"SNRPF",0,6e-04,0,0,0
"DKFZP586C1324",4e-04,0,0,0,0
"STIM1",3e-04,0,0,0,0
"STX12",0,0,5e-04,0,0
"SYCE2",0,0.016,0,0,0
"TCF15",0,0.0072,0,0,0
"TFAMP1",0,0.1446,0,0,0
"THAP2",-0.0028,0,0,0,0
"TIE1",-4e-04,0,0,0,0
"TIPARP",0,-0.0012,0,0,0
"TUBB6",1e-04,0,0,0,0
"UFSP2",0,-0.001,0,0,0
"VPS37B",3e-04,0,0,0,0
"WASH3P",0,8e-04,0,0,0
"ZFP62",-0.0011,0,0,0,0
