"","main","clark","stage","age","gender"
"DRD2",-0.0062,0.0101,0,0,0
"FOLR1",-0.0036,0,0,0,0
"AEN",2e-04,0,0,0,0
"ARID4B",-5e-04,0,0,0,0
"ARMCX3",-3e-04,0,0,0,0
"BAZ2B",-6e-04,0,0,0,0
"C13orf15",-0.0016,0,0,0,0
"TRMT1L",-7e-04,0,0,0,0
"CFAP36",-7e-04,0,0,0,0
"CCDC85C",4e-04,0,0,0,0
"CDKL3",-0.011,0,0,0,0
"CETN3",-0.0017,0.0023,0,0,0
"CHP1",1e-04,0,0,0,0
"CWC22",-8e-04,0,0,0,0
"EHD4",2e-04,0,0,0,0
"EML4",-3e-04,0,0,0,0
"GABPA",-7e-04,0,0,0,0
"GRASP",6e-04,0,0,0,0
"HSDL1",-5e-04,0,0,0,0
"LACE-1",-0.0054,0,0,0,0
"LIPT1",-0.0037,0,0,0,0
"MRPL1",-0.0017,0,0,0,0
"MUC6",0,0.1029,0,0,0
"KAT6B",-8e-04,0,0,0,0
"NHSL2",-0.0112,0,0,0,0
"PARD6G",8e-04,0,0,0,0
"PCMTD1",-4e-04,0,0,0,0
"PEX13",-0.0013,0,0,0,0
"PHKB",-5e-04,0,0,0,0
"PITPNA",3e-04,0,0,0,0
"PNN",-2e-04,0,0,0,0
"PPIG",-4e-04,0,0,0,0
"PTPN4",-0.0031,0,0,0,0
"PUM2",-2e-04,0,0,0,0
"PUS10",-0.0034,0.0045,0,0,0
"PXDNL",-0.0097,0,0,0,0
"RAP1B",0,3e-04,0,0,0
"RBM3",1e-04,0,0,0,0
"KBF2",-6e-04,0,0,0,0
"RDH14",0,0.0022,0,0,0
"RPSAP52",0,0.0091,0,0,0
"SCRT1",-0.0641,0,0,0,0
"SMEK2",-3e-04,0,0,0,0
"STAG2",-2e-04,0,0,0,0
"SULF1",-1e-04,0,0,0,0
"SUPT7L",-7e-04,9e-04,0,0,0
"THADA",-8e-04,0,0,0,0
"THUMPD1",-6e-04,0,0,0,0
"THUMPD2",-0.002,0.0027,0,0,0
"TTC21B",-9e-04,0,0,0,0
"UBXN4",-2e-04,0,0,0,0
"YY1",-6e-04,0,0,0,0
"ZFP62",-0.0011,0,0,0,0
"ZNF586",-0.0042,0,0,0,0
"ZNF638",-3e-04,0,0,0,0
"ADAMTSL2",-0.0016,0,0,0,0
"ALG1L",0.0179,0,0,0,0
"AOC3",-6e-04,0,0,0,0
"OPH",1e-04,0,0,0,0
"ATG9A",2e-04,0,0,0,0
"BTNL9",-0.0029,0,0,0,0
"RBFA",0.001,0,0,0,0
"C1ORF216",4e-04,0,0,0,0
"ARMC12",-0.0235,0,0,0,0
"CACNA1C",-0.001,0,0,0,0
"CALCRL",-8e-04,0,0,0,0
"CAPN1",1e-04,0,0,0,0
"CDKN1A",1e-04,0,0,0,0
"CELSR2",1e-04,0,0,0,0
"COX8C",-0.2775,0,0,0,0
"DENND2C",0.0038,0,0,0,0
"DMTF1",-4e-04,0,0,0,0
"DOLK",7e-04,0,0,0,0
"ELOVL1",1e-04,0,0,0,0
"EML3",4e-04,0,0,0,0
"ETNK2",3e-04,0,0,0,0
"AI3",2e-04,0,0,0,0
"FAM86B1",0.002,0,0,0,0
"FHL5",-0.0143,0,0,0,0
"FILIP1",-0.0063,0,0,0,0
"FLT1",-4e-04,0,0,0,0
"FLT4",-9e-04,0,0,0,0
"DKFZp566K0524",-0.2543,0,0,0,0
"GATAD2A",1e-04,0,0,0,0
"GLI2",-0.0015,0,0,0,0
"GPIHBP1",-0.0032,0,0,0,0
"ADGRF5",-5e-04,0,0,0,0
"GSDMB",-0.0032,0,0,0,0
"HEXA",1e-04,0,0,0,0
"HIGD1B",-0.0331,0,0,0,0
"HIST1H2BB",-0.4265,0,0,0,0
"HIST2H2AB",-0.2374,0,0,0,0
"IL7",-0.006,0,0,0,0
"INPP5K",4e-04,0,0,0,0
"KIAA0284",1e-04,0,0,0,0
