"","main","clark","stage","age","gender"
"AMY1A",2e-04,0,0,0,0
"MGC14458",2e-04,0,0,0,0
"CDR1",0.0329,0,0,0,0
"DRD2",0.0279,0,0,0,0
"METTL21B",0.0022,0,0,0,0
"HOMG2",0.0423,0,0,0,0
"ISLR",4e-04,0,0,0,0
"AGAP2-AS1",0.001,0,0,0,0
"MARCH9",0.0018,0,0,0,0
"METTL1",0.0016,0,0,0,0
"NBPF9",0.002,0,0,0,0
"NHLH1",0.1084,0,0,0,0
"OXTR",0.0107,0,0,0,0
"INAFM1",0.0045,0,0,0,0
"TNNC2",0.1516,0,0,0,0
"TSFM",0.0011,0,0,0,0
"TSPAN31",8e-04,0,0,0,0
"USP35",0.0024,0,0,0,0
"WDR31",0.0163,0,0,0,0
"HSPB1P1",0.0013,0,0,0,0
"ACBD6",0.0013,0,0,0,0
"ACER3",0.0012,0,0,0,0
"NAAR1",0.0291,0,0,0,0
"ADCY6",5e-04,0,0,0,0
"AEN",6e-04,0,0,0,0
"AK9",0.0079,0,0,0,0
"AKR7A3",0.0289,0,0,0,0
"ALG8",5e-04,0,0,0,0
"ALKBH7",9e-04,0,0,0,0
"ALK",0.0025,0,0,0,0
"ANKRD13B",0.0024,0,0,0,0
"APIP",0.0027,0,0,0,0
"ARSK",0.003,0,0,0,0
"DAR",1e-04,0,0,0,0
"B4GALT3",6e-04,0,0,0,0
"BCAR4",0.6557,0,0,0,0
"BGLAP",0.0145,0,0,0,0
"MPC1",0.0019,0,0,0,0
"C10orf114",0.0166,0,0,0,0
"C11ORF30",0.0024,0,0,0,0
"ANAPC15",0.0019,0,0,0,0
"FLJ21035",0.0027,0,0,0,0
"RHNO1",0.0012,0,0,0,0
"MEDAG",0.0036,0,0,0,0
"ARHGAP5-AS1",0.0033,0,0,0,0
"HID1",0.004,0,0,0,0
"TSACC",0.1282,0,0,0,0
"CHTOP",5e-04,0,0,0,0
"C21ORF2",0.0013,0,0,0,0
"PTRHD1",0.0022,0,0,0,0
"LSMEM2",0.135,0,0,0,0
"FAM212A",0.0036,0,0,0,0
"C5ORF15",4e-04,0,0,0,0
"UQCC2",6e-04,0,0,0,0
"C8ORF4",0.0023,0,0,0,0
"C9ORF142",0.0016,0,0,0,0
"C9ORF24",0.1266,0,0,0,0
"KIAA0829",3e-04,0,0,0,0
"CARHSP1",8e-04,0,0,0,0
"CCDC153",0.1473,0,0,0,0
"CCDC90B",0.0013,0,0,0,0
"CCL15",0.1761,0,0,0,0
"CCS",0.0014,0,0,0,0
"CCT2",2e-04,0,0,0,0
"CEACAM8",1.086,0,0,0,0
"CHP1",2e-04,0,0,0,0
"CHRNA10",0.0769,0,0,0,0
"CLDN6",0.1575,0,0,0,0
"CLNS1A",4e-04,0,0,0,0
"CLTB",5e-04,0,0,0,0
"HSPC131",7e-04,0,0,0,0
"CNPY3",3e-04,0,0,0,0
"CRADD",0.0044,0,0,0,0
"CWC22",0.0013,0,0,0,0
"DACT2",0.0063,0,0,0,0
"DAG1",1e-04,0,0,0,0
"DBX2",0.5295,0,0,0,0
"DCLRE1A",0.0027,0,0,0,0
"DCTN2",3e-04,0,0,0,0
"DCUN1D5",0.0018,0,0,0,0
"DDAH2",6e-04,0,0,0,0
"DEDD",0.001,0,0,0,0
"DEXI",8e-04,0,0,0,0
"DKK2",0.0097,0,0,0,0
"DLG2",0.0204,0,0,0,0
"DNM1L",5e-04,0,0,0,0
"DTX3",0.001,0,0,0,0
"DUSP1",3e-04,0,0,0,0
"DYRK2",9e-04,0,0,0,0
"EHD4",4e-04,0,0,0,0
"EIF3E",1e-04,0,0,0,0
"EIF3H",2e-04,0,0,0,0
"ELOVL2",4e-04,0,0,0,0
"ENDOD1",3e-04,0,0,0,0
"ERGIC2",0.0012,0,0,0,0
"ETFA",6e-04,0,0,0,0
"EXOC3",6e-04,0,0,0,0
"FAHD2A",0.0013,0,0,0,0
