"","main","clark","stage","age","gender"
"AMY1A",1e-04,-6.4828,0,-25.2674,8.173
"METTL21B",5e-04,0,0,0,0
"HOMG2",0.0094,-0.5101,-1.3795,-1.4246,0
"ISLR",0,-0.1212,-0.892,0,0
"AGAP2-AS1",2e-04,-0.7748,0,-0.1118,0
"NHLH1",0.0245,0,0,0,0
"TSPAN31",2e-04,0,0,0,0
"HSPB1P1",0,0,0,-0.0963,0
"ANAPC15",5e-04,0,0,0,0
"ANKRD40",0,0,0,0,0.4455
"ATAD1",2e-04,0,0,0,0
"AVPR1A",0,-0.3117,0,0,0
"BNIP2",2e-04,0,0,0,0
"CEBPG",0,0,0,0,0.2599
"CENPC",0,0,0,0,0.1065
"HSPC174",0,0,1.0096,0,0
"CLIP4",2e-04,0,0,0,0
"CSNK1G1",4e-04,0,0,0,0
"DALRD3",2e-04,0,0,0,0
"DDX24",0,0,0,-0.3495,0
"DDX60L",3e-04,0,0,0,0
"DHX34",0,0,0,-0.1786,0
"ENSA",0,0,0,0,0.0464
"FADS1",0,0,0.4168,0,0
"FBXO22-AS1",0.0022,0,0,0,0
"FBXW11",2e-04,0,0,0,0
"FGF21",0.8689,0,0,0,0
"FGFR1OP2",0,0,0.0841,0,0
"FGFR4",0,0,-0.2255,0,0
"FHDC1",0,0,0.3463,0,0
"FICD",0.0018,0,0,0,0
"FILIP1",0.0016,0,0,0,0
"FIP1L1",2e-04,0,0,0,0
"BAIAP2-AS1",0,0,0,0,0.2057
"FLNB",0,0,0,0,0.2547
"GIT2",0,0,0,-0.3131,0
"GLRX",0,0,0.2128,0,0
"COLGALT2",2e-04,0,0,0,0
"PRO0159",0,-1.7536,0,0,0
"GDH",0,0,0,-0.3439,0
"HES1",0,0,0,-0.0701,0
"HIST1H2BB",0.1371,0,0,0,0
"HMOX2",0,0,0,-0.3751,0
"IQCC",0,0,0.5349,0,0
"KCTD15",1e-04,0,0,0,0
"SPIDR",3e-04,0,0,0,0
"MSANTD4",0,-0.5128,0,0,0
"KIDINS220",0,-0.8276,0,0,0
"KIF16B",2e-04,0,0,0,0
"NUMB",0,0,0,0,0.0836
"PSMG1",0,0,0,0,0.3285
"RAB18",0,0,0.2347,0,0
"RAB1A",0,0,0.2403,0,0
"RAB33B",9e-04,0,0,0,0
"RAB5B",0,0,0,0,0.0164
"RAB9A",0,0,0,0,-0.1041
"RASGRP4",0,0,0,0,0.1855
"RBM10",0,0,0,0,0.2842
"RBM22",2e-04,0,0,0,0
"SERGEF",0,0,0.4917,0,0
"SHISA6",0,0,0,0,0.3076
"STX1A",0,0,0,0,-0.0262
"TCP11L1",0,0,0,0,0.417
"WDR7",0,0,0,0,0.0944
