"","main","clark","stage","age","gender"
"DFNA28",0.013,0,0,0,0
"PARD6G",0.0041,0,0,0,0
"PGLYRP3",0.0189,0,0,0,0
"PGLYRP4",0.0164,0,0,0,0
"DKFZP586E1422",0.0039,0,0,0,0
"ICR5",0.0037,0,0,0,0
"AKAP11",-0.0018,0,0,0,0
"KIAA0328",-0.0044,0,0,0,0
"ARID4B",-0.0022,0,0,0,0
"ARRDC4",0.0012,0,0,0,0
"ATF2",-0.0046,0,0,0,0
"ATRIP",0.0114,0,0,0,0
"SODD",-0.0091,0,0,0,0
"BBX",-0.0014,0,0,0,0
"C16ORF87",-0.0186,0,0,0,0
"SH3D21",0.0043,0,0,0,0
"TRMT1L",-0.0036,0,0,0,0
"CNBD2",0.2644,0,0,0,0
"C2ORF49",-0.0245,0,0,0,0
"ELP6",0.005,0,0,0,0
"CC2D1B",0.0015,0,0,0,0
"CDC14A",-0.0142,0,0,0,0
"CDC25B",6e-04,0,0,0,0
"CFDP1",-0.0024,0,0,0,0
"CHCHD6",0.0014,0,0,0,0
"CNDP2",5e-04,0,0,0,0
"CCP110",-0.0055,0,0,0,0
"CREB1",-0.0028,0,0,0,0
"CTDP1",0.0045,0,0,0,0
"CWC22",-0.0041,0,0,0,0
"PDCR",0.0037,0,0,0,0
"DNAJA4",3e-04,0,0,0,0
"DPH1",0.0028,0,0,0,0
"FAM69C",0.002,0,0,0,0
"FERMT2",-0.0016,0,0,0,0
"FNDC3B",-0.001,0,0,0,0
"GABPA",-0.0033,0,0,0,0
"GRASP",0.0035,0,0,0,0
"GSTZ1",0.003,0,0,0,0
"HNRNPLL",-0.0054,0,0,0,0
"IER5",0.0019,0,0,0,0
"IL27",0.004,0,0,0,0
"INO80C",0.0098,0,0,0,0
"AP5Z1",0.0013,0,0,0,0
"VWA8",-0.0046,0,0,0,0
"LIMK2",0.0013,0,0,0,0
"MIA3",-0.0016,0,0,0,0
"KAT6B",-0.0045,0,0,0,0
"p47",0.0016,0,0,0,0
"NUDT21",-0.0013,0,0,0,0
"OR11A1",0.1683,0,0,0,0
"OR5T3",2.1356,0,0,0,0
"OR7D2",0.1342,0,0,0,0
"PHKB",-0.0031,0,0,0,0
"PHLDA3",5e-04,0,0,0,0
"PITPNA",0.0012,0,0,0,0
"PPIG",-0.0021,0,0,0,0
"PTPN4",-0.0197,0,0,0,0
"DKFZP434D245",-0.0014,0,0,0,0
"RAP1A",-0.0018,0,0,0,0
"DKFZP434D193",-0.0023,0,0,0,0
"RSPRY1",-0.0066,0,0,0,0
"SEC23A",-0.0015,0,0,0,0
"FLJ32803",-0.0011,0,0,0,0
"SKIL",-0.006,0,0,0,0
"SLC10A7",-0.014,0,0,0,0
"SLC8A1",-0.0062,0,0,0,0
"SMEK2",-0.0015,0,0,0,0
"SP3",-0.0017,0,0,0,0
"DKFZP586C1324",0.002,0,0,0,0
"STAG1",-0.003,0,0,0,0
"STAG2",-0.0011,0,0,0,0
"SYNJ2BP",-0.0026,0,0,0,0
"TCTA",0.0017,0,0,0,0
"THADA",-0.0041,0,0,0,0
"THUMPD1",-0.0033,0,0,0,0
"TIAF1",0.0031,0,0,0,0
"TMPRSS5",0.0208,0,0,0,0
"KET",0.0021,0,0,0,0
"TTC21B",-0.0057,0,0,0,0
"TTC27",-0.007,0,0,0,0
"TUBB6",5e-04,0,0,0,0
"ULK3",0.0019,0,0,0,0
"VPS33B",0.0031,0,0,0,0
"VPS37B",0.0018,0,0,0,0
"YY1",-0.0039,0,0,0,0
"ZBTB11",-0.0041,0,0,0,0
"ZFR",-0.0012,0,0,0,0
"ZNF143",-0.0112,0,0,0,0
"ZNF507",-0.0037,0,0,0,0
"ZSWIM7",0.0077,0,0,0,0
"A2ML1",0.0013,0,0,0,0
"ACADS",0.0024,0,0,0,0
"ANXA8L2",0.0035,0,0,0,0
"ARSE",0.0048,0,0,0,0
"ASB3",-0.0089,0,0,0,0
"C1ORF210",0.0547,0,0,0,0
"SLC52A3",0.0196,0,0,0,0
"CRP",0.4542,0,0,0,0
"CYP4F3",0.148,0,0,0,0
