"","main","clark","stage","age","gender"
"C10orf114",0,0.0165,0,0,0
"CTDP1",0.0043,0,0,0,0
"HIST1H4L",4.612,2.5635,3.3918,-0.6324,-2.1698
"KLHL30",0,0,0,0.0209,0
"OR5T3",2.1065,2.2068,0,0,0
"PTPN4",-0.0181,0,0,0,0
"VPS37B",0.0019,0,0,0,0
"YY1",-0.003,0,0,0,0
"ZSWIM7",0.0092,0,0,0,0
"ADPRHL1",0,0.0123,0,0,0
"AMN",0,0.0512,0,0,0
"BRMS1",0.0011,0,0,0,0
"VSTM5",0,0,1.2759,0,0
"LINC01559",1.3798,0,0,0,0
"TSACC",0,0,0,0.1887,0
"TEX35",0.4667,0,0,0,0
"C20ORF203",0,0.2695,0,0,0
"SLC52A3",0.0143,0,0,0,0
"C4ORF26",1.4371,0,0,0,0
"CEL",0,0.0374,0,0,0
"CGB",0,0.2607,0,0,0
"DHRS7C",0,4.0066,0,0,0
"FGF22",0.2135,0,0,0,0
"FOXJ1",0,0.0145,0,0,0
"GABARAPL3",0,0,0,0,-0.3598
"GOLGA8C",0,0,0,-1.8866,0
"GPR156",0,0.0411,0,0,0
"GRK1",0,3.4909,0,0,0
