"","main","clark","stage","age","gender"
"PARD6G",0.0026,0,0,0,0
"ALG1L",0.0437,0,0,0,0
"CTDP1",0.0028,0,0,0,0
"OR5T3",2.5081,2.6018,0,0,0
"SLC51A",0.0908,0,0,0,0.1075
"UPK1B",0.0163,0,0,0,0
"VPS37B",0.001,0,0,0,0
"AMN",0,0.0595,0,0,0
"LINC01559",1.4861,0,0,0.2485,0
"C17ORF105",1.2946,0.7359,0,0,0
"TSACC",0,0,0,0.0437,0
"C4ORF26",1.042,0.7043,0,0.2001,0
"CGB",0,0.0795,0,0.1016,0
"CLCA1",0,0,0,1.5354,0
"CYP4F3",0.1535,0,0,-0.1646,0.1509
"DEFB126",0.1375,0,0,0,0
"DHRS7C",0,0.2778,0,0,0
"ERAS",0,0,0,0,0.1037
"FGF22",0.4002,0.1416,0,0,0
"FLJ22684",0.0857,0,0,0,0
