"","main","clark","stage","age","gender"
"VPS37B",4e-04,0,0,0,0
"AI3",2e-04,0,0,0,0
"PTPN4",-0.0025,0,0,0,0
"STIM1",3e-04,0,0,0,0
"IMPA2",5e-04,0,0,0,0
"LOC100133827",7e-04,0,0,0,0
"HCAR2",0.0039,0,0,0,0
"EBR2A",1e-04,0,0,0,0
"MMP3",0.001,0,0,0,0
"CC2D1B",3e-04,0,0,0,0
"LOC115830",9e-04,0,0,0,0
"IL20RB",0.001,0,0,0,0
"FAM83A-AS1",0.042,0,0,0,0
"LOC91492",0.0079,0,0,0,0
"FDXR",3e-04,0,0,0,0
"ED4",1e-04,0,0,0,0
"AP1M2",0.003,0,0,0,0
"FLJ20261",0.0329,0,0,0,0
"TACSTD2",2e-04,0,0,0,0
"ICR5",7e-04,0,0,0,0
"LOC200480",5e-04,0,0,0,2e-04
"DSC3",1e-04,0,0,0,0
"A2ML1",3e-04,0,0,0,0
"SDR16C5",0.0015,0,0,0,0
"FAM83A",8e-04,0,0,0,4e-04
"LOC221232",2e-04,0,0,0,0
"CLCA2",2e-04,0,0,0,0
"GRHL1",0.0011,0,0,0,0
"PPP2R2C",9e-04,0,0,0,0
"LOC115646",0.0017,0,0,0,0
"TTC22",0.0064,0,0,0,0
"GPR87",0.0026,0,0,0,0
"PPL",1e-04,0,0,-1e-04,1e-04
"DLX3",0.0031,0,0,0,0
"GLTP",2e-04,0,0,0,0
"TPRXL",0.006,0,0,0,0
"RDH16",0.0081,0,0,0,0
"SDC1",1e-04,0,0,0,0
"LOC388117",0.0023,0,0,0,0
"TNS4",6e-04,0,0,0,0
"BPIFC",0.0026,0,0,0,0
"TRIM29",1e-04,0,0,0,0
"ZNF750",8e-04,0,0,0,0
"EPN3",0.0017,0,0,0,0
"PGLYRP4",0.0035,0,0,0,0.0023
"CERS3",9e-04,0,0,0,0
"SDR9C7",0.0043,0,0,0,0
"KLK7",2e-04,0,0,0,0
"CASP14",3e-04,0,0,0,0
"TMEM45B",0.0023,0,0,0,0
"CBLC",0.0022,0,0,0,0
"B3GNT3",0.0027,0,0,0,0
"HAS3",0.0012,0,0,-7e-04,0
"GRHL3",0.0015,0,0,0,0
"LOC199824",0.0018,0,0,0,0
"TMPRSS11D",0.0023,0,0,0,0
"PPP1R14C",8e-04,0,0,0,0
"S100A7A",1e-04,0,0,0,0
"RONU",0.0043,0,0,0,0
"CYP4F3",0.0334,0,0,0,0
"RAET1G",0.0064,0,0,0,0.0076
"KET",4e-04,0,0,-3e-04,0
"LRFN4",3e-04,0,0,0,0
"GGT6",0.0023,0,0,0,0
"MAB21L3",0.021,0,0,0,0
"HAL",8e-04,0,0,0,0
"NLC1-C",0,-0.0138,0,0,0
"SPRR2E",1e-04,0,0,0,0
"PLA2G4D",0.001,0,0,0,0
"PDZK1IP1",5e-04,0,0,0,0
"TUBB6",1e-04,0,0,0,0
"CYP4F22",0.001,0,0,0,0
"AKR1B15",0.0126,0,0,0,0
"DNASE1L2",0.0038,0,0,0,0
"KRT23",9e-04,0,0,0,0
"PRSS8",7e-04,0,0,-5e-04,4e-04
"NLRP10",0.0168,0,0,0,0
"LOC642584",0.0012,0,0,-7e-04,0
"KLK13",5e-04,0,0,0,0
"KRT78",9e-04,0,0,0,0
"CDS1",0.0021,0,0,0,0.0022
"ALOX12B",8e-04,0,0,-6e-04,0
