"","main","clark","stage","age","gender"
"FAM222A-AS1",0,0.1902,0,0,0
"LIPJ",0,0,0,-2.9746,0
"HPE2",0,0,0,-0.1466,0
"LOC95509",0,0,0.9065,0,0
"SEC11A",0.0021,0.0026,0,0,0
"LONRF2",0,0.0051,0,0,0
"SHANK1",0,0.0514,0,0,0
"LHX5",6.7793,0,0,0,0
"LCN2",0.0035,0,0,-0.0041,0
"QRFPR",0,0,0,0.0361,0.0455
"NUBPL",0,0,0,-0.0149,0
"LOC100421587",0.0041,0,0,0,0
"F12",0,0,0,-0.0118,0
"LAMC3",0.0049,0,0,-0.0043,0
"PHF2P1",0,0,0.0996,0.1,0
"AGPAT9",0.006,0,0,0,0.0069
"PIGH",0.0113,0,0,0,0
"AEN",0.0026,0,0,0,0
"TMED2",0,0.0012,0,0,0
"PAX8",0,0,0,-0.0305,0
"PLEKHH2",0,0,0,-0.0095,-0.0075
"S100A5",0,0.1381,0,0,0
"LOC124216",0,0.0664,0,0,0
"CDKL4",0,0,0,-1.3361,0
"USP53",0,0.0022,0,0,0
"RIPPLY2",0,0,0,0.3251,0
"TMEM145",0.0299,0,0,0,0
"MTHFD2",0.0022,0,0,0,0
"C3ORF67",0,0.0148,0,-0.0104,0
"TBC1D3G",0.0924,0,0,0,0
"TLX1",0.0649,0,0,0,0
"CDC25B",0.0011,0,0,0,0
"OR10A7",63.3522,0,0,0,0
"PTPN20",0,0,0,0,0.0492
"LOC648273",0,0,0,0,0.0043
"UNC13D",0,0,0,0.0026,0
"CCDC172",37.6447,0,0,0,34.882
"GCM2",8.4668,0,0,-5.9193,0
"LOC51745",0,0,0,0,0.1083
"OR3A2",0,0.2724,0,0,0
"TMEM51-AS1",0.03,0,0,0,0
"GNA14",0,0,0,-0.0216,0
"CATSPERG",0,0,0,-0.2899,-0.2627
"LOC100506602",0,3.6533,0,0,0
"SLC9A2",0,0.0973,0,0,0
"DYDC2",0.0634,0,0,0,0.0592
"LINC00113",11.8864,0,0,0,0
"NANOGNB",0,62.5913,0,-50.5004,-75.4085
"SAA2",0.0867,0,0,-0.0793,0
"SLC7A11",0,0,-0.0051,-0.0052,0
"SNORA6",10.5942,0,0,0,0
"SNORA16B",0,119.3619,-70.2916,-43.2595,-63.0826
"STEAP3",0,0.0044,0,0,0
"TM4SF19",0,0.0131,0,0,0
"NPAS1",0,0.053,0,0,0
"LOC122654",0,0,0,-0.0093,0
"LINC00671",0,0,0,0,3.5401
"ZXDB",0,0.0202,0,0,0
"COL19A1",0,0.0149,0,-0.0093,-0.0085
"LOC100133342",0,2.4793,0,0,0
"AOC2",0,0,0,-0.1094,0
"DCSTAMP",0,0.0057,0,0,0
"PRKAA2",0,0.0371,0,0,0
"CCDC70",2.9685,0,0,0,0
"SNORA64",0,0,0,36.4721,0
"TBX18",0,0,0,0,0.0134
"CCNA1",0,0.0261,0,0,0
"TPD52",0,0,0,0,0.0025
"FAM46A",0,0.0036,0,0,-0.0033
"DNM1DN8-2",0.0291,0,0,0,0
"OR10Q1",0,0,0,-22.3396,0
"SLC17A9",0,0,0,0.0054,0
"FLJ22814",0,0,0,0,0.0014
"ANG",0,0,0,-0.0171,0
"ZBED9",0,0.1064,0,0,0
"OR6C1",25.8345,0,0,0,0
"DIVA",0,0,0,-1.31,0
"CHRNA4",0,0,0,0,-0.3439
