"","main","clark","stage","age","gender"
"FAM222A-AS1",0,0.2638,0,0,0
"LOC101060208",0,0,0,0.1112,0
"LIPJ",0,0,0,-3.4099,0
"HPE2",0,0,0,-0.1515,0
"MAG",0,0.0038,0,0,0
"LOC95509",0,0,0.9005,0.7709,0
"TBXA2R",0,0.0109,0,0,0
"LOC645822",0,0,0,-10.5018,0
"SEC11A",0,0.0025,0,0,0
"LONRF2",0,0.006,0,0,0
"OR4F21",13.1098,0,0,0,0
"SPRYD7",0,0.0177,0,0,0
"LHX5",6.4851,0,0,0,0
"LCN2",0.0036,0,0,-0.0034,0
"CCNB3",0,0.0983,0,0,0
"KCNQ4",0,0.1017,0,0,0
"SAGE1",0,0.0473,0,0,0
"NUBPL",0,0,0,-0.0176,0
"RPL21",0,0.2997,0,0,0
"LOC392331",0,0.4437,0,0,0
"RINL",0,0.0127,0,0,0
"PHF2P1",0,0,0.1063,0.1016,0
"C20ORF166-AS1",0,0.2418,0,0,0
"PAQR3",0,0.0094,0,0,0
"LOC222200",0,0.0011,0,0,0
"PLEKHH2",0,0,0,-0.0131,0
"ZMYM5",0,0.0154,0,0,0
"SNORD1C",0,0.0654,0,0,0
"S100A5",0,0.0958,0,0,0
"LOC124216",0,0.0618,0,0,0
"ZMYM2",0,0.003,0,0,0
"LIPF",0,0,0,-1.8939,0
"CDKL4",1.022,0,0,-1.5009,0
"C22ORF34",0,0.0749,0,0,0
"LINC00662",0,0.0811,0,0,0
"MIRLET7BHG",0,0.0462,0,0,0
"RIPPLY2",0,0,0.3144,0.3525,0
"C10ORF53",0,38.6536,0,0,0
"CELA3A",188.1093,0,0,258.3864,0
"USP29",0,6.4765,0,0,0
"GRK1",0,4.7636,0,0,0
"ANGPT1",0,0.0035,0,0,0
"TLX1",0.0705,0,0,0,0
"OR11H12",0,0,7.187,0,0
"OR10A7",61.017,0,0,0,0
"OR6C76",0,29.6002,0,0,0
"ANKRD20B",0,0.2038,0,0,0
"PTPN20",0,0,0,0,0.0592
"TARM1",0,40.7357,0,0,0
"C22ORF42",0,28.1911,0,0,0
"CCDC172",38.5675,0,0,0,35.9833
"OR10G3",0,0,0,0,9.6337
"LOC399807",0,1.5284,0,0,0
"GCM2",8.3309,0,0,-5.8614,0
"GNA14",0,0,0,-0.0171,0
"LOC100506602",0,3.105,0,0,0
"LINC00113",11.4546,0,10.6477,0,7.5398
"NANOGNB",0,61.991,0,-50.5374,-74.4028
"HSD17B7P2",0,0,0,-0.1039,0
"SLC7A11",0,0,0,-0.0061,0
"SNORA6",10.5913,0,0,9.4866,0
"TP53TG5",0,0,0,-8.8198,0
"LOC651477",0,0,0,0,-10.4609
"SNORA16B",0,113.5095,-70.4366,-41.7292,-61.3482
"ENPP6",0,0,0,-0.097,0
"TUBE1",0,0.0382,0,0,0
"LINC00671",1.9216,0,0,0,3.5069
"LRIT1",0,0,0,-10.1618,0
"ZXDB",0,0.0225,0,0,0
"PAX4",0,23.6005,0,0,0
"C7ORF62",0,0,0,0,17.2521
"PRKAA2",0,0.0377,0,0,0
"CCDC70",2.8625,3.6217,0,0,0
"SNORA64",0,25.4902,0,31.5136,0
"SLC10A2",6.669,7.4784,0,0,0
"OR52D1",0,0,0,-12.3425,0
"OR10Q1",9.4789,0,0,-21.8258,0
"OR6C1",27.0089,0,0,0,31.0879
