"","main","clark","stage","age","gender"
"LINC00442",0,0,0,0,2.6874
"ANKRD26P3",0,0.2209,0,0,0
"LOC392946",0,0,0,0.1795,0
"MYH13",0.2626,0,0,0,0
"FFAR1",0,0.1453,0,0,0
"LOC101060208",0,0.0951,0,0.0709,0.0544
"TSLP",0.079,0,0,0,0.0974
"LIPJ",0.8189,0,0,-1.743,0
"LOC95509",0,0.1349,0,0,0
"PRR20C",0,18.0541,0,0,0
"NAAR1",0,0.0268,0,0,0
"C15ORF54",0,0.1303,0,0,0
"C1QL2",0,0.4588,0,0,0
"ZSCAN5B",0,0.1457,0,0,0
"SPATA31D4",0,0.7067,0,0,0
"SPINK4",1.0738,0,0,0,0
"LOC145053",0,0.031,0,0,0
"OR51B1P",0,1.7313,0,0,0
"LOC201531",0,0.5396,0,0,0
"LOC439937",0,3.0857,0,0,0
"FEV",0.2007,0,0,0,0
"TRIM53AP",0,0.3157,0,0,0
"SERPIND1",0,0.0121,0,0,0
"LHX5",5.5267,0,2.8961,0,0
"LOC147790",0,1.0696,0,0,0
"PRAMEF14",0,0,0,0,-1.1758
"LOC100292385",0,1.8329,0,0,0
"NPS",0,0.5643,0,0,0
"OR10A6",1.938,1.5881,0,0,0
"SPATA31D3",0,1.9901,0,0,0
"OR10A3",3.1692,3.2244,0,0,-1.0894
"PRAMEF23",0.3336,0,0,0,0
"C20ORF166-AS1",-0.1059,0.356,0,0,0
"RBBP8NL",0.0431,0,0,0,0.0454
"RFPL4B",0,0.0703,0,0,0
"LIPF",0,0,0,-1.6131,0
"ANKRD30BP2",0.5292,0.7159,0,0,0
"IL1A",0,0.0521,0,0,0
"G6PC",0,0.4194,0,0.4265,0
"USP29",2.0795,4.8001,0,0,0
"CRLF2",0,0.5491,0,-0.5805,0
"OR11H12",0,1.0052,0,0,0
"OR10A7",63.0761,0,0,0,75.2756
"CLCA3P",0.808,0.5429,0,0,0
"OR6C76",0,33.8482,12.5279,0,0
"LOC642929",1.1084,3.7785,0,0,-2.2961
"C4ORF26",1.1478,0.7747,0,0,0
"TARM1",0,38.0157,0,0,0
"LOC91492",0.038,0,0,0,0
"HCAR2",0.0184,0,0,0,0
"FAM83A-AS1",0.2218,0,0,0,0
"GPR50",0.9152,0.7896,0,0,0
"AMN",0,0.0588,0,0,0
"S100P",0.0083,0,0,0,0
"HEPHL1",0.0055,0,0,0,0
"C17ORF64",0.3733,0,0,0,0
"NLRP10",0.0847,0.078,0,0,0
"SLC6A2",0.1502,0,0,0,0
"MTNR1B",2.5703,0,0,0,0
"FLJ20261",0.1837,0,0,0,0
"IL20RB",0.0042,0,0,0,0
"TPRXL",0.0236,0,0,0,0
"SNORD22",1.2042,0,0,0,2.0942
"LOC285692",0,0,0,0,-3.2334
"LYPD2",0.0409,0,0,0,0
"LOC142972",0.5787,0,0,0,0.3735
"LOC285629",0.1353,0,0,0,0
"AMTN",0.3063,0,0,0,0
"OPN1LW",1.3674,0,0,0,0
"SNORA48",1.2723,0,0,0,0
"ADGRF2",0.3447,0,0,0,0
"FGF22",0.393,0,0,0,0
"LOC63189",0.3385,0,0,0,0
"NLC1-C",0.1941,-0.0956,0.1525,0,0
