"","main","clark","stage","age","gender"
"EBF2",-0.0089,0,0,0,0
"KCTD16",-0.0449,0,0,0,0
"OR11A1",0.0079,0,0,0,0
"RSU1P2",-0.0201,0,0,0,0
"AVP",-0.1225,0.0017,0,0,0
"TTC28-AS1",-0.001,-4e-04,0,0,0
"LOC105379569",0.1613,0,0,0,0
"SEMA3A",0,-3e-04,0,0,0
"MTE",0.0322,-8e-04,0,0,0
"CNTN2",-0.0032,0,0,0,0
"GPR12",5e-04,0,0,0,0
"CLDN16",0.0088,0,0,0,0
"KCNA6",-6e-04,0,0,0,0
"TDRG1",0.0817,4e-04,0,0,0
"VMCM",-0.001,0,0,0,0
"KIAA0960",-8e-04,1e-04,0,0,0
"OR51A7",-0.3112,0,0,0,0
"KBF2",-6e-04,0,0,0,0
"GABRD",-0.0018,0,0,0,0
"ELAVL4",-0.005,0,-0.001,-0.0017,0
"LOC100240735",-0.026,0,0,0,0
"KLRC4",-0.003,0,0,0,0
"MEOX1",2e-04,0,5e-04,0,0
"GH1",-0.0226,0,-0.0086,0,0
"OR10C2",-0.2016,-0.001,0,0,0
"PRO2543",0.0024,0,0,0,0
"KCNK10",0.0073,0,0,0,0
"CRYAA",-0.0126,0,0,0,0.0101
"C9orf101",-0.0012,0,0,0,0
"H2A",-0.0039,-1e-04,-0.0019,0,-0.0023
"LOC116000",-0.014,0,0,0,0
"UPK2",0.0061,-0.1606,0,0,0
"NDST3",0,0,0,-7e-04,0
"CNKSR2",-0.0031,0,0,0,0
"SMC3",-2e-04,0,0,0,0
"LOC116242",6e-04,0,0,0,0
"RYBP",-3e-04,0,0,0,0
"SLC24A3",8e-04,0,0,0,0
"LMNB1",-1e-04,0,0,0,0
"MYL3",-0.0392,-7e-04,-0.0021,0,-2e-04
"ZNF586",-0.0038,0,0,0,0
"KCNG4",0.0158,0,0,0,0
"GREM2",0.002,0,0,0,-3e-04
"PHIP",-3e-04,0,0,0,0
"IGCD1",-0.0041,0,0,0,0
"PLCXD2",-0.0034,0,0,0,0
"PDZRN4",-0.0038,0,0,0,0
"TMEM159",7e-04,0,0,0,0
"LOC116359",1e-04,0,0,0,0
"HBD",-0.0152,0,0,0,0
"TMEM233",-0.0025,0,0,0,-7e-04
"SHOC2",-6e-04,0,0,0,0
"ZFP62",-0.0011,0,0,0,0
"INPP5K",4e-04,0,0,0,0
"LOC100133184",0.0014,4e-04,0,0,0
"LOC100132018",-0.0017,0,0,0,0
"LGI2",-6e-04,-2e-04,0,0,0
"HNRNPA3",-1e-04,0,0,0,0
"LIMS1",-7e-04,0,0,0,0
"POU2F1",-0.0023,0,0,0,0
"HS3ST3B1",-0.003,0,0,0,0
"LOC100506644",-0.001,0,0,0,0
"ELOVL1",2e-04,0,0,0,0
"LOC92224",-0.0051,0,0,0,0
"DNLC2B",-0.0371,0,0,0,0
"SNORA45B",0.0583,-2e-04,0,0,0
"CWC27",-0.001,0,0,0,0
"DNASE1L1",4e-04,0,0,0,0
"PRMT8",-0.049,0,0,0,-5e-04
"TNFAIP1",4e-04,0,0,0,0
"RBMX",-2e-04,0,0,0,0
"LBR",-3e-04,0,0,0,0
"LOC100128288",-0.0035,0,0,0,0
