"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-8550341",0,0,0,0,-0.0104,0,-0.0367,-0.1273,-0.0273,-0.1864,-0.0241
"SNP_A-4206842",0.0252,0,0,0,0,0,-0.1127,-0.1285,0.0375,-0.151,0.0275
"SNP_A-2134445",0,0,0,0,0,-0.0888,0.0788,-0.1506,0.0324,-0.1657,-0.0343
"SNP_A-1800738",0,0,0,0,0,0.0185,-0.1051,-0.0548,0.1156,-0.1124,0.0122
"SNP_A-2195857",0,0,0,0,0,0.0148,-0.0411,-0.1053,0.0351,-0.0561,7e-04
"SNP_A-8610504",0,0,0,0,0,-0.0332,0.01,0.0206,0.066,-0.1476,-0.0491
"SNP_A-8493506",0,0,0,0,0,-0.1987,0.003,-0.0561,-0.0668,-0.1091,0.0404
"SNP_A-2198642",0,0,0,0,-0.0274,0,0.0412,-0.1264,0.0113,-0.1889,-0.0112
"SNP_A-2220538",0,0,0,0,-0.0575,0,0.1217,-0.0684,-0.0708,-0.0762,0.0031
"SNP_A-8652851",0,0,0,0,0,-0.0466,0.036,-0.1115,0.0329,-0.1314,-0.1682
"SNP_A-8443014",0,0,0,0,0,-0.0765,-0.008,-0.0763,0.078,-0.1957,-0.0448
"SNP_A-2188834",0,0,0,0,0,2e-04,0.0342,-0.0056,0.048,-0.0288,0.0279
"SNP_A-4286214",0,0,0,0,0,-0.0909,-0.0156,-0.0354,-0.0249,-0.0857,0.0029
"SNP_A-8451876",0,0,0,0.0131,0,0,-0.0784,-0.031,-0.0215,-0.073,0.0094
"SNP_A-8610095",0,0,0,0,0.02,0,0.0155,-0.0064,-0.0098,-0.1211,-3e-04
"SNP_A-1858387",0,0,0,0,0.0309,0,-0.0554,-0.1062,-0.0157,-0.1758,-0.0116
"SNP_A-2264089",0,0,0,0,0,-0.0633,0.1475,-0.0351,0.015,-0.0629,-0.0078
"SNP_A-2136502",0,-0.0634,0,0,0,0,-0.1109,-0.0351,0.0819,-0.1135,0.013
"SNP_A-4300147",0,-0.0929,0,0,0,0,0.0428,0.049,0.068,-0.0137,-0.0162
"SNP_A-1859442",0,-0.07,0,0,0,0,0.0424,-0.1054,0.0425,-0.1709,0.1185
"SNP_A-1864267",0,-0.0704,0,0,0,0,-0.017,-0.0723,0.0161,-0.1002,-0.1045
"SNP_A-8443603",0,0.0146,0,0,0,0,0.095,-0.0217,0.0058,-0.182,0.0699
"SNP_A-8291317",0,0,0,0.0414,0,0,0.0377,-0.0383,-0.0519,-0.062,0.0012
"SNP_A-2002897",0,0,0,0.1159,0,0,-0.0591,0.0088,-0.0356,-0.1048,0.0217
"SNP_A-4246142",-0.024,0.032,0,0,0,0,-0.0324,-0.0618,0.0263,-0.0803,0.1002
"SNP_A-8457241",0.0271,0.028,0,0,0,0,-0.0066,-0.0458,0.0181,-0.1711,0.0352
"SNP_A-2182602",0.1064,0,0,0,0,0,0.0102,-0.0673,-0.0023,-0.1356,0.0315
"SNP_A-8363238",0,0.0012,0,0,0,0,0.0529,-0.0737,0.0025,-0.079,-0.0595
"SNP_A-8296071",-0.0093,-0.0049,0,0,0,0,0.031,-0.0813,-0.0359,-0.0496,0.0446
"SNP_A-8380454",-0.0529,0,0,0,0,0,0.0104,-0.0095,0.0386,-0.1223,0.0202
"SNP_A-8292919",0,0,0,0.0097,0,0,-0.0147,-0.088,-0.0495,-0.0703,-0.0603
"SNP_A-1954462",0,0,0,0,0,0.0741,0.0121,-0.0518,-0.0037,-0.2739,0.0585
"SNP_A-8495358",0,0,0,0,-0.037,0,-0.0474,-0.0657,0.0561,-0.1661,-0.0512
"SNP_A-8616766",0.0971,0,0,0,0,0,-0.0737,-0.1454,-0.0394,-0.0855,0.0885
"SNP_A-4240086",-0.0257,0,0,0,0,0,0.0351,-0.1263,0.0198,-0.0426,-0.0221
"SNP_A-4298979",0,0,0,0,-0.0635,0,0.0115,0.0058,0.0652,-0.1751,-0.0926
"SNP_A-8302608",0,0,-0.0066,0,0,0,-0.0084,-0.0151,0.0148,-0.0168,-8e-04
"SNP_A-4231490",0,0,-2e-04,0,0,0,0.0142,-0.0811,-0.0337,-0.089,1e-04
"SNP_A-4239615",0,0,0.0446,0,0,0,-0.0509,-0.1041,-0.0117,-0.0788,-0.0677
"SNP_A-2198045",0,0,0.075,0,0,0,-0.0348,-0.1131,0.0011,-0.0745,0.0144
"SNP_A-8455983",0,0,0.0148,0,0,0,-0.1028,-0.0783,-0.0397,-0.1201,0.0066
"SNP_A-4275513",0,0,0.0533,0,0,0,-0.0823,-0.2017,-0.0106,-0.128,-0.0775
"SNP_A-4174435",0,-0.0129,0,0,0,0,-0.0065,-0.0924,0.0287,-0.0944,0.0535
"SNP_A-1782180",0,-0.056,0,0,0,0,0.0855,0.0189,-0.011,-0.0436,-0.0969
"SNP_A-1815878",0,-0.0894,0,0,0,0,0.1117,0.0042,-0.064,-0.1637,0.01
"SNP_A-1786335",-0.0388,0,0,0,0,0,0.0152,-0.0701,0.0169,-0.0931,2e-04
