"","main","clark","stage","age","gender"
"NHLH1",0,0.059,0,0,0
"INAFM1",0,0.0012,0,0,0
"HSPB1P1",0,5e-04,0,0,0
"ANKRD13B",0,0.0011,0,0,0
"BGLAP",0,0.0083,0,0,0
"PTRHD1",0,0.0014,0,0,0
"FAM212A",0,0.0014,0,0,0
"CCL15",0,0,-0.0332,0,0
"CHP1",1e-04,0,0,0,0
"CNPY3",0,2e-04,0,0,0
"EVA1B",0,6e-04,0,0,0
"PRG6",0,3e-04,0,0,0
"HIST1H1E",0,0.0639,0,0,0
"HSPA12B",0,8e-04,0,0,0
"HSPBP1",0,3e-04,0,0,0
"LDLRAD2",0,8e-04,0,0,0
"LRFN1",0,0.0015,0,0,0
"MYOD1",0,0.0651,0,0,0
"PEMT",0,7e-04,0,0,0
"PER1",0,2e-04,0,0,0
"POGZ",0,3e-04,0,0,0
"PPP1R14A",0,0.0055,0,0,0
"PUSL1",0,0.0011,0,0,0
"SEMA6C",-0.0014,0.0017,0,0,0
"SSTR2",-0.012,0,0,0,0
"USP21_2",0,0.0011,0,0,0
"WIPF2",0,-8e-04,0,0,0
"FLJ10390",0,2e-04,0,0,0
"ZNF579",0,0.0016,0,0,0
"AARSD1",0,9e-04,0,0,0
"AES",0,1e-04,0,0,0
"ANKRD19P",0,0.0035,0,0,0
"ANKRD28",0,-2e-04,0,0,0
"ASH2L",0,-5e-04,0,0,0
"ATP5D",0,1e-04,0,0,0
"ATP5G1",0,3e-04,0,0,0
"ATP5G2",0,1e-04,0,0,0
"ATP5L2",0,0.2155,0,0,0
"ATP5L",0,2e-04,0,0,0
"BCL7C",0,3e-04,0,0,0
"BTD",0,-0.001,0,0,0
"C14ORF80",0,0.0012,0,0,0
"C14ORF93",0,0.0033,0,0,0
"FAM219B",0,0,8e-04,0,0
"TICRR",0,0.0016,0,0,0
"C17ORF49",0,3e-04,0,0,0
"C19ORF43",0,2e-04,0,0,0
"C1ORF127",0,0.012,0,0,0
"C1ORF35",0,0.001,0,0,0
"NTPCR",0,8e-04,0,0,0
"LRRC75B",0,0.0029,0,0,0
"CCT7",0,1e-04,0,0,0
"CENPH",0,0.0019,0,0,0
"CHMP2A",0,2e-04,0,0,0
"CHTF18",0,7e-04,0,0,0
"CLPP",0,4e-04,0,0,0
"CLVS1",0,0.0596,0,0,0
"CNTFR",0,6e-04,0,0,0
"CORT",0,0.0314,0,0,0
"COX6C",0,1e-04,0,0,0
"CPSF1",0,2e-04,0,0,0
"CREB3L4",0,0.0015,0,0,0
"DCAKD",0,6e-04,0,0,0
"ECI1",0,4e-04,0,0,0
"DCPS",0,6e-04,0,0,0
"DECR1",0,4e-04,0,0,0
"DKFZP434L187",0,0.0143,0,0,0
"DMAP1",0,9e-04,0,0,0
"DOPEY2",0,-9e-04,0,0,0
"DRG2",0,8e-04,0,0,0
"DTD1",0,0.0012,0,0,0
"DTNB",0,7e-04,0,0,0
"EDF1",0,1e-04,0,0,0
"ERCC1",0,3e-04,0,0,0
"ERH",0,4e-04,0,0,0
"FDX1L",0,0.0014,0,0,0
"FRA3B",0,0.0037,0,0,0
"FIZ1",0,0.0012,0,0,0
"FLAD1",0,5e-04,0,0,0
"FUS",0,1e-04,0,0,0
"GAS5",0,1e-04,0,0,0
"GPR22",0,0.3573,0,0,0
"GRM6",0,0.1013,0,0,0
"GSC",0,0.0112,0,0,0
"GTF3",0,8e-04,0,0,0
"H2AFY2",0,0.0015,0,0,0
"HARS",0,4e-04,0,0,0
"HAUS5",0,0.0011,0,0,0
"HBEGF",0,6e-04,0,0,0
"HHLA3",0,0.0014,0,0,0
"HNRNPA0",0,2e-04,0,0,0
"HNRNPC",0,1e-04,0,0,0
"HUS1B",0,0.0464,0,0,0
"IDH2",0,2e-04,0,0,0
"NHSL2",-0.0148,0,0,0,0
"KBF2",-9e-04,0,0,0,0
