"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-1913446",0.2566,0,-0.4202,0,0,0,-0.0376,-0.5957,0.2546,-0.4173,0.4431
"SNP_A-1782534",0.3261,0,0,0,0,0,-0.0363,-0.5802,0.2385,-0.3994,0.4739
"SNP_A-1893255",0.3469,0,0,0,0,0,-0.0586,-0.5974,0.219,-0.4106,0.4557
"SNP_A-8495427",0.341,0,0,0,0,0,-0.0758,-0.5537,0.2335,-0.4212,0.4542
"SNP_A-2232303",0.3663,0,0,0,0,0,-0.0624,-0.5253,0.2415,-0.3842,0.4427
"SNP_A-4278894",-0.2874,0,0,0,0,0,-0.0662,-0.5889,0.2181,-0.4242,0.45
"SNP_A-8430223",-0.31,0,0,0,0,0,-0.0705,-0.5842,0.224,-0.4018,0.4652
"SNP_A-4214159",-0.3599,0,0,0,0,0,-0.0545,-0.5999,0.2099,-0.4171,0.445
"SNP_A-2126950",-0.3268,0,0,0,0,0,-0.0618,-0.5701,0.218,-0.4293,0.4679
"SNP_A-2286174",0.2575,0,0,0,0,0,-0.0647,-0.5458,0.2535,-0.4134,0.4521
"SNP_A-2144966",0.3119,0,0,0,0,0,-0.0615,-0.5847,0.2453,-0.4147,0.4683
"SNP_A-1835290",0.3427,0,0,0,0,0,-0.0604,-0.5954,0.2265,-0.3858,0.4705
"SNP_A-2248669",0.3478,0,0,0,0,0,-0.0613,-0.5956,0.253,-0.4173,0.4541
"SNP_A-2138143",0.375,0,0,0,0,0,-0.0317,-0.5713,0.2414,-0.4101,0.4588
"SNP_A-2169089",0.3402,0,0,0,0,0,-0.0849,-0.5847,0.2238,-0.3946,0.4751
"SNP_A-4198648",0.4095,0,0,0,0,0,-0.0715,-0.5608,0.2181,-0.4006,0.4753
"SNP_A-8533795",0.3195,0,0,0,0,0,-0.0729,-0.5576,0.2323,-0.4236,0.4418
"SNP_A-8317836",0.3079,0,0,0,0,0,-0.0549,-0.5707,0.2264,-0.4145,0.469
"SNP_A-8442249",0.2945,0,0,0,0,0,-0.0567,-0.5802,0.2333,-0.4241,0.4613
"SNP_A-1840405",0.3478,0,0,0,0,0,-0.051,-0.5714,0.2563,-0.436,0.4818
"SNP_A-2006263",0.2925,0,0,0,0,0,-0.0639,-0.5901,0.2382,-0.4324,0.4868
"SNP_A-4228748",-0.2832,0,0,0,0,0,-0.0666,-0.5641,0.2406,-0.4019,0.4722
"SNP_A-2288616",-0.2821,0,0,0,0,0,-0.0555,-0.5682,0.2505,-0.3999,0.4731
"SNP_A-2269121",-0.3066,0,0,0,0,0,-0.0805,-0.5777,0.2226,-0.4178,0.4773
"SNP_A-8582241",0.3333,0,0,0,0,0,-0.0621,-0.5756,0.217,-0.4195,0.4818
"SNP_A-8426007",0.3177,0,0,0,0,0,-0.0855,-0.5579,0.2513,-0.3953,0.4829
"SNP_A-8298781",0.2799,0,0,0,0,0,-0.0862,-0.5669,0.2289,-0.3979,0.4718
"SNP_A-8635082",0.2884,0,0,0,0,0,-0.0544,-0.5629,0.2245,-0.405,0.481
"SNP_A-1938694",0.2559,0,0,0,0,0,-0.0745,-0.5627,0.2261,-0.4256,0.47
"SNP_A-2044928",0.3582,0,0,0,0,0,-0.0486,-0.5633,0.2264,-0.4169,0.454
"SNP_A-1787956",-0.3336,0,0,0,0,0,-0.0632,-0.5636,0.2344,-0.4005,0.4752
"SNP_A-2207359",-0.3421,0,0,0,0,0,-0.0534,-0.5743,0.2345,-0.4081,0.4766
"SNP_A-8452712",-0.3406,0,0,0,0,0,-0.0595,-0.5413,0.2497,-0.4204,0.4555
"SNP_A-8559234",0.2456,0,0,0,0,0,-0.0789,-0.581,0.204,-0.4013,0.4762
"SNP_A-4227688",-0.3133,0,0,0,0,0,-0.0842,-0.5673,0.2268,-0.4249,0.4503
"SNP_A-4286159",0.2765,0,0,0,0,0,-0.059,-0.5585,0.2134,-0.4315,0.4801
"SNP_A-4277339",-0.3267,0,0,0,0,0,-0.0601,-0.5676,0.2102,-0.4078,0.4716
"SNP_A-8566850",0.2709,0,0,0,0,0,-0.0783,-0.5723,0.2156,-0.4125,0.481
"SNP_A-8450540",0.2668,0,0,0,0,0,-0.0329,-0.577,0.224,-0.3977,0.475
"SNP_A-2001225",0.2724,0,0,0,0,0,-0.0801,-0.5809,0.2348,-0.4001,0.4566
"SNP_A-1794521",0.294,0,0,0,0,0,-0.0568,-0.57,0.2279,-0.4159,0.4861
"SNP_A-1786999",0.2834,0,0,0,0,0,-0.0543,-0.5615,0.2201,-0.4073,0.4514
"SNP_A-2002196",0.3053,0,0,0,0,0,-0.0599,-0.5663,0.2135,-0.4032,0.4845
"SNP_A-4268375",-0.2621,0,0,0,0,0,-0.0617,-0.5636,0.2376,-0.4145,0.4644
"SNP_A-1822309",-0.2839,0,0,0,0,0,-0.0594,-0.5587,0.2388,-0.4435,0.4783
"SNP_A-1803862",0,0,0,-0.3956,0,0,-0.0611,-0.5809,0.2492,-0.4242,0.4469
"SNP_A-1867506",0,0,0,-0.3574,0,0,-0.0487,-0.5905,0.228,-0.4101,0.4601
"SNP_A-8299700",-0.2982,0,0,0,0,0,-0.037,-0.5698,0.2236,-0.41,0.4602
"SNP_A-1888920",0.2425,0,0,0,0,0,-0.0752,-0.5549,0.2294,-0.3995,0.465
"SNP_A-8545384",-0.2509,0,0,0,0,0,-0.0317,-0.5384,0.2212,-0.4034,0.4661
"SNP_A-2278577",0,0,0,0,0,0.3509,-0.0471,-0.5728,0.2364,-0.4114,0.4593
"SNP_A-8381513",-0.2402,0,0,0,0,0,-0.0531,-0.5738,0.2319,-0.4134,0.4374
"SNP_A-2117665",-0.2903,0,0,0,0,0,-0.0541,-0.579,0.2452,-0.3907,0.4631
"SNP_A-1809123",0.2802,0,0,0,0,0,-0.0792,-0.5521,0.2348,-0.4207,0.464
"SNP_A-4228411",0.3557,0,0,0,0,0,-0.0648,-0.5655,0.2127,-0.431,0.4603
"SNP_A-2029301",0.3378,0,0,0,0,0,-0.0571,-0.5937,0.2429,-0.4081,0.4704
"SNP_A-2002789",0.3547,0,0,0,0,0,-0.0508,-0.5671,0.2677,-0.4129,0.451
"SNP_A-8634382",0.3058,0,0,0,0,0,-0.0414,-0.5729,0.2433,-0.3989,0.4527
"SNP_A-8353677",0.2767,0,0,0,0,0,-0.0643,-0.5724,0.2273,-0.3946,0.4733
"SNP_A-1785462",0,0,0,0,0,-0.3268,-0.0499,-0.5556,0.2407,-0.4233,0.4644
"SNP_A-1854908",0,0,0,0,0,-0.331,-0.0675,-0.5856,0.2367,-0.3952,0.5341
"SNP_A-4284245",-0.2357,0,0,0,0,0,-0.0441,-0.5641,0.2376,-0.4173,0.4788
"SNP_A-1828652",-0.2504,0,0,0,0,0,-0.0582,-0.5756,0.2476,-0.4005,0.4699
"SNP_A-8379953",0.2885,0,0,0,0,0,-0.0558,-0.5674,0.2288,-0.3987,0.4693
"SNP_A-8301392",0.2785,0,0,0,0,0,-0.0751,-0.5962,0.2182,-0.4097,0.4822
"SNP_A-4241592",-0.2664,0,0,0,0,0,-0.0402,-0.5606,0.2475,-0.4103,0.4488
"SNP_A-1803128",-0.2569,0,0,0,0,0,-0.0586,-0.5563,0.2429,-0.4238,0.4685
