"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-1913446",0,0,-1.0939,0,0,0,-0.556,-1.5627,0.7199,-1.0594,1.2072
"SNP_A-1782534",0.9283,0,-1.0402,0,0,0,-0.5377,-1.5484,0.7052,-0.9551,1.1163
"SNP_A-1893255",0.9477,0,-1.0806,0,0,0,-0.5522,-1.5333,0.7034,-0.9691,1.174
"SNP_A-8495427",1.089,0,-0.9341,0,0,0.9654,-0.5711,-1.4877,0.6682,-1.0475,1.0911
"SNP_A-2232303",1.1091,0,-0.944,0,0,0.9871,-0.5275,-1.4934,0.6988,-0.9842,1.1391
"SNP_A-2138143",0.971,0,0,0,0,-1.0701,-0.5697,-1.3873,0.6976,-0.982,1.1877
"SNP_A-8302758",0,1.0095,0.9691,0,0,0,-0.4998,-1.3734,0.7194,-1.0042,1.21
"SNP_A-8287124",0,0,0,0,1.0625,1.2054,-0.5122,-1.4464,0.6904,-1.0816,1.2653
"SNP_A-2118665",0,0,0,0,1.3087,1.4542,-0.4928,-1.3863,0.7725,-0.9776,1.3927
"SNP_A-4223585",0,0,0,0,1.264,1.3899,-0.4832,-1.407,0.7304,-1.0302,1.3489
"SNP_A-8517479",0,0,0,0,0,1.037,-0.4588,-1.5039,0.693,-1.0957,1.1222
"SNP_A-4244990",0,0,0,1.1059,0,0,-0.4977,-1.4651,0.6752,-0.9497,1.2777
"SNP_A-8464725",0,0,0,1.0713,0,0,-0.4769,-1.4587,0.6293,-1.065,1.1955
"SNP_A-8686155",0,0,0,0,0,1.0186,-0.61,-1.4715,0.6939,-1.0348,1.1798
"SNP_A-8361300",0,0,0,-1.0757,0,0,-0.5807,-1.509,0.756,-1.017,1.1147
"SNP_A-8643654",0,0,0,-1.0681,0,0,-0.5052,-1.4721,0.7757,-1.0511,1.1295
"SNP_A-1803862",0,0,0,-1.3298,0,0,-0.5753,-1.5127,0.8147,-0.9615,1.1341
"SNP_A-1867506",0,0,0,-1.1676,0,0,-0.4972,-1.4799,0.7176,-1.0438,1.1468
"SNP_A-4300425",0,0,0,-1.1431,0,0,-0.5471,-1.483,0.6684,-0.9836,1.1407
"SNP_A-4268384",0,0,0,0,0,1.1564,-0.5219,-1.4329,0.7851,-1.0689,1.1744
"SNP_A-8653263",0,0,0,0,0,1.031,-0.5865,-1.438,0.7713,-1.0253,1.2191
"SNP_A-8288625",0,0,0,0,0,1.0499,-0.5553,-1.4713,0.6862,-1.0226,1.1948
"SNP_A-8369484",0,1.1177,0,0,0,0,-0.5735,-1.4909,0.6422,-1.0021,1.1798
"SNP_A-8302142",0,1.1385,0,0,0,0,-0.487,-1.4451,0.6608,-1.009,1.1678
"SNP_A-8501974",0,1.1212,0,0,0,0,-0.5551,-1.479,0.7018,-0.9997,1.1893
"SNP_A-8647874",0,1.033,0,0,0,0,-0.5138,-1.4562,0.7083,-1.01,1.1549
"SNP_A-2040432",0,0,0,0,0,1.2361,-0.5555,-1.46,0.6482,-0.9866,1.2174
"SNP_A-2278577",0,0,0,0,0,1.0604,-0.563,-1.4214,0.6963,-1.0197,1.1719
"SNP_A-1835290",0,0,0,0,0,-1.0816,-0.5013,-1.4397,0.6891,-0.9889,1.1515
"SNP_A-2248669",0,0,0,0,0,-1.0933,-0.5956,-1.454,0.6837,-0.9393,1.2382
"SNP_A-2169089",0,0,0,0,0,-1.139,-0.5407,-1.4105,0.7607,-0.987,1.1983
"SNP_A-8302470",0,-1.0665,0,0,0,0,-0.5145,-1.4698,0.6908,-1.0234,1.2832
"SNP_A-8291658",-1.1075,0,0,0,0,0,-0.5305,-1.4405,0.6847,-1.0152,1.195
"SNP_A-1863656",0,1.1048,0,0,0,0,-0.52,-1.4594,0.7511,-1.0005,1.1309
"SNP_A-2051603",0,0,0,0,0,1.1924,-0.5584,-1.4893,0.6351,-0.9716,1.1507
"SNP_A-1920372",0,-1.1699,0,0,0,0,-0.5963,-1.4946,0.7373,-1.0332,1.1553
"SNP_A-1928942",0,0,0,1.1279,0,0,-0.5781,-1.4432,0.6914,-1.0134,1.1393
"SNP_A-1866849",0,0,0,0,0,1.2525,-0.5901,-1.4255,0.7739,-0.9994,1.1686
"SNP_A-1895433",0,0,0,1.1433,0,0,-0.5418,-1.4557,0.706,-0.9534,1.2568
"SNP_A-8630334",0,0,0,0,0,-1.0952,-0.5804,-1.4765,0.7256,-0.9738,1.0516
"SNP_A-8633064",0,-1.1522,0,0,0,0,-0.5145,-1.4617,0.7593,-1.0761,1.1246
"SNP_A-4214311",0,0,0,1.1682,0,0,-0.5488,-1.4839,0.7509,-0.9401,1.1831
"SNP_A-2220728",0,0,0,1.337,0,0,-0.5316,-1.4262,0.6801,-0.9662,1.1501
"SNP_A-8443455",0,0,0,1.1615,0,0,-0.5593,-1.4353,0.7413,-0.9676,1.1702
"SNP_A-1953919",0,-1.041,0,0,0,0,-0.4783,-1.5287,0.7082,-1.03,1.1067
"SNP_A-4220960",0,-1.0391,0,0,0,0,-0.5856,-1.529,0.7166,-0.982,1.1834
"SNP_A-8511914",0,0,0,0,0,-1.125,-0.4935,-1.4985,0.6486,-1.0201,1.0217
"SNP_A-1925290",0,0,0,0,0,1.059,-0.5405,-1.4363,0.7582,-0.968,1.2659
"SNP_A-2295300",0,0,0,0,0,1.0666,-0.5451,-1.3998,0.6092,-0.9786,1.2108
"SNP_A-2230966",0,1.1712,0,0,0,0,-0.5376,-1.4831,0.6216,-1.0227,1.2067
