"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-2232899",-0.0303,0,0,0,0,0,-0.0741,-0.0274,-0.0133,0.0103,-0.0064
"SNP_A-1875487",0.0055,0,0,0,0,0,-0.0206,-0.159,-0.0501,-0.1101,-0.0116
"SNP_A-4297014",0.0231,0,0,0,0,0,0.1764,-0.1964,0.0121,-0.0347,0.0702
"SNP_A-4247893",-0.1777,0,0,0,0,0,-0.1073,-0.0601,-0.0753,-0.1119,0.0973
"SNP_A-1900537",-0.1144,0,0,0,0,0,-0.0522,-0.0308,-0.0314,-0.0463,-0.0851
"SNP_A-2090742",0.0081,0,0,0,0,0,-0.0084,-0.1783,0.1201,-0.142,-0.1458
"SNP_A-2026527",-0.093,0,0,0,0,0,0.0309,0.0306,-0.0361,-0.0953,-0.0027
"SNP_A-4252275",-0.1352,0,0,0,0,0,0.0101,-0.017,-0.0245,-0.1653,-0.0183
"SNP_A-4268688",0.0036,0,0,0,0,0,0.0439,-0.0272,-0.1414,-0.1272,0.0702
"SNP_A-2053089",0.0236,0,0,0,0,0,-0.01,-0.1087,0.0444,-0.1594,-0.0752
"SNP_A-1902044",-0.0673,0,0,0,0,0,0.0655,-0.0968,0.0462,-0.0525,-0.0332
"SNP_A-1791661",0.0134,0,0,0,0,0,0.0095,-0.0737,0.0228,-0.0741,-0.0292
"SNP_A-1843936",-0.1849,0,0,0,0,0,0.0471,-0.17,-0.0769,-0.1697,0.0263
"SNP_A-8320909",-0.0279,0,0,0,0,0,0.0074,-0.1683,-0.0039,-0.0917,-0.0747
"SNP_A-4206842",-0.0848,0,0,0,0,0,-0.0786,-0.0185,-0.0077,-0.0029,-0.0813
"SNP_A-1846882",0.0759,0,0,0,0,0,0.0075,0.0168,0.0276,-0.1303,-0.1624
"SNP_A-1866545",0.0526,0,0,0,0,0,-0.0297,-0.1652,0.0401,-0.1334,0.0207
"SNP_A-1889185",0.1888,0,0,0,0,0,0.0097,-0.0491,0.0765,-0.0852,0.0652
"SNP_A-8694418",0.0679,0,0,0,0,0,-0.0479,-0.0875,0.0427,-0.1661,0.0846
"SNP_A-8557413",0.0099,0,0,0,0,0,-0.0171,-0.1068,0.0745,-0.0634,-0.0357
"SNP_A-2002314",0.0751,0,0,0,0,0,0.0972,-0.0234,-0.0235,-0.1016,-0.0579
"SNP_A-2220538",-0.0207,0,0,0,0,0,-0.0022,-0.0878,0.078,-0.0606,-0.0467
"SNP_A-4283257",0.0877,0,0,0,0,0,-0.034,0.0449,0.0376,-0.0735,0.0169
"SNP_A-8568636",-0.0135,0,0,0,0,0,-0.1025,-0.0083,-0.0143,-0.2556,-0.0796
"SNP_A-2252463",0.0536,0,0,0,0,0,0.0456,-0.0812,-0.0791,-0.1364,-0.0366
"SNP_A-2199508",0.0414,0,0,0,0,0,-0.0356,0.0797,0.0346,-0.0896,-0.0198
"SNP_A-2206805",1e-04,0,0,0,0,0,-0.0952,-0.0435,-0.0303,-0.1185,-0.151
"SNP_A-2274527",-0.0355,0,0,0,0,0,0.0249,-0.0639,-0.0808,-0.1329,0.0394
"SNP_A-1830359",0.0412,0,0,0,0,0,0.0389,-0.0655,-0.0146,-0.0632,-0.0358
"SNP_A-8610095",0.0805,0,0,0,0,0,-0.0576,-0.1399,-0.0081,-0.1158,0.0549
"SNP_A-1858387",0.0415,0,0,0,0,0,-0.0353,-0.1255,-0.0592,-0.1984,-0.0126
"SNP_A-2237545",0.0744,0,0,0,0,0,-0.1161,-0.0107,-0.0206,-0.074,-0.0481
"SNP_A-8290997",-0.0306,0,0,0,0,0,-0.0387,-0.0281,-0.0325,-0.0557,-0.1214
"SNP_A-8291317",-0.1286,0,0,0,0,0,0.0078,-0.0736,-0.0324,-0.0722,0.0142
"SNP_A-2002897",0.0515,0,0,0,0,0,0.0268,-0.0553,-0.0011,-0.0459,-0.0675
"SNP_A-8426611",-0.0352,0,0,0,0,0,-0.0757,-0.0939,-0.026,-0.03,0.0251
"SNP_A-4246142",0.0507,0,0,0,0,0,0.01,-0.0445,0.0081,-0.0419,-0.0112
"SNP_A-8457241",-0.0397,0,0,0,0,0,-0.0237,-0.0303,0.0381,-0.173,-0.0412
"SNP_A-2182602",0.0056,0,0,0,0,0,0.0088,-0.0566,0.0767,-0.1063,-0.0047
"SNP_A-8363238",0.0013,0,0,0,0,0,-0.0028,-0.1475,-0.0354,-0.1297,0.0239
"SNP_A-8296071",-0.0151,0,0,0,0,0,-0.0204,-0.1012,0.0886,-0.1169,-0.0116
"SNP_A-8380454",0.014,0,0,0,0,0,0.0254,4e-04,-0.032,-0.0297,0.004
"SNP_A-2086022",0.0105,0,0,0,0,0,-0.005,-0.2027,0.0851,-0.1592,-0.1039
"SNP_A-8290166",-0.0153,0,0,0,0,0,0.0807,-0.1043,-0.0532,-0.0672,-0.032
"SNP_A-4214057",-0.0277,0,0,0,0,0,0.0919,0.0451,0.0722,-0.1601,-0.0447
"SNP_A-2177605",0.0952,0,0,0,0,0,-0.0032,-0.0446,-0.0266,-0.234,-0.047
"SNP_A-8616766",-0.0711,0,0,0,0,0,-0.058,-0.0047,-0.0496,-0.0477,-0.0594
"SNP_A-2259649",0.0041,0,0,0,0,0,-0.0496,-0.1077,-0.0499,-0.1047,-0.0393
"SNP_A-4240086",-0.0179,0,0,0,0,0,0.0895,-0.0645,0.0014,-0.0867,-0.0064
"SNP_A-8343986",0.007,0,0,0,0,0,-0.0891,-0.0479,-0.0497,-0.1223,-0.0547
"SNP_A-8626610",-0.0519,0,0,0,0,0,0.0659,-0.1037,0.0694,-0.0084,0.0359
"SNP_A-2135181",0.0608,0,0,0,0,0,0.0139,-0.1324,0.0761,-0.1815,0.0286
"SNP_A-8325749",-0.145,0,0,0,0,0,0.0399,-0.0279,0.0269,-0.0553,-0.1185
"SNP_A-8461177",0.0263,0,0,0,0,0,-0.0592,-0.0836,0.0384,-0.1091,0.0234
"SNP_A-2187795",-0.0438,0,0,0,0,0,0.0833,-0.0922,0.0022,-0.1108,-0.0764
"SNP_A-2164062",-0.0411,0,0,0,0,0,-0.0575,-0.1038,-0.0501,-0.0571,-0.0016
"SNP_A-8330821",-0.011,0,0,0,0,0,-0.0481,-0.1497,0.1007,-0.1118,0.0322
"SNP_A-2122521",0.0022,0,0,0,0,0,-0.017,-0.0555,-0.024,-0.1086,0.0562
"SNP_A-8681760",7e-04,0,0,0,0,0,-0.0805,-0.1575,0.0713,-0.0738,0.0186
"SNP_A-1786335",-0.0391,0,0,0,0,0,-0.0374,-0.1089,-0.0052,-0.1157,-0.0217
"SNP_A-2131341",0.0279,0,0,0,0,0,-0.0855,-0.0427,0.0938,-0.0982,0.0749
"SNP_A-2159215",-0.0835,0,0,0,0,0,0.0514,-0.1175,0.2312,-0.0976,0.0472
"SNP_A-8448178",0.0462,0,0,0,0,0,-0.0174,-0.0905,-0.1151,-0.0909,0.0684
"SNP_A-2081949",-0.0522,0,0,0,0,0,-0.0819,-0.1921,-0.0043,-0.0283,-0.0278
"SNP_A-4230412",-0.0584,0,0,0,0,0,-0.0791,-0.0281,0.009,-0.0802,-0.1171
"SNP_A-4268689",-0.0372,0,0,0,0,0,0.0243,-0.0771,-0.0039,-0.0287,-0.06
"SNP_A-1930417",-0.0367,0,0,0,0,0,-0.0549,-0.2063,0.0343,-0.1429,0.0173
"SNP_A-2288926",0.0601,0,0,0,0,0,-0.0072,-0.025,0.0093,-0.125,0.0337
"SNP_A-2114396",0.0373,0,0,0,0,0,-0.0478,-0.1496,-0.0646,-0.0956,-0.0806
"SNP_A-2196769",-0.0272,0,0,0,0,0,0.138,-0.0747,-0.0088,-0.0485,-0.1076
"SNP_A-8296146",0.0726,0,0,0,0,0,0.1004,-0.1262,-0.0152,-0.1496,-0.0659
"SNP_A-2040588",0.0673,0,0,0,0,0,-0.0605,-6e-04,0.007,-0.1321,-0.0026
"SNP_A-8706190",-0.0273,0,0,0,0,0,0.0984,-0.0219,0.0355,-0.0042,0.04
"SNP_A-8354781",0.0639,0,0,0,0,0,0.0105,-0.0695,-0.0358,-0.044,-0.0151
"SNP_A-8289605",-0.0383,0,0,0,0,0,-0.1523,-0.0426,-0.0665,-0.0399,0.0055
"SNP_A-4254062",0.0206,0,0,0,0,0,-3e-04,-0.0507,0.1429,-0.0864,-0.0398
"SNP_A-8437938",-0.038,0,0,0,0,0,0.0602,-0.0598,-0.0028,-0.1359,-0.0133
"SNP_A-2098432",0.0181,0,0,0,0,0,0.0034,0.0045,0.0142,-0.1805,0.0753
"SNP_A-1936457",0.0254,0,0,0,0,0,0.0501,-0.185,0.0605,-0.0451,0.0148
"SNP_A-1943004",-0.0672,0,0,0,0,0,0.1327,-0.1369,0.0571,-0.0692,-0.0071
"SNP_A-8305662",-0.0714,0,0,0,0,0,-0.0471,-0.108,-0.0015,-0.0163,0.002
"SNP_A-8479119",0.0657,0,0,0,0,0,0.0615,-0.0038,0.0267,-0.1799,-0.0095
"SNP_A-2127444",-0.0019,0,0,0,0,0,-0.0314,-0.0428,0.048,-0.0426,-0.0736
"SNP_A-2001420",-0.0375,0,0,0,0,0,-0.0226,-0.1026,-0.0362,-0.1072,-0.0441
"SNP_A-2274507",-8e-04,0,0,0,0,0,0.057,-0.0951,-0.013,-0.0722,0.0608
"SNP_A-2074480",0.056,0,0,0,0,0,-0.0351,-0.0843,0.0576,-0.0567,-0.0028
