"","main","age","act","trans","chol","age","act","trans","chol"
"SNP_A-1782534",0.3443,0,0,0,0,-0.0992,-0.5994,0.2855,0.4671
"SNP_A-1893255",0.3481,0,0,0,0,-0.09,-0.6039,0.2717,0.4703
"SNP_A-8495427",0.345,0,0,0,0,-0.095,-0.5783,0.2962,0.4726
"SNP_A-2232303",0.3449,0,0,0,0,-0.1046,-0.5962,0.2831,0.4631
"SNP_A-8430223",-0.294,0,0,0,0,-0.0822,-0.6062,0.2934,0.4711
"SNP_A-4214159",-0.3616,0,0,0,0,-0.0989,-0.6069,0.2755,0.4647
"SNP_A-2126950",-0.3197,0,0,0,0,-0.0935,-0.5987,0.2895,0.4501
"SNP_A-2286174",0.2875,0,0,0,0,-0.1016,-0.5735,0.2822,0.4563
"SNP_A-2144966",0.3279,0,0,0,0,-0.1174,-0.6313,0.2801,0.4716
"SNP_A-1835290",0.3344,0,0,0,0,-0.0921,-0.6018,0.2917,0.4725
"SNP_A-2248669",0.3416,0,0,0,0,-0.1051,-0.6013,0.2901,0.4708
"SNP_A-2138143",0.4049,0,0,0,0,-0.0875,-0.6229,0.2864,0.4665
"SNP_A-2169089",0.3545,0,0,0,0,-0.1055,-0.6007,0.2927,0.4887
"SNP_A-4198648",0.4017,0,0,0,0,-0.0876,-0.6242,0.2765,0.4937
"SNP_A-8533795",0.313,0,0,0,0,-0.1002,-0.5939,0.2769,0.4447
"SNP_A-8317836",0.3084,0,0,0,0,-0.0964,-0.6091,0.3013,0.4492
"SNP_A-8442249",0.3107,0,0,0,0,-0.1029,-0.607,0.3086,0.4621
"SNP_A-2006263",0.2921,0,0,0,0,-0.0739,-0.5958,0.2816,0.4866
"SNP_A-1947803",-0.2486,0,0,0,0,-0.1079,-0.5884,0.2813,0.4777
"SNP_A-1913446",0.2889,0,0,0,0,-0.0883,-0.5815,0.286,0.4772
"SNP_A-4228748",-0.3004,0,0,0,0,-0.0995,-0.5892,0.3077,0.4613
"SNP_A-2288616",-0.2962,0,0,0,0,-0.0873,-0.5955,0.2974,0.4745
"SNP_A-2269121",-0.2978,0,0,0,0,-0.1206,-0.5864,0.2842,0.4726
"SNP_A-8582241",0.3421,0,0,0,0,-0.0934,-0.601,0.2795,0.4621
"SNP_A-8426007",0.3256,0,0,0,0,-0.116,-0.5876,0.2954,0.4732
"SNP_A-8298781",0.2853,0,0,0,0,-0.1028,-0.6046,0.2803,0.4757
"SNP_A-8635082",0.2986,0,0,0,0,-0.0882,-0.5906,0.284,0.4718
"SNP_A-2044928",0.3644,0,0,0,0,-0.0975,-0.6087,0.3039,0.4555
"SNP_A-1787956",-0.381,0,0,0,0,-0.1121,-0.6059,0.2906,0.4885
"SNP_A-2207359",-0.345,0,0,0,0,-0.092,-0.5978,0.301,0.477
"SNP_A-8452712",-0.3732,0,0,0,0,-0.1049,-0.6139,0.2663,0.4861
"SNP_A-4278894",-0.2953,0,0,0,0,-0.078,-0.6206,0.2724,0.4576
"SNP_A-4227688",-0.32,0,0,0,0,-0.0836,-0.6059,0.2761,0.4503
