"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-1913446",-0.0246,0,0,0,0,0,-0.0577,-0.0172,0.0154,0.0102,-0.0397
"SNP_A-1782534",-0.039,0,0,0,0,0,0.0032,0.0157,0.0295,-0.0614,-0.0104
"SNP_A-1893255",7e-04,0,0,0,0,0,-0.0022,-0.0103,-0.0083,-0.0293,-0.0166
"SNP_A-8495427",0.025,0,0,0,0,0,-0.0462,0.0211,-0.0579,-0.0299,-0.0179
"SNP_A-2232303",-0.031,0,0,0,0,0,0.0374,-0.0666,-0.0093,-0.0394,0.0027
"SNP_A-4239029",-0.086,0,0,0,0,0,0.0299,0.0434,0.0403,0.0331,-0.017
"SNP_A-2138143",-0.0136,0,0,0,0,0,0.0146,-0.03,0.0141,-0.0185,-0.0133
"SNP_A-1897987",-0.017,0,0,0,0,0,-0.0652,0.0011,0.0157,-0.056,-0.002
"SNP_A-4289050",0.011,0,0,0,0,0,-0.0183,0.0701,0.0473,-0.0165,0.0095
"SNP_A-1840405",0.0219,0,0,0,0,0,0.0642,-0.0176,-0.0344,-0.0342,-0.0039
"SNP_A-2006261",0.0058,0,0,0,0,0,-0.0215,0.0212,-0.0059,0.0112,-0.0308
"SNP_A-2006263",-0.0524,0,0,0,0,0,0.0404,-0.023,-0.0058,-0.0188,0.001
"SNP_A-2261260",0.0383,0,0,0,0,0,-0.0628,-0.0034,-2e-04,-0.0111,-0.0565
"SNP_A-8698030",-0.0269,0,0,0,0,0,-0.0016,0.0014,0.0147,0.0305,-0.0248
"SNP_A-8438173",-0.0123,0,0,0,0,0,0.026,0.0283,-0.0077,-0.0374,0.0014
"SNP_A-2269121",-0.0349,0,0,0,0,0,0.0108,-0.0396,-0.0213,-0.0512,-0.0054
"SNP_A-2002196",0.0268,0,0,0,0,0,0.0355,0.0093,-0.0039,0.0227,0.0493
"SNP_A-4268375",0.0275,0,0,0,0,0,-0.0295,-0.0234,0.0013,-0.0079,0.0586
"SNP_A-1822309",-0.069,0,0,0,0,0,-0.0127,0.009,0.0223,-0.0202,-0.0326
"SNP_A-1885821",-0.0253,0,0,0,0,0,-0.003,-0.0145,0.0188,0.0155,0.0303
"SNP_A-8595034",-0.0229,0,0,0,0,0,-0.0116,0.0163,-0.0269,-0.0272,-0.0264
"SNP_A-4228411",0.0031,0,0,0,0,0,0.0216,0.0234,0.0072,-0.0042,-0.007
"SNP_A-2029301",0.0071,0,0,0,0,0,0.0197,0.0379,0.0257,-0.0164,-0.0469
"SNP_A-2002789",-0.0167,0,0,0,0,0,0.0129,-0.011,0.0269,-0.0497,-0.0234
"SNP_A-8634382",-0.0206,0,0,0,0,0,0.0364,0.0043,-0.0315,-0.0558,-0.0051
"SNP_A-8291658",0.0269,0,0,0,0,0,0.029,0.0167,-0.0025,-0.0143,-0.0173
"SNP_A-2196369",0.0212,0,0,0,0,0,0.0109,0.0309,0.036,0.0015,0.0187
"SNP_A-2200689",-0.0276,0,0,0,0,0,-0.0143,-0.031,-0.0238,-0.0015,-0.0347
"SNP_A-8472446",-0.0442,0,0,0,0,0,-0.0193,0.0082,0.0205,0.0112,-0.0328
"SNP_A-8692453",-0.0216,0,0,0,0,0,-0.0405,0.0204,0.0299,-0.0418,0.0131
"SNP_A-8535128",-0.0067,0,0,0,0,0,-0.0101,-0.0391,0.0265,0.0231,0.0144
"SNP_A-2036813",-0.0012,0,0,0,0,0,0.0068,-0.0645,3e-04,-0.0332,-0.0164
"SNP_A-2290658",-0.0211,0,0,0,0,0,0.0432,-0.0194,0.0069,-0.0083,-0.0306
"SNP_A-8557619",-0.0231,0,0,0,0,0,0.0361,-0.0206,-0.0033,-0.0555,-0.0071
"SNP_A-1917308",0.0069,0,0,0,0,0,0.0591,0.0219,0.0793,0.0107,0.0056
"SNP_A-1918155",0.0185,0,0,0,0,0,-0.0048,-0.0088,-0.0316,-0.0106,-0.0523
"SNP_A-8703035",0.0444,0,0,0,0,0,0.0452,-0.0573,0.0117,-0.038,0.0021
"SNP_A-2245382",-0.0224,0,0,0,0,0,0.0156,-0.0541,-0.0393,0.0129,0.0237
"SNP_A-1934867",0.0445,0,0,0,0,0,0.0234,-0.0546,0.0381,0.03,-0.0227
"SNP_A-1813352",-0.0146,0,0,0,0,0,0.041,-0.043,-0.0059,0.0182,0.0443
"SNP_A-2098582",-0.0064,0,0,0,0,0,0.0365,0.0217,0.0036,0.0053,-0.0295
"SNP_A-8607834",0.0201,0,0,0,0,0,-0.0221,0.0298,0.0091,7e-04,-0.0497
"SNP_A-4288519",0.003,0,0,0,0,0,-0.0113,-0.0625,-0.0276,-0.0464,0.0629
"SNP_A-2262957",-0.0124,0,0,0,0,0,-0.0146,-0.0324,-0.059,-0.0525,-0.0135
"SNP_A-4198648",0.0087,0,0,0,0,0,0.0519,0.0114,-0.0097,-0.0405,-0.0444
"SNP_A-2063976",0.056,0,0,0,0,0,0.0091,-0.0221,0.0268,0.0244,-0.0179
"SNP_A-8528625",-0.018,0,0,0,0,0,-0.0027,-0.048,0.0189,0.0146,5e-04
"SNP_A-8696151",-0.0024,0,0,0,0,0,-0.0534,-0.0138,0.0802,-0.0297,0.0182
