"","gene_name","rsID","main","age","act","trans","ceraf","chol","age.1","act.1","trans.1","ceraf.1","chol.1"
"1","KIAA1217","rs7077294",0,0,0,0,0,-0.001,0.039,-0.0227,-0.0168,-0.0508,0.0011
"2","THNSL1","rs12773782",0,0,0,0,0,0.0112,-0.0127,-0.0049,0.0441,-0.0056,0.0335
"3","RP11-170M17.1","rs7093682",0,0,0,-0.0675,0,0,-0.0025,-0.0319,0.0698,-0.0027,-0.0343
"4","RP11-170M17.1","rs10822246",0,0,0,3e-04,0,0,-0.0059,0.0285,-0.0566,-0.0212,0.023
"5","IL2RA","rs2104286",0,0,0,0,0,-0.0332,0.0374,0.0369,-0.0492,-0.1196,0.0903
"6","RP11-170M17.1","rs1916408",0,0,0,0.0019,0,0,0.0357,0.0354,-0.0098,0.0333,-0.0034
"7","KRT8P37","rs2646392",0.0231,0,0,0,0,0,-0.0256,0.0389,-0.0033,-0.0072,0.074
"8","RP11-170M17.1","rs7904629",0,0,0,-0.0393,0,0,-9e-04,-0.0056,-0.0269,-0.0089,-0.024
"9","RP11-170M17.1","rs1916458",0,0,0,-0.0027,0,0,-0.0351,0.0067,0.0207,0.0171,0.0426
"10","RP11-526P5.2","rs1537615",-0.0051,0,0,0,0,0,0.0454,0.0216,-0.0133,-0.0692,0.0134
"11","KRT8P37","rs2765398",0.009,0,0,0,0,0,-0.0653,-0.021,-8e-04,0.0156,-0.0138
"12","RP11-170M17.1","rs1916413",0,0,0,0.0289,0,0,-0.0323,0.0794,0.0061,-0.0547,0.0163
"13","CELF2","rs4317891",0,-0.0466,0,0,0,0,-0.0593,0.0434,0.0176,0.0269,-0.0233
"14","LINC00845","rs7922793",-0.0057,0,0,0,0,0,0.0089,-0.0173,-0.0331,-0.0249,-7e-04
"15","RP11-170M17.1","rs1916412",0,0,0,-0.0266,0,0,-0.0237,-0.0397,-0.0021,0.0081,-0.0285
"16","RP11-170M17.1","rs1916411",0,0,0,0.0156,0,0,0.0521,-0.0326,-0.0364,-0.0549,-0.0013
"17","RP11-170M17.1","rs1916409",0,0,0,-0.07,0,0,0.035,0.0659,0.008,-0.0651,-0.0204
"18","RP11-170M17.1","rs1916409",0,0,0,-0.07,0,0,0.035,0.0659,0.008,-0.0651,-0.0204
"19","KRT8P37","rs4747800",-0.0175,0,0,0,0,0,0.0153,0.0093,0.0572,-0.0836,-0.01
"20","CAMK1D","rs11258040",0,0,0,0,-0.012,0,-0.0603,0.0329,0.0682,-0.0318,0.0583
"21","RP11-319F12.2","rs1984275",0,0,0,0,-0.0221,0,-0.0299,-0.0549,0.0092,0.0313,0.0371
"22","RP11-490O24.2","rs224765",0,0.0443,0,0,0,0,-0.0254,-0.0817,-0.0134,-0.0798,-7e-04
"23","RP11-170M17.1","rs10822247",0,0,0,0.0045,0,0,-0.0252,-0.0069,-0.0055,-0.0258,0.0193
"24","KIAA1217","rs6482387",0,0,0,0,0,-0.0338,0.0067,-0.0382,0.0316,-0.0566,-0.0281
"25","ENKUR","rs1492608",0,0,0,0,0,-0.033,-0.068,-0.0739,-0.0494,0.0111,0.0366
"26","RP11-170M17.1","rs1916407",0,0,0,-0.0587,0,0,-0.0712,-0.0413,0.0702,-0.0066,0.0436
"27","RP11-170M17.1","rs1916407",0,0,0,-0.0587,0,0,-0.0712,-0.0413,0.0702,-0.0066,0.0436
"28","KIAA1217","rs7070056",0,0,0,0,0,-0.019,-0.0133,-0.0431,0.0654,0.034,-0.0066
"29","KIAA1217","rs4434904",0,0,0,0,0,-0.0333,-0.043,0.0435,0.0564,-0.0188,0.0265
"30","ANK3","rs10994364",0,-0.0173,0,0,0,0,-0.0488,0.001,-0.0028,-0.0504,-0.015
"31","ARHGAP22","rs10857590",0.0295,0,0,-0.0798,0,0,-0.009,-0.0424,-0.0843,-0.0561,0.0662
"32","RP11-526P5.2","rs1537616",0.0368,0,0,0,0,0,-0.0048,-0.0026,0.0116,-0.0729,-0.021
"33","RP11-271F18.4","rs10905778",0,0,0,0,0,-0.0279,0.0044,-0.0347,0.0178,0.0062,-0.0024
"34","SNRPEP8","rs7093161",0,0.0128,0,0,0,0.0248,-0.0284,0.0371,-0.0472,-0.0657,-0.0016
"35","CHAT","rs2377872",0,0,0,0,0.0042,0,-0.0186,-0.0014,-0.0213,-0.0828,0.0329
"36","RP11-170M17.1","rs1916409",0,0,0,-0.0229,0,0,0.0129,0.0243,-0.0035,0.0152,0.0109
"37","RP11-170M17.1","rs1916409",0,0,0,-0.0229,0,0,0.0129,0.0243,-0.0035,0.0152,0.0109
"38","ANK3","rs10821773",0,-0.0484,0,0,0,0,0.0259,-0.0339,0.0163,0.0585,0.028
"39","CELF2","rs17454012",0,0.025,0,0,0,0,-5e-04,0.0198,-0.0147,-0.0282,-0.0202
"40","RP11-478B11.2","rs4372368",0,0.0356,0,0,0,0,-0.0208,-0.0079,0.1302,-0.0155,-0.0099
"41","RP11-170M17.1","rs1916420",0,0,0,-0.0093,0,0,0.0079,0.0018,0.0478,-0.0691,-0.0146
"42","FRMD4A","rs2446588",0,0.0256,0,0,0,0,0.0511,0.0077,0.0019,0.0207,-0.0514
"43","RP11-170M17.1","rs10995687",0,0,0,0.0107,0,0,-0.0304,-0.0182,-0.0631,-0.0361,0.0343
"44","ZEB1","rs161279",0,0,0,-0.026,0,0,-0.0498,-0.0253,0.0227,-6e-04,-0.0132
"45","RP11-192P3.5","rs161279",0,0,0,-0.026,0,0,-0.0498,-0.0253,0.0227,-6e-04,-0.0132
"46","ZEB1","rs161258",0,0,0,0.0547,0,0,0.0413,5e-04,0.0336,-0.0505,0.0231
"47","ZEB1","rs161275",0,0,0,0.0333,0,0,-0.0251,-0.013,-0.0411,0.0149,0.0046
"48","LINC00837","rs3740000",-0.0035,0,0,0,0,0,0.003,0.0137,-0.0552,-0.064,-0.0641
"49","GPR158","rs1340002",0,0,0,-0.0377,0,0,-3e-04,-0.0072,0.0232,-0.0111,-0.0235
"50","GPR158","rs10508694",0,0,0,0.0385,0,0,0.005,0.0239,0.0169,0,0.0066
"51","CELF2","rs17453876",0,0.0017,0,0,0,0,-0.0182,0.0085,0.0244,-0.0171,-0.0292
"52","NAMPTL","rs3006958",0,0,0,0,0,0.0775,0.0346,0.0038,-0.017,0.03,0.0361
"53","THNSL1","rs902904",0,0,0,0,0,-0.0408,-0.0519,0.0142,0.0023,0.0382,0.047
"54","CAMK1D","rs7921813",0,0.0531,0,0,0,0,-0.0125,-0.0322,0.0096,-0.0167,-0.0036
"55","SNRPEP8","rs10218945",0,0,0,0,0,0.0259,0.0274,0.0023,-0.0542,0.0059,0.0394
"56","RP11-492M23.2","rs558451",0,0,0,0,-0.0146,0,7e-04,-0.0039,0.0807,-0.0506,-0.0584
"57","RP11-563J2.2","rs7913723",0,0,0,0.0534,0,0,-0.0065,-0.079,-0.0266,-0.02,0.0143
"58","RP11-492M23.2","rs2804551",-0.0522,0,0,0,0,0,-0.0397,-0.0432,0.0302,-0.0131,0.0189
"59","CELF2","rs12266433",0,0.086,0,0,0,0,-0.0346,-0.0854,0.0136,-0.0027,-0.0594
"60","RP11-550A9.1","rs4935167",0,0,0,0,0.005,0,0.0303,-0.0314,0.002,-0.0759,0.0121
"61","CELF2","rs4750039",0,3e-04,0,0,0,0,0.0285,-0.0743,0.0189,-0.006,-0.0017
"62","KIAA1217","rs12249964",0,0,0,0,0,-0.0206,-0.0283,0.0056,0.0216,-0.0305,0.0131
"63","RP11-170M17.1","rs4745829",0,0,0,-0.014,0,0,0.0291,-0.0149,8e-04,-0.0282,-0.0186
"64","PRKG1","rs10995831",0,0,0,0,-0.1003,0,-0.0021,0.0177,-0.0183,-0.0703,-0.0068
"65","CAMK1D","rs11257932",0,-0.0046,0,0,0,0,-0.0197,-0.056,-0.0486,0.0012,-0.0508
"66","DIP2C","rs11252791",0.0073,0,0,0,0,0,0.0089,0.0115,-0.0169,-0.0083,0.0341
"67","SNRPEP8","rs11003405",0,0,0,0,0,-0.0368,-0.0265,0.0208,-0.0494,-0.1151,0.0015
