"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-1782534",-0.0582,0,0,0,0,0,-0.0197,0.0136,-0.0483,-0.117,0.0565
"SNP_A-1893255",0.1051,0,0,0,0,0,-0.0329,-0.0344,-0.0394,-0.0684,2e-04
"SNP_A-8495427",0.0353,0,0,0,0,0,-0.0627,-0.0532,-0.0271,-0.0893,-0.1187
"SNP_A-2232303",0.05,0,0,0,0,0,0.0512,-0.0577,-0.039,-0.0635,0.0826
"SNP_A-4278894",0.0466,0,0,0,0,0,-0.0537,-0.0942,-0.0346,-0.1013,-0.067
"SNP_A-8430223",0.0656,0,0,0,0,0,-0.0085,-0.0924,0.0395,-0.077,-0.0217
"SNP_A-4214159",0.051,0,0,0,0,0,-0.0448,-0.0512,0.0563,-0.0612,-0.0477
"SNP_A-2126950",-0.0195,0,0,0,0,0,0.0521,-0.0319,0.0786,-0.0767,0.0184
"SNP_A-2286174",-0.0702,0,0,0,0,0,0.1199,-0.0992,-0.0167,-0.1915,-0.0521
"SNP_A-2144966",-0.0217,0,0,0,0,0,-0.0987,-0.0598,0.0707,-0.0606,-0.0508
"SNP_A-1835290",-0.012,0,0,0,0,0,0.0328,-0.0099,-0.0384,-0.099,-0.013
"SNP_A-2248669",-0.0164,0,0,0,0,0,-0.0081,-0.0798,0.0219,-0.0687,-0.0483
"SNP_A-2138143",-0.051,0,0,0,0,0,-0.0653,-0.0591,0.0458,-0.1297,0.0255
"SNP_A-2169089",-0.0346,0,0,0,0,0,-0.0098,-0.0721,-0.0488,-0.0665,0.0174
"SNP_A-4198648",0.0016,0,0,0,0,0,0.0057,-0.0563,-0.1573,-0.0354,-0.0861
"SNP_A-8533795",0.0973,0,0,0,0,0,-0.0264,-0.0077,0.0817,-0.0962,-0.0108
"SNP_A-8317836",-0.0041,0,0,0,0,0,-0.0391,-0.0812,0.008,-0.0895,-0.0046
"SNP_A-8442249",0.0621,0,0,0,0,0,-0.0381,-0.0675,0.045,-0.0382,-9e-04
"SNP_A-8594969",0.0592,0,0,0,0,0,0.0338,-0.0633,0.0198,-0.1066,-0.0065
"SNP_A-8288876",0.0127,0,0,0,0,0,0.0889,-0.0913,0.0768,-0.0688,-0.043
"SNP_A-1840405",0.0251,0,0,0,0,0,0.003,-0.0426,-0.0608,-0.0361,0.0231
"SNP_A-2006263",-0.0053,0,0,0,0,0,-0.0165,-0.0369,-0.0279,-0.0625,0.0217
