"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-8332071",0,0.3939,0,0,0,-0.2834,-0.1486,-0.7485,0.2779,-0.4096,0.5399
"SNP_A-2063990",0,0,0,0,0,-0.3135,-0.1391,-0.7514,0.2788,-0.3713,0.54
"SNP_A-4222956",0,0,0,0,0,-0.3103,-0.1441,-0.7426,0.2936,-0.4135,0.5658
"SNP_A-2119653",0,0,0,0,0,-0.2947,-0.1442,-0.734,0.2879,-0.3856,0.5634
"SNP_A-1845345",0,0,0,0,0,-0.3385,-0.1529,-0.7445,0.2898,-0.3893,0.5585
"SNP_A-8393049",0,0,0,0,0,-0.3602,-0.143,-0.7624,0.2974,-0.3937,0.5425
"SNP_A-8288274",0,0,0,0,0,-0.3883,-0.1526,-0.7435,0.2923,-0.3856,0.5678
"SNP_A-1888189",0,0,0,0,0,-0.3152,-0.1475,-0.738,0.2953,-0.3797,0.5719
"SNP_A-8361679",-0.3223,0,0,0,0,0,-0.1462,-0.7451,0.2987,-0.3804,0.5547
"SNP_A-2104929",-0.3174,0,0,0,0,0,-0.1464,-0.7598,0.2888,-0.3792,0.568
"SNP_A-2261751",-0.3466,0,0,0,0,0,-0.1581,-0.7541,0.2953,-0.3982,0.5673
"SNP_A-8557955",-0.3283,0,0,0,0,0,-0.14,-0.7563,0.296,-0.3861,0.5591
"SNP_A-2065831",-0.3326,0,0,0,0,0,-0.1481,-0.7525,0.2997,-0.3989,0.5665
"SNP_A-4195921",-0.3464,0,0,0,0,0,-0.1342,-0.758,0.2963,-0.3909,0.5476
"SNP_A-2294660",0,0,0,0,0,0.3031,-0.1629,-0.7359,0.2624,-0.3886,0.5756
"SNP_A-8367452",0,0,0,0,0,0.3715,-0.1362,-0.7315,0.3006,-0.3762,0.5622
"SNP_A-8292919",0,0,0,0.3132,0,0,-0.1282,-0.7235,0.3051,-0.3887,0.5566
"SNP_A-4196202",0,0,0,0.3495,0,0,-0.1416,-0.7418,0.3144,-0.3779,0.5757
"SNP_A-2097058",0,0,0,0,0,0.3237,-0.1286,-0.7399,0.2821,-0.4,0.5458
"SNP_A-8290458",0,-0.3223,0,0,0,0,-0.148,-0.7344,0.263,-0.3968,0.5521
"SNP_A-8290460",-0.3029,0,0,0,0,0,-0.1568,-0.7415,0.283,-0.3894,0.5788
"SNP_A-4268631",0,-0.3199,0,0,0,0,-0.1536,-0.7388,0.2763,-0.3716,0.5613
"SNP_A-2004173",0,-0.31,0,0,0,0,-0.1469,-0.735,0.2846,-0.4095,0.5616
"SNP_A-1871973",0,0.3419,0,0,0,0,-0.1556,-0.7306,0.2805,-0.3888,0.5706
"SNP_A-1815878",0,-0.3587,0,0,0,0,-0.1525,-0.726,0.2941,-0.4015,0.5597
"SNP_A-4268666",0,0.3142,0,0,0,0,-0.142,-0.7281,0.2769,-0.3776,0.553
"SNP_A-8711582",0,0.3856,0,0,0,0,-0.1478,-0.7478,0.2894,-0.3851,0.571
"SNP_A-8655239",0,0.3412,0,0,0,0,-0.1375,-0.7525,0.2678,-0.3773,0.5665
"SNP_A-2277059",0,0.3536,0,0,0,0,-0.168,-0.7201,0.2659,-0.4004,0.5743
"SNP_A-4218879",0,0.3275,0,0,0,0,-0.133,-0.7343,0.2897,-0.4154,0.5615
"SNP_A-4289744",0,0.3383,0,0,0,0,-0.1341,-0.7215,0.277,-0.3944,0.5641
"SNP_A-2288770",0,0.3599,0,0,0,0,-0.1393,-0.7437,0.2755,-0.3935,0.5701
"SNP_A-2091685",0,0.3617,0,0,0,0,-0.1371,-0.741,0.2807,-0.3831,0.5655
"SNP_A-8317238",0,0.3146,0,0,0,0,-0.1357,-0.7389,0.2608,-0.4019,0.5661
"SNP_A-2004244",0,0,0,0,0,0.3073,-0.1586,-0.7241,0.2865,-0.3925,0.5728
"SNP_A-2236279",0,0,0,0,0,0.3023,-0.1558,-0.7419,0.2775,-0.395,0.5709
"SNP_A-2081172",0,0,0.3253,0,0,0,-0.1426,-0.7249,0.2909,-0.4036,0.5558
"SNP_A-4247893",0.3381,0,0,0,0,0,-0.1391,-0.7453,0.2942,-0.3767,0.577
"SNP_A-1900537",0.318,0,0,0,0,0,-0.1489,-0.7396,0.2746,-0.3814,0.5556
"SNP_A-2090742",0.3175,0,0,0,0,0,-0.1447,-0.7411,0.2752,-0.3934,0.5639
"SNP_A-2026527",0.3297,0,0,0,0,0,-0.1425,-0.7365,0.2947,-0.3872,0.5641
"SNP_A-4252275",0.3395,0,0,0,0,0,-0.1411,-0.7405,0.2859,-0.3991,0.5491
"SNP_A-4268688",0.3297,0,0,0,0,0,-0.1387,-0.7378,0.2907,-0.3845,0.5649
"SNP_A-2053089",0.3334,0,0,0,0,0,-0.1417,-0.746,0.2855,-0.3834,0.5731
"SNP_A-2038734",0,0,-0.3104,0,0,0,-0.1737,-0.7547,0.2938,-0.3918,0.572
"SNP_A-1948720",0,0,0.3036,0,0,0,-0.142,-0.7448,0.2766,-0.3999,0.5742
"SNP_A-1830949",0,0,0.3049,0,0,0,-0.1467,-0.7396,0.2786,-0.4154,0.5736
"SNP_A-4271540",-0.3181,0,0,0,0,0,-0.1468,-0.7402,0.2913,-0.3899,0.5614
