"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-1913446",0.8992,0,-1.051,0,0,0,-0.5078,-1.5283,0.7146,-1.0173,1.1742
"SNP_A-1782534",1.0099,0,0,0,0,0,-0.5814,-1.4393,0.7272,-0.9732,1.0979
"SNP_A-1893255",0.9663,0,0,0,0,0,-0.5359,-1.4517,0.673,-1.0182,1.0982
"SNP_A-8495427",1.0906,0,0,0,0,1.0692,-0.5605,-1.4103,0.6924,-0.972,1.1046
"SNP_A-2232303",1.0707,0,0,0,0,1.0245,-0.5475,-1.3776,0.6491,-0.9997,1.1144
"SNP_A-4239029",-0.9257,0,0,0,0,0,-0.5713,-1.4726,0.7206,-1.0613,1.2058
"SNP_A-2138143",0.9534,0,0,0,0,0,-0.5866,-1.4574,0.6627,-1.0462,1.1734
"SNP_A-8477094",0.9836,0,0,0,0,0,-0.5112,-1.5253,0.7101,-1.0018,1.1641
"SNP_A-8470118",-0.8641,0,0,0,0,0,-0.5687,-1.4907,0.645,-0.9994,1.2179
"SNP_A-4289050",0.6989,0,0,0,0,0,-0.5656,-1.4253,0.7394,-1.0152,1.1626
"SNP_A-8287124",0,0,0,0,0,1.1382,-0.5266,-1.5004,0.7069,-0.968,1.2508
"SNP_A-2118665",0,0,0,0,1.188,0,-0.5119,-1.401,0.7439,-0.9942,1.1305
"SNP_A-4223585",0,0,0,0,1.2581,1.3927,-0.5211,-1.3973,0.8254,-1.0079,1.4337
"SNP_A-4214483",-0.6992,0,0,0,0,0,-0.5194,-1.3851,0.7019,-0.9986,1.1327
"SNP_A-1840405",0.9933,0,0,0,0,0,-0.5691,-1.4207,0.778,-1.012,1.1649
"SNP_A-2006259",0.7617,0,0,0,0,0,-0.6007,-1.4906,0.6564,-1.0428,1.1833
"SNP_A-2006261",0.7996,0,0,0,0,0,-0.4808,-1.5511,0.6959,-1.0077,1.1874
"SNP_A-2006263",0.7392,0,0,0,0,0,-0.5047,-1.5417,0.6678,-1.0875,1.1891
"SNP_A-2261260",0.8943,0,0,0,0,0,-0.6201,-1.4602,0.7058,-0.9792,1.1398
"SNP_A-8698030",0.9162,0,0,0,0,0,-0.5685,-1.4272,0.7418,-0.9976,1.1591
"SNP_A-8444488",0.6781,0,0,0,0,0,-0.5405,-1.4108,0.6973,-1.037,1.219
"SNP_A-2269121",-0.6986,0,0,0,0,0,-0.5798,-1.4435,0.724,-0.9832,1.1249
"SNP_A-8635082",0.7722,0,0,0,0,0,-0.514,-1.4695,0.7036,-0.9974,1.1805
"SNP_A-8464725",0,0,0,1.0684,0,0,-0.5535,-1.4748,0.6765,-1.0264,1.2291
"SNP_A-2087170",0,0,0,1.0307,0,0,-0.4923,-1.4644,0.6258,-0.9952,1.2527
"SNP_A-8474247",0,0,0,0.9658,0,0,-0.4712,-1.4447,0.6342,-1.0075,1.2458
"SNP_A-2286174",0.8037,0,0,0,0,0,-0.6066,-1.4322,0.6548,-0.9675,1.1612
"SNP_A-1786999",0.8372,0,0,0,0,0,-0.593,-1.4123,0.7181,-1.0352,1.1454
"SNP_A-2002196",0.816,0,0,0,0,0,-0.563,-1.4396,0.6628,-1.0362,1.1477
"SNP_A-4268375",-0.807,0,0,0,0,0,-0.5015,-1.4788,0.671,-1.0393,1.1925
"SNP_A-1822309",-0.8532,0,0,0,0,0,-0.5531,-1.4569,0.724,-1.0959,1.1777
"SNP_A-8509940",0,0,0,0,0,1.023,-0.5388,-1.4748,0.714,-0.9952,1.2216
"SNP_A-1803862",0,0,0,-1.2992,0,0,-0.5702,-1.5143,0.7544,-1.0104,1.1293
"SNP_A-1867506",0,0,0,-1.2609,0,0,-0.5047,-1.4406,0.6713,-0.9317,1.1793
"SNP_A-4300425",0,0,0,-1.1071,0,0,-0.4667,-1.4417,0.7074,-0.9586,1.1772
"SNP_A-4268384",0,0,0,0,0,1.1166,-0.5856,-1.5134,0.6944,-1.0321,1.1482
"SNP_A-8476192",-0.7777,0,0,0,0,0,-0.5548,-1.4557,0.6644,-1.0455,1.1164
"SNP_A-2225099",0.6184,0,0,0,0,0,-0.5446,-1.5165,0.6918,-1.0079,1.1327
"SNP_A-4292221",0.6219,0,0,0,0,0,-0.5288,-1.4725,0.6622,-1.1093,1.1521
"SNP_A-2245719",-0.83,0,0,0,0,0,-0.5979,-1.4271,0.6803,-0.9796,1.2352
