"","main","age","act","trans","chol","age","act","trans","chol"
"SNP_A-1782534",0.3166,-0.2992,-0.3409,0,0,-0.1034,-0.6143,0.2968,0.4665
"SNP_A-1893255",0.3279,-0.2759,-0.3534,0,0,-0.0878,-0.6088,0.2955,0.4453
"SNP_A-8495427",0.3512,-0.3067,-0.3079,0,0.2871,-0.0874,-0.5908,0.3033,0.4662
"SNP_A-2232303",0.3424,-0.2841,-0.292,0,0.2937,-0.0836,-0.6117,0.2684,0.4529
"SNP_A-4214159",-0.3561,0,0,0,0,-0.0903,-0.5901,0.2749,0.4674
"SNP_A-1835290",0.3579,0,0,0,-0.379,-0.0983,-0.5995,0.3004,0.4845
"SNP_A-2248669",0.3598,0,0,0,-0.3762,-0.0926,-0.6076,0.3219,0.4726
"SNP_A-2138143",0.3806,0,0,0,-0.3777,-0.0767,-0.5969,0.2959,0.4724
"SNP_A-2169089",0.341,0,0,0,-0.3758,-0.094,-0.5808,0.3029,0.4581
"SNP_A-4198648",0.4106,-0.3327,0,0,0,-0.0774,-0.5727,0.2832,0.4843
"SNP_A-8517479",0,0,0,0.331,0.3698,-0.0607,-0.5809,0.2747,0.4496
"SNP_A-8444488",0,0,-0.3855,0,0,-0.0843,-0.6486,0.3068,0.4687
"SNP_A-1913446",0,0,-0.4063,0,0,-0.0981,-0.6515,0.2792,0.4669
"SNP_A-2044928",0.3758,0,0,0,0,-0.1174,-0.6041,0.2877,0.4738
"SNP_A-1787956",-0.3693,0,0,0,0,-0.1053,-0.5864,0.2752,0.487
"SNP_A-8452712",-0.3591,0,0,0,0,-0.096,-0.5825,0.2797,0.4698
"SNP_A-4244990",0,0,0,0.3856,0,-0.0633,-0.5982,0.2764,0.4698
"SNP_A-8464725",0,0,0,0.39,0,-0.0758,-0.5844,0.2755,0.491
"SNP_A-8402027",0,0,0,0.3817,0,-0.0724,-0.6049,0.2682,0.4892
"SNP_A-4268361",0,0,0,0.3632,0,-0.0806,-0.5809,0.2893,0.4902
"SNP_A-1837880",0,0,0,0,-0.3735,-0.0824,-0.5915,0.2901,0.4494
"SNP_A-2067749",0,0,0,0,-0.358,-0.1001,-0.5998,0.2932,0.4414
"SNP_A-8509940",0,0,0,0,0.4048,-0.0869,-0.5824,0.3166,0.4824
"SNP_A-1803862",0,0,0,-0.3945,0,-0.108,-0.6154,0.3103,0.4594
"SNP_A-1867506",0,0,0,-0.3771,0,-0.0835,-0.6026,0.2955,0.4745
"SNP_A-4300425",0,0,0,-0.3483,0,-0.0862,-0.5863,0.2979,0.448
"SNP_A-1865584",0,-0.354,0,0,0,-0.1062,-0.5936,0.2836,0.4948
"SNP_A-8353188",0,0,0,0,-0.3567,-0.1083,-0.5748,0.2915,0.5092
"SNP_A-2040432",0,0,0,0,0.3683,-0.0904,-0.5695,0.2915,0.4846
"SNP_A-4228411",0.3498,0,0,0,0,-0.0731,-0.6036,0.2812,0.4539
