"","gene_name","rsID","main","age","act","trans","ceraf","chol","age.1","act.1","trans.1","ceraf.1","chol.1"
"1","KIAA1217","rs7077294",0,0,0,0,0,-0.0318,-0.0125,-0.0659,0.0225,-0.0545,-0.0084
"2","THNSL1","rs12773782",0,0,0,0,0,-0.0359,7e-04,0.0485,-0.0269,-0.045,0.0191
"3","LINC00707","rs11254803",0,0,-0.015,0,0,0,0.0237,-0.023,0.02,-5e-04,-0.0232
"4","RP11-170M17.1","rs1916408",0,0,0,0.0162,0,0,0.1119,0.0078,0.0061,-0.0156,-0.022
"5","KRT8P37","rs2646392",-0.0781,0,0,0,0,0,7e-04,-0.0085,-0.0341,-9e-04,0.0343
"6","PRKCQ-AS1","rs10904620",0.008,0,0,0,0,0,0.0446,-0.0445,0.0546,-0.0115,-0.0168
"7","RP11-554I8.1","rs11253683",0.0108,0,0,0,0,0,0.0408,0.0198,-0.002,0.008,-0.0406
"8","RP11-170M17.1","rs1916458",0,0,0,0.04,0,0,0.0112,-0.0244,0.0123,0.0114,0.0069
"9","RP11-526P5.2","rs1537615",0.0318,0,0,0,0,0,-5e-04,-0.0683,-0.0237,-0.0272,-0.0327
"10","KRT8P37","rs2765398",0.0339,0,0,0,0,0,6e-04,-0.0692,0.0622,0.0531,-0.0013
"11","RNU6-1075P","rs2991895",-0.0443,0,0,0,0,0,-0.0241,0.0052,0.013,0.0028,0.0028
"12","MALRD1","rs11009093",-0.0425,0,0,0,0,0,-0.0301,0.0332,0.0289,0.0444,-0.0287
"13","RP11-170M17.1","rs1916413",0,0,0,-0.08,0,0,-0.0179,0.0193,-0.0087,-0.0051,-0.0227
"14","CELF2","rs4317891",0,-0.0028,0,0,0,0,0.002,-0.0239,-0.0269,0.0056,-0.0104
"15","KRT8P37","rs4747800",0.007,0,0,0,0,0,0.0174,0.0239,0.0387,-0.0142,-0.0499
"16","CAMK1D","rs11258040",0,0,0,0,0.0081,0,-0.0037,-0.0428,-0.0027,-0.0632,-0.0091
"17","RP11-319F12.2","rs1984275",0,0,0,0,-0.0522,0,-0.0123,0.0675,-0.0216,-0.0219,-0.0312
"18","FAM107B","rs17256906",-0.0328,0,0,0,0,0,0.0024,-0.0279,-0.0134,-0.0248,-0.0579
"19","RP11-170M17.1","rs10822247",0,0,0,0.0328,0,0,0.0217,-0.0603,0.0056,-0.0276,-0.082
"20","KIAA1217","rs6482387",0,0,0,0,0,-0.0116,-0.0195,-0.0676,0.0285,-0.015,0.0083
"21","KIAA1217","rs11014072",0,0,0,0,0,-0.0099,-0.0327,-0.0033,0.0074,-0.0344,0.0596
"22","ENKUR","rs1492608",0,0,0,0,0,-0.0132,-0.0729,-0.0767,0.0386,-0.0878,-0.0644
"23","KIAA1217","rs7070056",0,0,0,0,0,0.0156,4e-04,-0.0341,0.0442,-0.0106,-0.0631
"24","KIAA1217","rs4434904",0,0,0,0,0,0.0301,-0.0535,-0.0335,-0.0261,-0.0289,0.0858
"25","ANK3","rs10994364",0,-0.0139,0,0,0,0,-0.0342,-0.0569,0.0168,-0.0139,-0.045
"26","RP11-428L9.2","rs1001019",0,0,0,0,0,-0.061,-0.0196,-0.0169,0.0489,0.04,0.0066
"27","RP11-478B11.2","rs11005091",0.0112,0,0,0,0,0,0.0014,-0.0442,1e-04,-0.0226,-0.0355
"28","IL2RA","rs10905656",0.0354,0,0,0,0,0,0.0055,-0.0312,-0.0193,0.0207,-0.0074
"29","IL2RA","rs791587",0.0365,0,0,0,0,0,0.0994,0.0196,0.02,-0.0125,-0.0467
"30","RP11-526P5.2","rs1537616",-0.0265,0,0,0,0,0,-0.0099,-0.0447,-0.048,-0.0015,0.0271
"31","RP11-478B11.2","rs11005102",0.0449,0,0,0,0,0,0.0045,-0.0557,-0.0426,0.0249,-0.005
"32","RP11-271F18.4","rs10905778",0,0,0,0,0,-0.0065,0.0613,-0.0192,-0.0029,-0.0419,-0.0276
"33","DIP2C","rs10904498",0,-0.0415,0,0,0,0,0.0092,-0.0113,-0.0378,-0.0063,-0.0643
"34","FRMD4A","rs873849",-0.0575,0,0,0,0,0,0.0423,0.0051,-0.0057,-0.0119,0.0205
"35","SNRPEP8","rs7093161",0,0,0,0,0,-0.0461,0.0432,0.0348,0.0525,-0.0257,0.0127
"36","RP11-490O24.2","rs161407",0,0.0118,0,0,0,0,0.0132,-0.0151,-0.0554,-0.0098,0.0068
"37","PRKCQ-AS1","rs4748198",-0.0394,0,0,0,0,0,0.0134,-0.0057,0.0129,0.0027,-0.0066
"38","LINC00707","rs11254802",0,0,0.0014,0,0,0,-0.0169,-0.1268,-1e-04,-0.0034,0.0205
"39","DCLRE1CP1","rs41405548",-0.0031,0,0,0,0,0,0.0099,0.0086,-0.0146,-0.0482,-0.0373
"40","RP11-482E14.2","rs17226417",-0.0032,0,0,0,0,0,0.0471,-0.0078,-0.007,0.0279,0.0548
"41","IL2RA","rs4749926",0.0257,0,0,0,0,0.035,0.0133,0.0783,-0.0404,-0.0101,-0.0043
"42","RP11-170M17.1","rs1916409",0,0,0,0.0496,0,0,0.0169,0.0022,-0.0301,-0.0088,-0.0016
"43","RP11-170M17.1","rs1916409",0,0,0,0.0496,0,0,0.0169,0.0022,-0.0301,-0.0088,-0.0016
"44","LINC00709","rs1762777",0.0105,0,0,0,0,0,0.0118,0.0188,-0.0242,-0.0445,0.0443
"45","CELF2","rs17454012",0,0.0107,0,0,0,0,0.03,0.0148,0.0336,0.0209,-0.0326
"46","RP11-478B11.2","rs4372368",0.0072,0,0,0,0,0,-0.0405,-0.0132,-0.0331,-0.0487,-0.0564
"47","IL2RA","rs7072398",0.064,0,0,0,0,0,-0.0454,0.0139,-0.027,-0.0583,0.0471
"48","FRMD4A","rs2446588",0,0.0038,0,0,0,0,0.0132,-0.0124,-0.0298,0.0436,-0.0288
"49","PRKCQ-AS1","rs10904615",-0.0155,0,0,0,0,0,0.0146,-0.0278,-0.005,0.0106,0.0144
"50","LINC00837","rs3740000",0.0227,0,0,0,0,0,-0.0644,0.0564,-0.025,0.0032,0.0151
"51","RP11-170M17.1","rs1916407",0,0,0,0.0126,0,0,-0.0163,-0.0109,0.0023,-0.0084,0.0464
"52","RP11-170M17.1","rs1916407",0,0,0,0.0126,0,0,-0.0163,-0.0109,0.0023,-0.0084,0.0464
"53","CELF2","rs17453876",0,-0.0078,0,0,0,0,0.0444,-0.0013,-0.007,-0.0179,0.0094
"54","FRMD4A","rs998150",0.0099,0,0,0,0,0,-0.0407,-0.0018,0.0982,-0.0369,-8e-04
"55","Y_RNA","rs1418916",0,0,0,0,0.0524,0,-0.037,0.0051,-0.0417,-0.0236,-0.0552
"56","THNSL1","rs902904",0,0,0,0,0,-0.0546,0.0235,-0.0219,-0.0177,-0.0156,0.0381
"57","CAMK1D","rs7921813",0,-0.0083,0,0,0,0,-0.0519,-0.045,0.0779,0.0106,0.0537
"58","SNRPEP8","rs10218945",0,0,0,0,0,-0.0494,0.0098,0.0122,0.0173,0.0114,-0.0434
"59","RP11-492M23.2","rs558451",0,0,0,0,0.0486,0,-0.0306,0.016,-0.0329,-0.0381,0.0255
"60","RP11-563J2.2","rs7913723",0,0,0,-0.0538,0,0,0.0153,0.0164,0.0551,-0.0285,0.0243
"61","RP11-492M23.2","rs2804551",0.0164,0,0,0,0,0,-0.0084,-0.0549,-0.0265,-0.0262,-0.0104
"62","GAPDHP45","rs7099479",-0.0478,0,0,0,0,0,0.0265,-0.0558,0.0605,-0.0416,-0.0286
"63","CELF2","rs4750039",0,0.0975,0,0,0,0,0.0031,0.0134,0.0924,0.0065,0.0062
"64","RP11-170M17.1","rs4745829",0,0,0,0.0393,0,0,0.0142,0.055,-0.004,-0.0226,-0.0331
"65","PRKG1","rs10995831",0,0,0,0,-0.0269,0,-0.0037,0.0389,-0.0208,-0.0963,-0.0257
"66","CAMK1D","rs11257932",0,-0.004,0,0,0,0,-0.0583,-0.1344,0.0523,-0.0311,-0.0401
"67","DIP2C","rs11252791",-0.0222,0,0,0,0,0,-0.007,-0.0727,-0.0141,0.0151,-0.048
"68","RP11-526P5.2","rs7081466",0,0,0,0,0,-0.0045,-0.0056,-0.0089,-0.0388,-0.0163,-0.0239
"69","THNSL1","rs12256642",0,0,0,0,0,-0.039,-0.0446,-0.0736,0.0431,-0.0335,0.0136
"70","SNRPEP8","rs950898",0,0,0,0,0,-0.0528,-0.0323,0.0204,-0.0153,-0.0135,0.0103
"71","RP11-492M23.2","rs2796304",0,0.0104,0,0,0,0,0.023,-0.0496,0.0024,0.0242,0.0426
"72","FAM107B","rs4748109",-0.0688,0,0,0,0,0,-0.0377,0.0153,-0.0364,-0.0368,-0.0079
"73","FRMD4A","rs4750521",-0.0052,0,0,0,0,0,-0.0135,-0.0098,0.061,0.0038,-0.0236
"74","UBE2V2P1","rs10826899",0,0,0,0,0.0227,0,-0.0119,-0.0655,0.0194,-0.0154,-0.0063
"75","UBE2V2P1","rs11592473",0,0,0,0,-0.0187,0,0.0606,0.0264,0.0709,-0.0303,0.0351
"76","FRMD4A","rs11259126",-0.0146,0,0,0,0,0,-0.011,-0.0352,0.0208,-0.0213,-0.0045
"77","OR13A1","rs12764778",0,-0.028,0,0,0,0,-0.0254,0.0032,0.0121,-0.0278,-0.0688
"78","MIR3924","rs1011763",0,0,0,0,0.0432,0,-5e-04,-0.007,0.0113,-0.0718,-0.0151
"79","CALML3","rs9423658",-0.0037,0,0,0,0,0,0.0223,-0.0329,-0.0046,-0.0061,0.0383
"80","DCLRE1CP1","rs6602809",0.0645,0,0,0,0,0,0.009,-0.0145,-0.0443,-0.0373,0.0597
"81","FRMD4A","rs4750524",0.0492,0,0,0,0,0,0.0349,-0.056,-0.0037,0.0239,0.0138
"82","RP11-575N15.1","rs2025758",0,0.0046,0,0,0,0,-0.0093,-0.0145,-0.0222,-0.0111,0.0033
"83","THNSL1","rs923757",0,0,0,0,0,-0.0033,-0.0371,-0.0526,-0.0065,-0.0113,0.0112
"84","RP11-799O21.2","rs2804143",0.02,0,0,0,0,0,-0.0075,-0.0042,0.067,-0.0476,0.0213
"85","ACBD7","rs6602806",-0.0093,0,0,0,0,0,-0.0192,0.0497,0.0078,0.0162,-0.0057
"86","DCLRE1CP1","rs6602806",-0.0093,0,0,0,0,0,-0.0192,0.0497,0.0078,0.0162,-0.0057
"87","RP11-455B2.9","rs3935268",0,0.0189,0,0,0,0,0.0055,-0.052,0.0119,-0.1014,0.0142
"88","CACNB2","rs7083373",0.0413,0,0,0,0,0,-0.0277,0.0067,-0.035,0.0253,-0.068
"89","RP11-490O24.2","rs224699",0,0.044,0,0,0,0,-0.0478,-0.0317,0.0094,-0.0789,0.0456
