"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-1913446",0,0,-0.3845,0,0,0,-0.0502,-0.6304,0.2327,-0.4271,0.4511
"SNP_A-1782534",0.3366,0,-0.3538,0,0,0,-0.0769,-0.6283,0.2538,-0.4063,0.4563
"SNP_A-1893255",0.3524,0,-0.3735,0,0,0,-0.0642,-0.6085,0.2374,-0.4019,0.4569
"SNP_A-8495427",0.3407,0,-0.3181,0,0,0,-0.0605,-0.6041,0.2026,-0.4079,0.4573
"SNP_A-2232303",0.3419,0,-0.321,0,0,0,-0.0582,-0.5846,0.2445,-0.4062,0.4416
"SNP_A-1835290",0.3599,0,0,0,0,-0.3564,-0.0447,-0.5723,0.245,-0.3859,0.479
"SNP_A-2248669",0.3421,0,0,0,0,-0.3516,-0.0615,-0.5653,0.2543,-0.4073,0.469
"SNP_A-2138143",0.3877,0,0,0,0,-0.3546,-0.05,-0.5723,0.2314,-0.4086,0.4881
"SNP_A-2169089",0.3436,0,0,0,0,-0.348,-0.0544,-0.5737,0.2398,-0.4092,0.462
"SNP_A-4198648",0.3711,-0.3203,0,0,0,0,-0.0528,-0.5622,0.2335,-0.3902,0.4725
"SNP_A-8517479",0,0,0,0.305,0,0.3746,-0.022,-0.5401,0.2408,-0.4169,0.4376
"SNP_A-1840405",0.3526,0,0,0,0,0,-0.0745,-0.5585,0.2582,-0.4233,0.4872
"SNP_A-8444488",0,0,-0.3654,0,0,0,-0.0526,-0.6047,0.2316,-0.4211,0.448
"SNP_A-8438173",0,0.3617,0,0,0,0,-0.0476,-0.565,0.2599,-0.4092,0.4995
"SNP_A-2044928",0.3533,0,0,0,0,0,-0.0438,-0.6076,0.2318,-0.4143,0.4455
"SNP_A-1787956",-0.3486,0,0,0,0,0,-0.0663,-0.5597,0.2468,-0.406,0.4578
"SNP_A-8452712",-0.3508,0,0,0,0,0,-0.0629,-0.5584,0.233,-0.4097,0.4689
"SNP_A-4244990",0,0,0,0.3717,0,0,-0.0293,-0.5785,0.2172,-0.422,0.4867
"SNP_A-8464725",0,0,0,0.3873,0,0,-0.0429,-0.5906,0.2359,-0.4105,0.4905
"SNP_A-8402027",0,0,0,0.3859,0,0,-0.0298,-0.5858,0.2476,-0.4136,0.4912
