"","main","age","act","trans","chol","age","act","trans","chol"
"SNP_A-1782534",-0.0681,0,0,0,0,-0.0229,-0.0714,-0.0527,0.0333
"SNP_A-1893255",-0.0168,0,0,0,0,-0.0083,-0.0542,-2e-04,0.0667
"SNP_A-8495427",0.0648,0,0,0,0,0.0728,-0.1383,-0.0279,0.0702
"SNP_A-2232303",0.1012,0,0,0,0,0.014,-0.1273,0.0785,-0.0107
"SNP_A-8430223",-0.0757,0,0,0,0,0.0098,-0.0462,0.0508,0.005
"SNP_A-4214159",0.0621,0,0,0,0,0.0874,-0.0954,0.0115,-0.0072
"SNP_A-2126950",0.0361,0,0,0,0,0.1029,-0.1703,0.0065,-0.1079
"SNP_A-2286174",0.0261,0,0,0,0,-0.0368,-0.0254,-0.0139,-0.0377
"SNP_A-2144966",-0.0058,0,0,0,0,0.0689,-0.1033,0.0409,-0.129
"SNP_A-1835290",0.0263,0,0,0,0,-0.01,0.039,0.0931,-0.0607
"SNP_A-2248669",-0.0236,0,0,0,0,-0.0555,-0.1377,0.0245,-0.0408
"SNP_A-2138143",-0.0214,0,0,0,0,0.0443,0.0084,-0.0346,0.0346
"SNP_A-2169089",-0.091,0,0,0,0,-0.015,-0.2042,-0.0223,-0.0219
"SNP_A-4198648",0.0086,0,0,0,0,-0.005,-0.0301,-0.0191,-0.0137
"SNP_A-8533795",-0.136,0,0,0,0,0.0862,-0.0421,0.0619,-0.1237
"SNP_A-8317836",0.0912,0,0,0,0,-0.0561,-0.1041,-0.0294,-0.055
"SNP_A-8442249",0.0214,0,0,0,0,-0.0022,0.0058,0.0163,-0.0346
"SNP_A-2006263",0.0632,0,0,0,0,0.0473,-0.0442,-0.0665,-0.0609
"SNP_A-1913446",-0.0696,0,0,0,0,-0.0587,-0.1212,0.0838,-0.0273
"SNP_A-4214153",-0.0336,0,0,0,0,0.0221,-0.0496,-0.0671,-0.0362
"SNP_A-4228748",0.0143,0,0,0,0,-5e-04,-0.1609,-0.03,-0.0921
"SNP_A-2288616",-0.0306,0,0,0,0,-0.0769,-0.1234,0.059,-0.0075
"SNP_A-2269121",0.0191,0,0,0,0,0.043,-0.0029,0.0209,0.0131
"SNP_A-8582241",-0.0014,0,0,0,0,0.024,-0.0662,-0.0483,0.051
"SNP_A-8426007",-0.0258,0,0,0,0,0.019,-0.0541,0.0218,-0.0597
