"","gene_name","rsID","main","age","act","trans","ceraf","chol","age.1","act.1","trans.1","ceraf.1","chol.1"
"1","RP11-526P5.2","rs7922626",0.2385,0,0,0,0,0,-0.1647,-0.7229,0.2852,-0.3964,0.5672
"2","RP11-554I8.1","rs10795329",0.2086,0,0,0,0,0,-0.1393,-0.748,0.2838,-0.3935,0.5389
"3","RP11-526P5.2","rs11599371",0.2562,0,0,0,0,0,-0.1491,-0.7308,0.2776,-0.4014,0.5443
"4","RP11-478B11.2","rs11005073",0.2317,0,0,0,0,0,-0.1663,-0.7372,0.2936,-0.3814,0.5645
"5","KRT8P37","rs2646392",0.2605,0,0,0,0,0,-0.1407,-0.7352,0.2784,-0.3999,0.5497
"6","RP11-478B11.2","rs11005085",0.2402,0,0,0,0,0,-0.1377,-0.7331,0.2899,-0.3839,0.5521
"7","PRKG1","rs10824034",0.2494,0,0,0,0,0,-0.1449,-0.7368,0.2672,-0.3919,0.5763
"8","FRMD4A","rs1993742",0.2515,0,0,0,0,0,-0.1348,-0.7333,0.2887,-0.3915,0.5441
"9","PFKFB3","rs7916509",-0.2261,0,0,0,0,0,-0.1455,-0.7351,0.289,-0.4007,0.5528
"10","PRKCQ-AS1","rs10904620",0.2612,0,0,0,0,0,-0.1345,-0.7267,0.2852,-0.3842,0.5633
"11","RP11-554I8.1","rs11253683",0.2458,0,0,0,0,0,-0.1327,-0.7442,0.2938,-0.4137,0.5561
"12","RP11-526P5.2","rs11593350",0.2629,0,0,0,0,0,-0.1588,-0.7439,0.2774,-0.3946,0.5709
"13","LINC00709","rs10905538",-0.2452,0,0,0,0,0,-0.1486,-0.7257,0.2822,-0.4013,0.5537
"14","CAMK1D","rs4750216",-0.2393,0,0,0,0,0,-0.1281,-0.7324,0.2805,-0.4028,0.5492
"15","RP11-526P5.2","rs1537615",0.3945,0,0,0,0,0,-0.1636,-0.7191,0.2765,-0.39,0.5474
"16","KRT8P37","rs2765398",0.2546,0,0,0,0,0,-0.148,-0.7437,0.2692,-0.3933,0.5548
"17","FRMD4A","rs11258614",-0.2233,0,0,0,0,0,-0.145,-0.7567,0.2854,-0.3883,0.5608
"18","KRT8P37","rs4747800",0.2709,0,0,0,0,0,-0.1358,-0.7336,0.2701,-0.4046,0.5352
"19","RP11-526P5.2","rs7093433",0.2473,0,0,0,0,0,-0.1504,-0.7393,0.2959,-0.3925,0.5566
"20","RP11-490E15.2","rs7077209",-0.2293,0,0,0,0,0,-0.1488,-0.7428,0.3082,-0.3892,0.5529
"21","DIP2C","rs7077209",-0.2293,0,0,0,0,0,-0.1488,-0.7428,0.3082,-0.3892,0.5529
"22","LINC00709","rs4749847",-0.2324,0,0,0,0,0,-0.1611,-0.7515,0.2909,-0.4024,0.5533
"23","FRMD4A","rs10796113",-0.2519,0,0,0,0,0,-0.1506,-0.736,0.2739,-0.3919,0.562
"24","RP11-554I8.1","rs7904217",-0.2589,0,0,0,0,0,-0.1361,-0.7293,0.2761,-0.3813,0.5331
"25","RP11-478B11.2","rs11005091",0.2705,0,0,0,0,0,-0.1511,-0.7396,0.2709,-0.4013,0.5502
"26","KIAA1217","rs10828584",0.2568,0,0,0,0,0,-0.134,-0.7449,0.2621,-0.3979,0.5458
"27","DIP2C","rs816620",-0.2256,0,0,0,0,0,-0.1532,-0.7319,0.286,-0.3812,0.5501
"28","RP11-554I8.1","rs11253854",0.2454,0,0,0,0,0,-0.1496,-0.7208,0.2931,-0.3958,0.5674
"29","RP11-526P5.2","rs1537616",0.3921,0,0,0,0,0,-0.1674,-0.7147,0.2837,-0.3987,0.5598
"30","RP11-478B11.2","rs11005102",0.2433,0,0,0,0,0,-0.1395,-0.7423,0.2829,-0.3878,0.5615
"31","FRMD4A","rs873849",-0.2287,0,0,0,0,0,-0.1334,-0.7251,0.2877,-0.3801,0.5628
"32","SNRPEP8","rs7093161",0,0.3035,0,0,0,0,-0.139,-0.7396,0.295,-0.3909,0.5616
"33","PRKCQ-AS1","rs4748198",0.2606,0,0,0,0,0,-0.1415,-0.7274,0.2765,-0.394,0.5562
"34","RP11-482E14.2","rs17226417",0.2723,0,0,0,0,0,-0.1447,-0.7432,0.2936,-0.3946,0.5487
"35","ITIH5","rs11255282",-0.2355,0,0,0,0,0,-0.138,-0.7441,0.2795,-0.3844,0.5504
"36","RP11-526P5.2","rs7922357",0.2518,0,0,0,0,0,-0.1385,-0.7358,0.2971,-0.3908,0.5521
"37","LINC00709","rs9804388",-0.2463,0,0,0,0,0,-0.1574,-0.7396,0.2929,-0.3929,0.5617
"38","RP11-478B11.2","rs4372368",0.2324,0,0,0,0,0,-0.1555,-0.7328,0.272,-0.395,0.559
"39","FRMD4A","rs942935",0.2516,0,0,0,0,0,-0.1384,-0.737,0.2879,-0.3935,0.555
"40","FRMD4A","rs2446588",0,0.3496,0,0,0,0,-0.1605,-0.7312,0.3023,-0.3648,0.5349
"41","ADARB2","rs1995852",0.242,0,0,0,0,0,-0.1645,-0.7286,0.2794,-0.396,0.5591
"42","PRKCQ","rs7083579",0.2434,0,0,0,0,0,-0.1498,-0.7306,0.2934,-0.3957,0.5675
"43","RP11-271F18.4","rs11256617",0.2275,0,0,0,0,0,-0.164,-0.7476,0.2734,-0.3835,0.5471
"44","PRKCQ-AS1","rs10904615",0.2666,0,0,0,0,0,-0.1326,-0.74,0.2768,-0.3991,0.5574
"45","RP11-526P5.2","rs17158961",0.2514,0,0,0,0,0,-0.1583,-0.7446,0.2727,-0.3979,0.5568
"46","RP11-799O21.2","rs946788",0.2562,0,0,0,0,0,-0.1452,-0.7349,0.292,-0.3862,0.559
"47","RP11-271F18.4","rs1324312",0.2361,0,0,0,0,0,-0.152,-0.7285,0.2909,-0.3624,0.5701
"48","FRMD4A","rs3902965",-0.2598,0,0,0,0,0,-0.1354,-0.7329,0.3023,-0.3941,0.5745
"49","RP11-554I8.1","rs7895632",-0.2201,0,0,0,0,0,-0.142,-0.7395,0.282,-0.394,0.5523
"50","DIP2C","rs3922851",0.2629,0,0,0,0,0,-0.1403,-0.7329,0.2673,-0.4011,0.5555
"51","DIP2C","rs4554800",-0.2265,0,0,0,0,0,-0.1713,-0.729,0.2875,-0.3783,0.5643
"52","RP11-271F18.4","rs1408383",0.2427,0,0,0,0,0,-0.1443,-0.7397,0.2733,-0.3786,0.5454
"53","LINC00700","rs12415732",-0.221,0,0,0,0,0,-0.1525,-0.7387,0.2865,-0.3906,0.5565
"54","CAMK1D","rs7921813",0,0.3441,0,0,0,0,-0.1463,-0.7667,0.2857,-0.4075,0.5576
"55","FRMD4A","rs7918657",0.2331,0,0,0,0,0,-0.1377,-0.7458,0.2759,-0.404,0.5506
"56","AKR1C7P","rs2011131",0.2322,0,0,0,0,0,-0.1414,-0.7317,0.3033,-0.3684,0.5613
"57","PRTFDC1","rs4748991",-0.3275,0,0,0,0,0,-0.1689,-0.7469,0.2828,-0.3913,0.5523
"58","FRMD4A","rs7911501",0.2226,0,0,0,0,0,-0.15,-0.7663,0.2689,-0.3931,0.5563
"59","CELF2","rs201113",0,0,0,0,0,-0.3038,-0.1485,-0.7384,0.2904,-0.3897,0.5747
"60","SVIL","rs4572039",-0.2397,0,0,0,0,0,-0.1423,-0.7384,0.2855,-0.3883,0.5457
"61","DIP2C","rs11252791",-0.2594,0,0,0,0,0,-0.1558,-0.7441,0.2836,-0.3857,0.5502
"62","FAM171A1","rs11597589",0,0,-0.3706,0,0,0,-0.1528,-0.7235,0.2941,-0.3885,0.5589
"63","FRMD4A","rs17543787",-0.2528,0,0,0,0,0,-0.1266,-0.7458,0.2623,-0.4013,0.5465
"64","DIP2C","rs7096559",-0.223,0,0,0,0,0,-0.153,-0.7367,0.2831,-0.3891,0.5465
"65","FAM171A1","rs11599813",0,0,-0.3378,0,0,0,-0.1437,-0.7724,0.3058,-0.3972,0.5633
"66","FAM171A1","rs11597485",0,0,-0.3564,0,0,0,-0.1416,-0.7576,0.2871,-0.4097,0.5437
"67","CAMK1D","rs11257933",0,0.3885,0,0,0,0,-0.1273,-0.7409,0.2764,-0.3978,0.5563
"68","LINC00709","rs827914",-0.2585,0,0,0,0,0,-0.1456,-0.742,0.2956,-0.3919,0.5579
"69","RP11-271F18.4","rs10905727",0.2384,0,0,0,0,0,-0.1589,-0.7429,0.2689,-0.3959,0.5593
"70","FRMD4A","rs4750521",-0.2252,0,0,0,0,0,-0.1441,-0.7378,0.2873,-0.3923,0.5681
"71","CALML3","rs11253243",-0.2381,0,0,0,0,0,-0.1435,-0.7445,0.298,-0.3995,0.5479
"72","UBE2V2P1","rs10826899",0,0,0,0,-0.3526,0,-0.1601,-0.7261,0.2676,-0.3902,0.5535
"73","FRMD4A","rs11259126",-0.2533,0,0,0,0,0,-0.1537,-0.7265,0.2917,-0.3949,0.5463
"74","ZMYND11","rs11251372",-0.2581,0,0,0,0,0,-0.1447,-0.7643,0.2971,-0.3915,0.5792
"75","KIAA1462","rs11007904",0,0,0,0.3368,0,0,-0.1284,-0.7473,0.2895,-0.3893,0.5536
