"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-8332071",0,0.0295,0,0,0,0,-0.0178,0.0466,0.0461,-0.0834,-0.0518
"SNP_A-8590831",-0.0741,0,0,0,0,0,0.0294,-0.0387,0.0146,-0.0174,-0.0694
"SNP_A-8287358",-0.1671,0,0,0,0,0,-0.0242,-0.1781,0.0021,-0.0608,0.0522
"SNP_A-2067803",-0.0264,0,0,0,0,0,0.0251,-0.1003,-0.0188,-0.0702,-0.0352
"SNP_A-8425207",0.021,0,0,0,0,0,-0.0039,-0.0488,0.0119,-0.0497,-0.0141
"SNP_A-8393049",0.0061,0,0,0,0,0,0.0017,-0.0695,-0.1891,-0.1076,0.046
"SNP_A-8288274",0,0,0,0,0,-0.0183,-0.0112,0.0126,0.0575,-0.1714,-0.0642
"SNP_A-1888189",-0.05,0,0,0,0,0,0.062,-0.0747,0.0625,-0.1499,-0.0319
"SNP_A-1907823",0,0,0,0,0,0.0031,0.0097,-0.152,0.0473,-0.0674,-0.0525
"SNP_A-8433975",0,0,0,0,0,0.0374,0.0594,-0.0643,-0.1217,-0.0866,0.0035
"SNP_A-2002361",0,0,0,0,0,-0.0187,0.025,-0.065,-0.0041,-0.0471,0.0436
"SNP_A-8469169",-0.0921,0,0,0,0,0,0.0068,-0.13,-0.0633,-0.0232,0.0541
"SNP_A-8398543",0,0.031,0,0,0,0,-0.0901,-0.1437,0.0472,-0.0791,0.1034
"SNP_A-2254426",-0.0072,0,0,0,0,0,-0.0619,-0.0605,-0.1766,-0.1345,-0.0638
"SNP_A-2183474",0.0453,0,0,0,0,0,-0.013,-0.0996,-0.1308,-0.0758,4e-04
"SNP_A-8296170",0,0,0,0,-0.0617,0,-0.0448,-0.1345,-0.0176,-0.1586,0.1151
"SNP_A-2167849",0,0,0,-0.0016,0,0,-0.0111,-0.0668,0.0148,-0.0722,-0.0331
"SNP_A-8635062",-0.0998,0,0,0,0,0,-0.0435,-0.122,-0.0306,-0.1069,-0.0268
"SNP_A-4268414",0,0.0187,0,0,0,0,0.0303,0.005,-0.0603,-0.1646,0.0423
"SNP_A-2002540",0,0.0524,0,0,0,0,-0.0025,-0.0657,-0.0345,-0.1315,-0.059
"SNP_A-2261751",0.0015,0,0,0,0,0,0.1723,-0.1085,0.0241,-0.0908,-0.04
"SNP_A-4195921",-0.0409,0,0,0,0,0,-0.1413,-0.1759,-0.1407,-0.0228,-0.0151
"SNP_A-2136502",0,-5e-04,0,0,0,0,0.0061,-0.0043,-0.0179,-0.0491,-0.0096
