"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-1782534",0,0,-0.0289,0,0,0,-0.0368,-0.0581,0.0277,-0.05,0.0149
"SNP_A-1893255",0,-0.0101,-0.0387,0,0,0,0.0599,-0.1212,-0.0543,-0.0746,-0.023
"SNP_A-8495427",-0.0254,0.0012,-0.0537,0,0,-0.0105,-0.0049,-0.0516,0.0459,-0.0639,-0.0394
"SNP_A-2232303",-0.0453,-0.0045,-0.0659,0,0,-0.0228,-6e-04,-0.0149,0.0103,-0.0319,-0.035
"SNP_A-2169089",0,0,0,0,0,-0.0646,-0.0038,-0.0631,-0.0057,-0.0708,-0.02
"SNP_A-4198648",-0.0221,0,0,0,0,0,0.0059,-0.0379,0.0313,-0.108,0.0344
"SNP_A-8533795",-0.0834,-0.0287,0,0,0,0,-0.0508,-0.0339,-0.0085,-0.142,0.0073
"SNP_A-8317836",-0.0253,-0.0871,0,0,0,0,-0.0387,-0.0496,0.0106,-0.1582,0.0163
"SNP_A-8442249",0,-0.0537,0,0,0,0,0.047,-0.0934,0.0478,-0.1113,-0.0972
"SNP_A-8517479",0,0,0,0,0,-0.0516,-0.0526,-0.0451,-0.0088,-0.0551,0.0203
"SNP_A-1840405",-0.0034,0,0,0,0,0,0.0114,-0.047,-0.0272,-0.0702,-0.0387
"SNP_A-2006263",-0.0427,0,0,0,0,0,0.0546,-0.1646,-0.0741,-0.0667,0.0733
"SNP_A-2044928",0.0212,0,0,0,0,0,-0.0524,-0.038,0.0069,-0.1561,0.1045
"SNP_A-4217878",0,0,0,-0.0144,0,0,-0.0028,-0.0297,7e-04,-0.0346,0.0434
"SNP_A-2264419",0,0,0,0.0391,0,0,0.0305,-0.094,0.0174,-0.0824,-0.0355
"SNP_A-4268361",0,0,0,-0.0226,0,0,0.0099,-0.0394,0.0089,-0.0645,0.0081
"SNP_A-8355130",0,0,0,-0.034,0,0,-0.0083,-0.0052,-0.0037,-0.0692,-0.0807
"SNP_A-2049291",0,-0.0034,0,0,0,0,0.0105,-0.0319,-0.0417,-0.1307,-0.0026
"SNP_A-8600782",0,-0.0211,0,0,0,0,-0.0521,-0.0474,0.0688,-0.1077,0.0797
"SNP_A-2040432",0,0,0,0,0,-0.0298,0.0092,-0.033,0.0112,-0.1073,-0.0925
"SNP_A-1940486",0,0,0,0,0,0.0243,-0.0533,-0.0768,0.0538,-0.0359,0.0118
"SNP_A-4228411",-0.0544,0,0,0,0,0,-0.0502,-0.1453,0.0055,-0.1237,-0.0459
"SNP_A-2029301",0.0025,0,0,0,0,0,0.0055,-0.0068,-0.0494,-0.1314,0.0456
