"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-8495427",-0.0395,0,0,0,0,-0.0495,-0.0115,-0.0187,0.0097,0.0179,-0.0167
"SNP_A-2232303",-0.0521,0,0,0,0,0.0174,0.0274,0.0122,0.0048,-0.0433,-0.0048
"SNP_A-4239029",-0.0271,0,0,-0.0515,0,0,0.024,-0.0324,-0.0028,-0.0268,0.0456
"SNP_A-8302758",0,0,-0.0034,0,0,0,0.045,0.0283,0.0035,-0.0272,-0.0146
"SNP_A-8593727",0,0,0.0153,0,0,0,3e-04,-0.0185,0.0161,0.0049,-0.0042
"SNP_A-8447004",0,0,0,-0.0185,0,0,0.0381,-0.0093,0.0037,0.01,0.006
"SNP_A-8287124",0,0,0,0,0,-0.0347,0.0197,0.0497,0.0101,-0.0014,-0.0088
"SNP_A-2118665",0,0,0,0,0,-0.0391,-0.0027,0.0608,0.0222,-0.0059,-0.0063
"SNP_A-4223585",0,0,0,0,0,-0.0188,-0.0367,-0.0309,-0.035,-0.0282,-0.0299
"SNP_A-8517479",0,0,0,0,0,0.014,-0.0035,-0.0488,0.0066,-0.0583,0.036
"SNP_A-1840405",0.0243,0,0,0,0,0,-0.0149,0.0227,0.0186,-0.0034,0.0142
"SNP_A-4244990",0,0,0,-0.0187,0,0,0.0278,-0.0287,-0.0195,0.0171,0.0157
"SNP_A-8464725",0,0,0,-0.0039,0,0,-1e-04,-0.0295,-0.0233,0.015,0.0094
"SNP_A-2264419",0,0,0,-0.0195,0,0,0.0171,-0.0056,-0.0135,-0.0411,0.0054
"SNP_A-8317562",0,-0.0048,0,0,0,0,-0.026,5e-04,0.0356,-0.0363,0.0277
"SNP_A-8647874",0,-0.0504,0,0,0,0,-0.0348,0.0451,-0.0082,-0.0383,0.0499
"SNP_A-1865584",0,0.0141,0,0,0,0,-0.0545,0.003,-0.0161,-0.0991,0.0548
"SNP_A-8632364",0,0,0,-0.0135,0,0,-0.0615,0.0022,-0.0125,-0.0093,-0.0111
"SNP_A-2040432",0,0,0,0,0,0.0109,0.0397,0.0099,-0.0459,0.0059,0.0112
"SNP_A-8634382",-0.0187,0,0,0,0,0,-0.0212,0.0226,-0.0012,-0.017,-0.0113
"SNP_A-2107194",0,0,0,0,0,-0.0109,0.0044,-0.0039,0.0311,-0.0077,0.0263
"SNP_A-2166554",0,0,0,0,0,-0.0736,0.0206,0.0087,0.0287,-0.077,-0.0319
"SNP_A-8605363",0,0,0,0,0,-0.01,-0.0508,0.0269,-0.0253,-0.0232,0.0021
"SNP_A-8430353",0,0,0,0,0,-0.0026,-0.0064,-0.0294,-0.0251,0.0379,-5e-04
"SNP_A-8615733",0,0,0,0,0,-0.0246,0.0485,-0.0054,0.0205,-0.0381,-0.0051
"SNP_A-8483152",0,0,0,0,0,0.0111,-0.0141,-0.0252,0.0074,-0.0361,0.0357
"SNP_A-8607804",0,0,0,0,0,0,0.0096,-0.0621,-0.0254,-0.0661,0.0435
"SNP_A-2115001",0,0,0.0274,0,0,0,-0.0208,-0.0395,0.0288,-0.0365,-0.0089
"SNP_A-1782245",0,0,0,0,0,-0.0311,-0.0181,0.0064,0.0038,-0.0078,-0.0274
"SNP_A-2051603",0,0,0,0,0,-0.0205,1e-04,-0.0305,0.02,0.0034,-0.0103
"SNP_A-1887413",0,0.0173,0,0,0,0,0.0508,-0.0356,0.0188,0.0123,-0.0066
"SNP_A-1920372",0,0.0092,0,0,0,0,-0.0382,-0.0048,-0.0043,-0.0327,-0.0078
"SNP_A-2296029",0,0,0,0,0,0.0121,-0.0011,0.0108,0.0076,-0.0277,0.0258
"SNP_A-8658993",0,0,0,0,0,0.0035,-0.0166,-0.0058,-0.0057,0.0113,-0.0138
"SNP_A-1797603",0,0,0,0,0,-1e-04,-0.0281,0.036,-0.0135,-0.0221,-0.1154
"SNP_A-1928942",0,0,0,0.015,0,0,0.055,-0.0018,0.0432,0.0071,-0.008
"SNP_A-8585079",0,0,0,0,0,-0.0485,-0.0086,-0.003,-0.0044,0.0275,-0.0029
"SNP_A-1866849",0,0,0,0,0,0.0104,-0.0041,-0.0102,-0.0231,0.0253,-0.0073
"SNP_A-2231329",0,0,0,0,0,-0.021,-0.039,-0.0028,0.0206,-0.0389,0.018
"SNP_A-8591270",0,0,0,0,0,-0.0097,-0.0461,0.0298,0.0199,-0.0401,-9e-04
"SNP_A-4214311",0,0,0,0.0308,0,0,0.0027,-0.026,-0.0065,-0.116,-0.0203
"SNP_A-2220728",0,0,0,-0.0107,0,0,0.0443,-0.0242,0.0223,-0.0454,0.0107
"SNP_A-8443455",0,0,0,0.0057,0,0,-0.0075,7e-04,-0.0023,-0.0422,0.0179
"SNP_A-8290166",0,0,0,0.0326,0,0,0.0085,-0.0296,0.0368,-0.0391,0.0122
"SNP_A-2287499",0,0,0,-0.002,0,0,-0.0437,-0.0672,0.0347,-0.0739,0.0164
"SNP_A-8363733",0,0,0,0,-0.0606,0,0.0212,0.0215,0.0164,-0.0575,0.0156
"SNP_A-2202089",0,0,0,0,0,0.0205,0.0422,0.017,0.0373,-0.0363,-0.0283
"SNP_A-8426605",0,0,0,0,0,-0.0099,0.0253,0.0102,-0.0206,-0.0216,-0.0128
"SNP_A-1955717",0,0,0,0.0124,0,0,0.0233,0.0171,0.0182,-0.0089,0.0091
"SNP_A-2129764",0,0,0,0,0,0.0068,-0.0085,-0.0338,0.0378,0.0322,-5e-04
"SNP_A-2276033",0,0,0,0,0,-0.0133,-4e-04,-0.045,-0.0168,0.0038,-0.0107
"SNP_A-2055151",0,0,0,0,0,-0.0129,0.0095,-0.0013,0.044,-0.089,-0.04
"SNP_A-2153055",0,0,0,0,0,-0.0386,0.011,-0.0219,-0.0057,-0.0523,0.0096
"SNP_A-8533839",0,0,0,0,0,0.0132,0.0362,-0.0207,0.0534,-0.021,0.0276
"SNP_A-1954687",0.0033,0,0,0,0,0,-0.0114,-0.0168,3e-04,0.003,-0.0134
"SNP_A-8536745",0,0,0,-0.027,0,0,0.0926,-0.023,0.0213,-0.013,-0.0107
"SNP_A-2234958",0,0,0,0.0422,0,0,0.0068,-0.0085,9e-04,-0.0443,0.0012
"SNP_A-8535434",0,0,0,-0.0632,0,0,0.0187,0.0245,0.0495,-0.038,-0.0584
"SNP_A-1937640",0,0,0,0.0347,0,0,0.0183,-0.0076,-0.025,-0.03,-0.0237
"SNP_A-2242918",0,0,0,-0.0852,0,0,0.0313,-0.0107,-0.0156,-0.0019,0.0516
"SNP_A-8369983",0,0,0,0,0,0.0104,-0.0108,-0.0277,-0.0557,-0.0348,-0.0024
"SNP_A-1926786",0,0,0,0,0,-0.0358,-0.0269,-0.0106,0.004,-0.0213,-0.0114
"SNP_A-8364918",-4e-04,0,0,0,0,0,-0.0111,-0.0265,-0.0286,-0.0198,-0.0094
"SNP_A-8695418",0,0,0,0,0,-0.0359,-0.0186,-0.0417,0.0132,0.0126,2e-04
"SNP_A-8582889",0,0,0,0,0,0.024,0.0138,-0.0366,-0.0385,-0.0619,-0.078
"SNP_A-4285453",0,0,0,0,0,-0.0481,0.0107,0.0298,-8e-04,-0.049,0.0041
"SNP_A-8365841",0,0,0,0,0,0.0475,0.0356,0.0041,-0.0156,-0.0599,-0.022
"SNP_A-2141155",0,0,0.0098,0,0,0,-0.0596,-0.0037,0.0265,-4e-04,0.0101
"SNP_A-8635528",0,0,0,0,0,-0.0312,-0.007,-0.0134,0.0275,-0.0254,-0.0656
