"","gene_name","rsID","main","age","act","trans","ceraf","chol","age.1","act.1","trans.1","ceraf.1","chol.1"
"1","WDFY4","rs17011106",-0.0208,0,0,0,0,0,0.0278,-0.1591,0.012,-0.1531,0.0371
"2","WDFY4","rs17011106",-0.0208,0,0,0,0,0,0.0278,-0.1591,0.012,-0.1531,0.0371
"3","KIAA1217","rs7077294",0,0,0,0,0,0.0027,-0.0631,-0.0639,0.058,-0.0934,-0.0877
"4","RP11-170M17.1","rs7093682",0,0,0,-0.0496,0,0,-0.022,-0.0566,0.0797,-0.0879,0.0325
"5","THNSL1","rs4748996",0,0,0,0,0,0.0441,-0.0545,0.0174,0.0385,-0.0405,-0.0938
"6","KRT8P37","rs2646392",-0.0251,0,0,0,0,0,-0.0635,-0.0039,-0.1238,-0.1098,0.0509
"7","RP11-170M17.1","rs7904629",0,0,0,-0.0592,0,0,0.0574,-0.0629,0.0258,-0.106,0.0513
"8","KIAA1217","rs7100325",0,0,0,0,0,-0.0153,0.0253,-0.1877,0.0838,-0.194,-0.0061
"9","RP11-170M17.1","rs1916458",0,0,0,-0.0141,0,0,0.001,-0.0113,-0.1375,-0.1063,0.0511
"10","RP11-526P5.2","rs1537615",-0.0725,0,0,0,0,0,0.1185,-0.0435,0.1219,-0.1048,-0.0988
"11","KRT8P37","rs2765398",-0.0096,0,0,0,0,0,0.0649,-0.0512,-0.1683,-0.1157,0.0215
"12","RP11-170M17.1","rs1916413",0,0,0,-0.0223,0,0,-0.0795,-0.0491,-0.0497,-0.1355,0.0384
"13","CELF2","rs4317891",0,0.0273,0,0,0,0,-0.0243,-0.1251,-0.0125,-0.0062,0.0099
"14","LINC00845","rs7922793",0.0465,0,0,0,0,0,-0.0213,-0.0163,0.0062,-0.0336,-0.0333
"15","RP11-170M17.1","rs1916412",0,0,0,-0.0291,0,0,0.0099,-0.0508,0.0795,-0.0652,0.1059
"16","RP11-170M17.1","rs1916411",0,0,0,0.0107,0,0,-0.0361,-0.0522,-0.1053,-0.0836,-0.0655
"17","KRT8P37","rs4747800",-0.0368,0,0,0,0,0,0.0088,-0.0671,0.0126,-0.1194,0.0386
"18","CAMK1D","rs11258040",0,0,0,0,-0.1367,0,-0.0097,-0.0256,-0.0481,-0.1173,0.0164
"19","RP11-319F12.2","rs1984275",0,0,0,0,-0.007,0,-0.0071,-0.0153,-0.0089,-0.1369,0.0563
"20","RP11-490O24.2","rs224765",0,-0.0261,0,0,0,0,-0.0553,-0.1066,-0.0807,-0.0752,-0.1039
"21","RP11-170M17.1","rs10822247",0,0,0,0.0717,0,0,-0.0012,-0.0778,0.0624,-0.0945,-0.0189
"22","KIAA1217","rs6482387",0,0,0,0,0,-0.0308,-3e-04,-0.0626,-0.1173,-0.1465,0.0209
"23","ENKUR","rs1492608",0,0,0,0,0,-0.1477,-0.0726,-0.065,0.0582,-0.1776,-0.09
"24","ECHDC3","rs11257323",0,0,0,0,0,-0.0173,-0.0831,0.0455,-0.0342,-0.1129,0.0531
