"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-8332071",0,0.3479,0,0,0,0,-0.1386,-0.7246,0.2753,-0.4065,0.5619
"SNP_A-2184761",0.2731,0,0,0,0,0,-0.1498,-0.7614,0.2866,-0.3739,0.5525
"SNP_A-8590831",0.241,0,0,0,0,0,-0.1332,-0.7374,0.2924,-0.3876,0.5599
"SNP_A-2067803",-0.2593,0,0,0,0,0,-0.1358,-0.7402,0.2817,-0.3991,0.5527
"SNP_A-8425207",-0.2638,0,0,0,0,0,-0.1576,-0.7467,0.2722,-0.3932,0.561
"SNP_A-8393049",0,0,0,0,0,-0.3445,-0.1583,-0.7383,0.2896,-0.3997,0.5497
"SNP_A-8288274",0,0,0,0,0,-0.4041,-0.1625,-0.7368,0.2783,-0.3879,0.5702
"SNP_A-8469169",0.2324,0,0,0,0,0,-0.1569,-0.7505,0.2749,-0.3765,0.5589
"SNP_A-2254426",0.3044,0,0,0,0,0,-0.1409,-0.7461,0.2874,-0.3843,0.5559
"SNP_A-2183474",0.2996,0,0,0,0,0,-0.1577,-0.732,0.2958,-0.3897,0.55
"SNP_A-8635062",-0.2523,0,0,0,0,0,-0.1424,-0.7433,0.2845,-0.4012,0.5591
"SNP_A-2001257",-0.2437,0,0,0,0,0,-0.1588,-0.7563,0.27,-0.3822,0.5653
"SNP_A-8627045",0.2501,0,0,0,0,0,-0.145,-0.7366,0.2876,-0.3787,0.5726
"SNP_A-8565564",-0.293,0,0,0,0,0,-0.1336,-0.757,0.3056,-0.3912,0.5693
"SNP_A-2045759",-0.3068,0,0,0,0,0,-0.1511,-0.7405,0.2952,-0.3865,0.5672
"SNP_A-2180952",-0.305,0,0,0,0,0,-0.1345,-0.7543,0.288,-0.3831,0.5542
"SNP_A-8361679",-0.3246,0,0,0,0,0,-0.1473,-0.7653,0.2917,-0.3893,0.5568
"SNP_A-2104929",-0.3282,0,0,0,0,0,-0.1379,-0.7569,0.3061,-0.3988,0.5523
"SNP_A-2261751",-0.3643,0,0,0,0,0,-0.1395,-0.751,0.2924,-0.3989,0.5592
"SNP_A-8557955",-0.3181,0,0,0,0,0,-0.1483,-0.7374,0.2919,-0.3902,0.5585
"SNP_A-2065831",-0.3273,0,0,0,0,0,-0.141,-0.7474,0.2835,-0.4044,0.5604
