"","gene_name","rsID","main","age","act","trans","ceraf","chol","age.1","act.1","trans.1","ceraf.1","chol.1"
"1","PRKG1","rs11812909",0,0.2799,0,0,0,0,-0.1463,-0.7555,0.2895,-0.3991,0.5629
"2","RP11-490O24.2","rs161405",0,-0.2868,0,0,0,0,-0.1375,-0.7349,0.2888,-0.3949,0.5484
"3","FAM107B","rs4750551",-0.2959,0,0,0,0,0,-0.1272,-0.7334,0.2783,-0.3874,0.5483
"4","ARL5B","rs7079742",0,0.2966,0,0,0,0,-0.1494,-0.7298,0.2801,-0.3868,0.5354
"5","EGR2","rs4746725",0.3066,0,0,0,0,0,-0.1311,-0.7403,0.2824,-0.4161,0.5493
"6","FAM171A1","rs7087978",0,0,-0.3553,0,0,0,-0.1398,-0.733,0.3188,-0.3935,0.5667
"7","LINC00707","rs10904957",0,0,0,0,0.304,0,-0.1487,-0.7419,0.2839,-0.3719,0.5444
"8","RP11-428L9.2","rs11256115",0,0,0,0,0,0.2987,-0.137,-0.7481,0.2827,-0.4085,0.5463
"9","RP11-170M17.1","rs1916458",0,0,0,-0.3007,0,0,-0.1455,-0.7264,0.3003,-0.3782,0.5389
"10","RP11-526P5.2","rs1537615",0.3956,0,0,0,0,0,-0.1476,-0.7286,0.3012,-0.4092,0.5505
"11","SGMS1","rs2574976",0,0.3009,0,0,0,0,-0.1616,-0.7602,0.2851,-0.3997,0.5576
"12","CELF2","rs4317891",0,-0.299,0,0,0,0,-0.1356,-0.7465,0.2851,-0.3954,0.5577
"13","RP11-733D4.1","rs1771983",0,0,0.3186,0,0,0,-0.15,-0.748,0.2948,-0.3918,0.5577
"14","RP11-319F12.2","rs1984275",0,0,0,0,-0.356,0,-0.1469,-0.7361,0.2692,-0.4116,0.5315
"15","CELF2","rs1547221",0,0,0,0,0,-0.2872,-0.1507,-0.7451,0.2866,-0.3971,0.5481
"16","RP11-490O24.2","rs224765",0,-0.3583,0,0,0,0,-0.1244,-0.741,0.2996,-0.381,0.5597
"17","EGR2","rs10822083",0.3059,0,0,0,0,0,-0.128,-0.7334,0.2682,-0.4095,0.5409
"18","EGR2","rs10740094",0.306,0,0,0,0,0,-0.1531,-0.7507,0.2707,-0.4087,0.5473
"19","RP11-490O24.2","rs12262192",0.2834,0,0,0,0,0,-0.1464,-0.7469,0.2797,-0.4011,0.5539
"20","RP11-428L9.2","rs1001019",0,0,0,0,0,0.3206,-0.1394,-0.7389,0.2776,-0.4018,0.5486
"21","RP11-554I8.2","rs11254499",0,0,0,0,0.3138,0,-0.1634,-0.7475,0.2756,-0.3649,0.5476
"22","FAM107B","rs7922034",-0.3137,0,0,0,0,0,-0.1503,-0.7492,0.291,-0.3772,0.5559
"23","RP11-526P5.2","rs1537616",0.378,0,0,0,0,0,-0.1648,-0.7233,0.2899,-0.4032,0.5608
"24","RP11-478B11.2","rs11005102",0,-0.2998,0,0,0,0,-0.1443,-0.7531,0.2852,-0.4034,0.5377
"25","SNRPEP8","rs7093161",0,0.2959,0,0,0,0,-0.1459,-0.7316,0.2792,-0.4079,0.5492
"26","RP11-490O24.2","rs161407",0,-0.2947,0,0,0,0,-0.1639,-0.7437,0.2965,-0.3898,0.5564
"27","DCLRE1CP1","rs41405548",0.3433,0,0,0,0,0,-0.1446,-0.7236,0.2819,-0.3888,0.5671
"28","RP1-251M9.2","rs201111",0,0,0,0,0,-0.31,-0.1317,-0.7387,0.2833,-0.3783,0.5593
"29","SVIL","rs1247097",0,0,0,-0.3186,0,0,-0.131,-0.7378,0.3112,-0.3984,0.5313
"30","AL512640.1","rs11238956",0.305,0,0,0,0,0,-0.1431,-0.7396,0.2946,-0.3972,0.5681
"31","CELF2","rs17454012",0,-0.3146,0,0,0,0,-0.1282,-0.7457,0.2813,-0.3978,0.5427
"32","ADARB2","rs7898120",0,0,0,0,0,0.2836,-0.1548,-0.7287,0.2901,-0.3845,0.5647
"33","FRMD4A","rs2446588",0,0.3451,0,0,0,0,-0.1541,-0.7331,0.2961,-0.3928,0.5424
"34","RP11-733D4.1","rs2764347",0,0,0.3417,0,0,0,-0.1596,-0.7339,0.2857,-0.3927,0.5494
"35","FAM107B","rs1031666",-0.302,0,0,0,0,0,-0.1427,-0.7559,0.293,-0.3942,0.5663
