"","main","age","act","trans","chol","age","act","trans","chol"
"SNP_A-1782534",0,-0.0074,-0.0594,0,0,-0.0437,-0.1005,0.0268,-0.0059
"SNP_A-1893255",-0.0593,0.0944,-0.0634,0,0,0.0124,-0.0332,0.0446,-0.1109
"SNP_A-8495427",-0.0823,0.0366,0,0,0,0.0101,-0.015,0.0059,-0.0659
"SNP_A-2232303",-0.068,-0.019,-0.0821,0,0,0.0022,-0.1413,-0.057,0.0178
"SNP_A-8430223",0,0,0,0,-0.0349,-0.0858,-0.0155,0.0095,-0.1081
"SNP_A-1835290",0,0,0,0,-0.0813,-0.012,-0.1156,-0.0538,0.0973
"SNP_A-2248669",0,0,0,0,-0.0606,-0.0045,-0.0854,-0.116,-0.0402
"SNP_A-2138143",0,0,0,0,-0.0663,0.0476,-0.1063,-0.0519,-0.1034
"SNP_A-2169089",0,0,0,0,-0.018,-0.0108,-0.0195,0.0858,-0.0716
"SNP_A-4198648",0.0218,0,0,0,0,-0.0439,-0.0643,-0.0758,-0.0759
"SNP_A-8317836",0,0.0541,0,0,0,-0.0198,-0.0873,0.0252,0.0329
"SNP_A-8442249",0.0053,0.0348,0,0,0,0.034,-0.0857,-0.0109,-0.0052
"SNP_A-8517479",0,0,0,0,0.026,-0.0049,-0.0592,-0.0391,0.0324
"SNP_A-1947803",0,0,0,-0.0513,0,-0.0349,-0.0257,0.0187,-0.0505
"SNP_A-2044928",0.0048,0,0,0,0,-0.0494,-0.0592,0.0206,-0.0529
"SNP_A-4278894",0,0,0,0,-0.0305,0.074,-0.0745,-0.0668,0.0128
"SNP_A-2264419",0,0,0,-0.0573,0,0.0852,-0.0284,0.0109,-0.0545
"SNP_A-4268361",0,0,0,-0.0435,0,0.0571,-0.0713,0.0116,-0.0271
"SNP_A-8548458",0,-0.0457,0,0,0,-0.026,-0.0575,0.078,-0.0043
"SNP_A-4214175",0,5e-04,0,0,0,-0.021,-0.084,0.0761,0.0103
"SNP_A-8303773",0,0,0,0.0066,0,0.1003,-0.0751,0.0084,0.0424
"SNP_A-1865584",0,-0.0501,0,0,0,-0.0178,-0.0761,-0.0204,-0.0254
"SNP_A-2049291",0,-0.0107,0,0,0,-0.0351,-0.0127,0.0352,-0.0432
"SNP_A-8600782",0,-0.0607,0,0,0,0.0599,-0.117,0.0095,-0.0032
"SNP_A-4206424",0,0,0,0,-0.0643,-0.1762,-0.0497,-0.0104,-0.0639
"SNP_A-2290449",0,0,0,0,-0.0847,0.0576,-0.0455,0.0307,-0.0752
"SNP_A-8353188",0,0,0,0,-0.0727,-0.0486,-0.0685,0.0129,-0.0789
"SNP_A-4194589",0,0,0,0,-0.0899,-0.0105,-0.0426,0.0058,-0.0471
"SNP_A-1791453",0,0,0,0,-0.0352,-0.0646,-0.0927,0.0572,-0.0098
"SNP_A-2040432",0,0,0,0,-0.0935,-0.0804,-0.102,-0.026,-0.0753
"SNP_A-1940486",0,0,0,0,-0.0446,-0.0259,-0.1295,0.0189,0.0111
"SNP_A-8381513",-0.0344,0,0,0,0,0.0204,-0.0343,0.0038,-0.0404
"SNP_A-4228411",-0.0273,0,0,0,0,0.0653,-0.0013,0.0573,-0.0713
"SNP_A-2029301",-0.0205,0,0,0,0,-0.1129,-0.0764,0.0674,-0.0807
"SNP_A-2002789",-0.0688,0,0,0,0,-0.0094,-0.0346,0.0075,0.0481
"SNP_A-2145917",0,0,0,0,0.0167,0.0401,-0.0731,-0.085,-0.0424
"SNP_A-8430353",0,0,0,0,-0.0087,-0.0327,-0.127,0.0527,-0.0645
"SNP_A-8615733",0,0,0,0,0.0034,0.0676,-0.1129,-0.0656,0.0415
"SNP_A-4228992",0,0,0,0,0.0554,-0.0425,-0.0596,0.0796,-0.0588
"SNP_A-1854908",0,0,0,0,-0.0894,-0.033,0.0389,-0.162,-0.0851
"SNP_A-4268538",0,-0.0502,0,0,0,0.0972,-0.0787,-0.0012,0.0375
"SNP_A-2051603",0,0,0,0,-0.0177,-0.0051,-0.0266,0.0112,0.0041
"SNP_A-1797603",0,0,0,0,-0.0687,-8e-04,-0.0445,-0.1023,-0.0659
"SNP_A-2063976",0.0463,0,0,0,0,0.0444,-0.0049,-0.0208,-0.0764
"SNP_A-1895433",0,0,0,0.0214,0,-0.0197,-0.0586,-0.0433,-0.0938
"SNP_A-2231329",0,0,0,0,-0.124,-0.059,-0.0285,-0.1144,-0.1143
"SNP_A-8591270",0,0,0,0,-0.1335,0.0767,-0.0425,-0.0575,-0.1431
"SNP_A-1897392",0,0,0,0,-0.1026,0.0442,-0.1057,-0.0312,-0.0485
"SNP_A-1796912",0,0,0,0,-0.0915,-0.0959,-0.0764,-0.0548,-0.0366
"SNP_A-8290166",0,0,0,0.0185,0,0.006,-0.0886,0.041,0.0477
"SNP_A-8511914",0,0,0,0,-0.0861,0.0767,-0.079,-0.002,0.0253
"SNP_A-2295300",0,0,0,0,-0.0986,-0.0351,-0.0907,0.0619,-0.0477
"SNP_A-8288875",0.03,0,0,0,0,-0.0054,-0.0624,0.0098,-0.0456
"AFFX-SNP_12676705",0.0073,0,0,0,0,0.0242,-0.0092,0.0569,0.032
"SNP_A-4242351",0,0,0,0,-0.0107,0.0502,0.0019,0.0205,-0.0169
"SNP_A-4252686",0,0,0,0,-0.0552,-0.0527,-0.0734,-0.0324,-0.0655
"SNP_A-1862170",0,0,0,0,-0.0111,-0.0355,-0.0894,0.0246,-0.0121
"SNP_A-4293921",0,0,0,0,0.0117,0.0277,-0.0498,-0.0351,-0.0357
"SNP_A-2253695",0,0,0,0,-0.0629,-0.0399,-0.1455,0.009,-0.0209
"SNP_A-2129764",0,0,0,0,-0.0718,0.0513,-0.0343,-0.0314,-0.0019
"SNP_A-2252316",0,0,0,0,-0.0389,-0.0387,-0.0307,-0.0285,-0.0214
"SNP_A-4229477",0,0,0,0,-0.0608,-0.0069,-0.0409,0.0081,0.0186
"SNP_A-2227887",0,0,0,0,-0.1118,0.0361,-0.0279,-0.0772,-0.0545
"SNP_A-2276033",0,0,0,0,-0.069,-0.0388,-0.0851,-0.0319,0.015
"SNP_A-2080404",0,0,0,0,-0.0462,-0.0268,-0.012,-0.0199,0.0304
"SNP_A-4291764",0,0,0,0,0,-0.0699,-0.0493,-0.041,-0.0337
"SNP_A-2055151",0,0,0,0,-0.0355,0.0044,-0.0947,0.0563,-0.1395
"SNP_A-2153055",0,0,0,0,-0.063,-0.0959,-0.0943,-0.0193,-0.0237
"SNP_A-8533839",0,0,0,0,-0.0619,-0.0029,-0.0119,-0.0598,0.0305
"SNP_A-4296150",0,0,0,0,-0.0026,-0.0902,-0.0823,0.057,-0.0028
"SNP_A-2148994",0,-0.0413,0,0,0,0.0132,-0.082,-0.045,-0.0096
"SNP_A-4244598",0,0.0048,0,0,0,-0.0447,-0.0169,0.0645,-0.0293
"SNP_A-4289296",0,-0.0313,0,0,0,0.0232,-0.1515,0.1088,0.0079
"AFFX-SNP_7912310",0,0.1359,0,0,0,0.0082,-0.0828,0.0123,0.0527
"SNP_A-1912220",0,0.0415,0,0,0,0.0149,-0.0684,-0.053,0.0035
"SNP_A-2232271",0,0.007,0,0,0,-0.0294,-0.1106,0.0402,-0.0148
"SNP_A-8591700",0,-0.0314,0,0,0,-0.0155,0.0411,-0.066,-0.0187
"SNP_A-8516228",0,0.0354,0,0,0,-0.0459,-0.049,0.0329,-0.0496
"SNP_A-2192992",0,-0.009,0,0,0,0.039,-0.023,0.0027,-0.0404
"SNP_A-8695418",0,0,0,0,-0.0287,-0.0196,-0.0325,-0.0322,-0.0449
"SNP_A-8582889",0,0,0,0,-0.0199,0.0473,-0.0257,-0.0203,-0.0424
"SNP_A-8365841",0,0,0,0,-0.0041,0.0707,-0.0165,0.0583,-0.0181
"SNP_A-1840405",-0.0314,0,0,0,0,0.0718,-0.0571,-0.0394,0.0378
"SNP_A-8437904",0,0,0,0,-0.0213,-0.0838,-0.0743,0.0311,-0.005
"SNP_A-2301597",0.0013,0,0,0,0,-0.0759,-0.0258,-0.0874,0.0204
"SNP_A-1803430",0,0,0,0,0.0322,0.0334,-0.0339,0.0072,-0.1058
"SNP_A-8704523",0,0,0,-0.0384,0,0.0393,0.0197,-0.0145,0.043
"SNP_A-8398157",0,0,0,-0.1262,0,-0.0128,-0.0278,-0.0527,-0.0385
"SNP_A-8336149",0,0,0,-4e-04,0,0.0098,-0.1083,0.0024,-0.0219
"SNP_A-1870984",0.0273,0,0,0,0,-0.0587,-0.0582,0.0676,-0.0425
"SNP_A-2174660",-0.1376,0,0,0,0,-0.019,-0.0453,-0.0509,-0.0076
"SNP_A-8688408",-0.1072,0,0,0,0,-0.0444,-0.0035,0.0098,0.0274
"SNP_A-8378615",0,0,0,0,0.0442,0.0104,0.0141,-0.064,-0.1035
