"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-8332071",0,0.4051,0,0,0,-0.2836,-0.1394,-0.7321,0.2726,-0.4061,0.5496
"SNP_A-2063990",0,0,0,0,0,-0.3235,-0.1453,-0.7221,0.2862,-0.3924,0.569
"SNP_A-4222956",0,0,0,0,0,-0.3166,-0.151,-0.7415,0.2757,-0.4073,0.5547
"SNP_A-2119653",0,0,0,0,0,-0.3004,-0.1419,-0.7537,0.2856,-0.4012,0.5509
"SNP_A-1845345",0,0,0,0,0,-0.3175,-0.1464,-0.7463,0.2933,-0.3869,0.547
"SNP_A-8393049",0,0,0,0,0,-0.3478,-0.141,-0.7569,0.3056,-0.3953,0.5564
"SNP_A-8288274",0,0,0,0,0,-0.4022,-0.1603,-0.7536,0.2722,-0.391,0.5742
"SNP_A-1888189",0,0,0,0,0,-0.3287,-0.1539,-0.7399,0.2692,-0.3816,0.5773
"SNP_A-8361679",-0.3215,0,0,0,0,0,-0.1325,-0.7541,0.2932,-0.3922,0.5579
"SNP_A-2104929",-0.3307,0,0,0,0,0,-0.153,-0.7422,0.3037,-0.3804,0.5524
"SNP_A-2261751",-0.3598,0,0,0,0,0,-0.1348,-0.7487,0.2859,-0.3901,0.5593
"SNP_A-8557955",-0.3123,0,0,0,0,0,-0.1332,-0.7562,0.279,-0.4115,0.5549
"SNP_A-2065831",-0.3311,0,0,0,0,0,-0.1466,-0.7483,0.3054,-0.3907,0.5635
"SNP_A-4195921",-0.3365,0,0,0,0,0,-0.1598,-0.7535,0.3006,-0.3745,0.5422
"SNP_A-2294660",0,0,0,0,0,0.2999,-0.1307,-0.7305,0.2907,-0.3815,0.572
"SNP_A-8367452",0,0,0,0,0,0.3669,-0.1457,-0.735,0.2909,-0.3703,0.5671
"SNP_A-8292919",0,0,0,0.3266,0,0,-0.1399,-0.7566,0.2877,-0.3729,0.5619
"SNP_A-4196202",0,0,0,0.3263,0,0,-0.1342,-0.7502,0.3042,-0.3641,0.5732
"SNP_A-2097058",0,0,0,0,0,0.3081,-0.1626,-0.7429,0.296,-0.4035,0.5505
"SNP_A-8290458",0,-0.3324,0,0,0,0,-0.1215,-0.7517,0.2743,-0.3734,0.5623
"SNP_A-8290460",-0.3076,0,0,0,0,0,-0.1702,-0.7581,0.2856,-0.3874,0.5636
"SNP_A-4268631",0,-0.2983,0,0,0,0,-0.1489,-0.7216,0.2901,-0.3852,0.5683
"SNP_A-2004173",0,-0.3015,0,0,0,0,-0.1599,-0.7341,0.2669,-0.4046,0.5575
